1.119730382, Sport: ,Soccer, Time: ,Thu Jul 30 20:30:00 CEST 2015, Time: ,Thu Jul 30 20:30:00 CEST 2015, Event: ,Briton Ferry L AFC v Port Talbot, Favorite: ,Port Talbot, 3667308   size:2.55,Price: ,1.5,The Draw, 58805   size:2.65,Price: ,4.4,Briton Ferry L AFC, 9398502   size:3.22,Price: ,4.6,
1.119672723, Sport: ,Soccer, Time: ,Thu Jul 30 20:30:00 CEST 2015, Time: ,Thu Jul 30 20:30:00 CEST 2015, Event: ,Bordeaux v AEK Larnaca, Favorite: ,Bordeaux, 10501   size:403.82,Price: ,1.35,The Draw, 58805   size:103.7,Price: ,5.1,AEK Larnaca, 908335   size:21.57,Price: ,13.5,
1.119730607, Sport: ,Soccer, Time: ,Thu Jul 30 20:45:00 CEST 2015, Time: ,Thu Jul 30 20:45:00 CEST 2015, Event: ,Hitchin Town v St Albans, Favorite: ,St Albans, 256465   size:8.23,Price: ,2.24,Hitchin Town, 4317865   size:9.88,Price: ,2.68,The Draw, 58805   size:73.35,Price: ,3.45,
1.119730467, Sport: ,Soccer, Time: ,Thu Jul 30 20:45:00 CEST 2015, Time: ,Thu Jul 30 20:45:00 CEST 2015, Event: ,Bromley v C Palace, Favorite: ,C Palace, 52689   size:5.0,Price: ,1.44,The Draw, 58805   size:16.74,Price: ,5.0,Bromley, 1282856   size:12.94,Price: ,7.4,
1.119731245, Sport: ,Soccer, Time: ,Thu Jul 30 21:00:00 CEST 2015, Time: ,Thu Jul 30 21:00:00 CEST 2015, Event: ,Coquimbo Unido v Cobresal, Favorite: ,Cobresal, 5129865   size:8.06,Price: ,2.56,Coquimbo Unido, 5800422   size:9.03,Price: ,2.88,The Draw, 58805   size:7.3,Price: ,3.5,
1.119673509, Sport: ,Soccer, Time: ,Thu Jul 30 21:00:00 CEST 2015, Time: ,Thu Jul 30 21:00:00 CEST 2015, Event: ,Hajduk Split v Stromsgodset, Favorite: ,Hajduk Split, 46725   size:89.92,Price: ,2.04,The Draw, 58805   size:10.82,Price: ,3.75,Stromsgodset, 31319   size:6.43,Price: ,4.0,
1.119672821, Sport: ,Soccer, Time: ,Thu Jul 30 21:00:00 CEST 2015, Time: ,Thu Jul 30 21:00:00 CEST 2015, Event: ,Belenenses v IFK Goteborg, Favorite: ,Belenenses, 48786   size:77.15,Price: ,2.34,The Draw, 58805   size:432.14,Price: ,3.2,IFK Goteborg, 30689   size:153.21,Price: ,3.7,
1.119735420, Sport: ,Tennis, Time: ,Thu Jul 30 21:00:00 CEST 2015, Time: ,Thu Jul 30 21:00:00 CEST 2015, Event: ,D Sela v B Becker, Favorite: ,Dudi Sela, 2263685   size:290.75,Price: ,1.74,Benjamin Becker, 2249398   size:10.0,Price: ,2.3,
1.119731414, Sport: ,Soccer, Time: ,Thu Jul 30 22:45:00 CEST 2015, Time: ,Thu Jul 30 22:45:00 CEST 2015, Event: ,Univ Catolica (Chile) v Audax Italiano, Favorite: ,Univ Catolica (Chile), 7029037   size:2.57,Price: ,2.08,The Draw, 58805   size:31.33,Price: ,3.55,Audax Italiano, 2295419   size:8.13,Price: ,3.8,
1.119062698, Sport: ,Cricket, Time: ,Thu Jul 30 15:30:00 CEST 2015, Time: ,Thu Jul 30 15:30:00 CEST 2015, Event: ,Sri Lanka v Pakistan (1st T20), Favorite: ,Sri Lanka, 7337   size:613.56,Price: ,1.82,Pakistan, 7461   size:3908.87,Price: ,2.2,
1.119735798, Sport: ,Tennis, Time: ,Thu Jul 30 15:45:00 CEST 2015, Time: ,Thu Jul 30 15:45:00 CEST 2015, Event: ,Nadal v Vesely, Favorite: ,Rafael Nadal, 2251410   size:20985.34,Price: ,1.09,Jiri Vesely, 7032143   size:156.2,Price: ,11.5,
1.119753928, Sport: ,Tennis, Time: ,Thu Jul 30 16:00:00 CEST 2015, Time: ,Thu Jul 30 16:00:00 CEST 2015, Event: ,Arcangioli v Plipuech, Favorite: ,Manon Arcangioli, 7289616   size:4.73,Price: ,1.84,Peangtarn Plipuech, 8244519   size:2.31,Price: ,2.16,
1.119753933, Sport: ,Tennis, Time: ,Thu Jul 30 16:00:00 CEST 2015, Time: ,Thu Jul 30 16:00:00 CEST 2015, Event: ,Sanchez v Crawford, Favorite: ,Maria Sanchez, 5374654   size:3.59,Price: ,1.54,Samantha Crawford, 6603928   size:24.93,Price: ,2.6,
1.119733428, Sport: ,Soccer, Time: ,Thu Jul 30 16:00:00 CEST 2015, Time: ,Thu Jul 30 16:00:00 CEST 2015, Event: ,Kuban Krasnodar (Y) v FC Ufa U21, Favorite: ,Kuban Krasnodar (Y), 7227084   size:3.25,Price: ,1.54,The Draw, 58805   size:4.42,Price: ,4.6,FC Ufa U21, 9969724   size:90.63,Price: ,6.2,
1.119730831, Sport: ,Soccer, Time: ,Thu Jul 30 17:00:00 CEST 2015, Time: ,Thu Jul 30 17:00:00 CEST 2015, Event: ,Pescara v SS Maceratese, Favorite: ,Pescara, 201327   size:2.55,Price: ,1.44,The Draw, 58805   size:3.88,Price: ,4.7,SS Maceratese, 9525214   size:13.53,Price: ,7.0,
1.119713572, Sport: ,Tennis, Time: ,Thu Jul 30 17:00:00 CEST 2015, Time: ,Thu Jul 30 17:00:00 CEST 2015, Event: ,Goffin v H Zeballos, Favorite: ,David Goffin, 5224084   size:633.05,Price: ,1.27,Horacio Zeballos, 3506037   size:138.7,Price: ,4.6,
1.119732806, Sport: ,Soccer, Time: ,Thu Jul 30 17:15:00 CEST 2015, Time: ,Thu Jul 30 17:15:00 CEST 2015, Event: ,South Africa U19 v Galatasaray U19, Favorite: ,South Africa U19, 10087744   size:16.28,Price: ,2.3,Galatasaray U19, 7653235   size:140.75,Price: ,3.05,The Draw, 58805   size:94.63,Price: ,3.6,
1.119621958, Sport: ,Soccer, Time: ,Thu Jul 30 17:30:00 CEST 2015, Time: ,Thu Jul 30 17:30:00 CEST 2015, Event: ,TPV v Honka, Favorite: ,Honka, 396722   size:165.94,Price: ,1.58,The Draw, 58805   size:54.22,Price: ,4.7,TPV, 804682   size:3.42,Price: ,6.0,
1.119698025, Sport: ,Baseball, Time: ,Thu Jul 30 18:10:00 CEST 2015, Time: ,Thu Jul 30 18:10:00 CEST 2015, Event: ,WSH @ MIA, Favorite: ,Washington (M Scherzer), 9378791   size:71.9,Price: ,1.6,Miami (D Haren), 9389911   size:906.24,Price: ,2.64,
1.119698009, Sport: ,Baseball, Time: ,Thu Jul 30 18:10:00 CEST 2015, Time: ,Thu Jul 30 18:10:00 CEST 2015, Event: ,SD @ NYM, Favorite: ,NY Mets (J Niese), 3340416   size:886.0,Price: ,1.84,San Diego (A Cashner), 6436041   size:267.39,Price: ,2.06,
1.119753930, Sport: ,Tennis, Time: ,Thu Jul 30 18:30:00 CEST 2015, Time: ,Thu Jul 30 18:30:00 CEST 2015, Event: ,Simmonds v Coin, Favorite: ,Julie Coin, 3289144   size:17.12,Price: ,1.64,Chanel Simmonds, 6604256   size:30.13,Price: ,2.34,
1.119751826, Sport: ,Tennis, Time: ,Thu Jul 30 18:30:00 CEST 2015, Time: ,Thu Jul 30 18:30:00 CEST 2015, Event: ,Mattek-Sands v Martincova, Favorite: ,Bethanie Mattek-Sands, 8028692   size:48.69,Price: ,1.3,Tereza Martincova, 7335514   size:515.49,Price: ,4.0,
1.119730747, Sport: ,Soccer, Time: ,Thu Jul 30 18:30:00 CEST 2015, Time: ,Thu Jul 30 18:30:00 CEST 2015, Event: ,Maritimo v Moreirense, Favorite: ,Maritimo, 46964   size:32.9,Price: ,2.3,The Draw, 58805   size:164.51,Price: ,3.4,Moreirense, 191604   size:5.08,Price: ,3.45,
1.119622014, Sport: ,Soccer, Time: ,Thu Jul 30 18:30:00 CEST 2015, Time: ,Thu Jul 30 18:30:00 CEST 2015, Event: ,KaPa Helsinki II v LoPa, Favorite: ,The Draw, 58805   size:2.55,Price: ,1.31,LoPa, 2388952   size:4.6,Price: ,1.39,KaPa Helsinki II, 8619968   size:2.98,Price: ,3.3,
1.119731055, Sport: ,Soccer, Time: ,Thu Jul 30 19:00:00 CEST 2015, Time: ,Thu Jul 30 19:00:00 CEST 2015, Event: ,VV Dieren v De Graafschap, Favorite: ,De Graafschap, 48453   size:64.03,Price: ,1.03,The Draw, 58805   size:3.49,Price: ,6.8,VV Dieren, 10087657   size:14.0,Price: ,65.0,
1.119622129, Sport: ,Soccer, Time: ,Thu Jul 30 19:00:00 CEST 2015, Time: ,Thu Jul 30 19:00:00 CEST 2015, Event: ,Kuddby IF v IF Sylvia, Favorite: ,IF Sylvia, 4638303   size:12.09,Price: ,1.07,Kuddby IF, 10058424   size:11.97,Price: ,1.08,The Draw, 58805   size:3.65,Price: ,1.29,
1.119730903, Sport: ,Soccer, Time: ,Thu Jul 30 19:00:00 CEST 2015, Time: ,Thu Jul 30 19:00:00 CEST 2015, Event: ,Pinatar CF v UCAM Murcia, Favorite: ,UCAM Murcia, 5778410   size:5.0,Price: ,1.36,The Draw, 58805   size:37.2,Price: ,4.9,Pinatar CF, 8873742   size:8.2,Price: ,9.8,
1.119730106, Sport: ,Soccer, Time: ,Thu Jul 30 19:00:00 CEST 2015, Time: ,Thu Jul 30 19:00:00 CEST 2015, Event: ,AIK v Atromitos, Favorite: ,AIK, 168731   size:200.13,Price: ,2.1,The Draw, 58805   size:191.35,Price: ,3.4,Atromitos, 1234639   size:49.75,Price: ,4.2,
1.119674981, Sport: ,Soccer, Time: ,Thu Jul 30 19:00:00 CEST 2015, Time: ,Thu Jul 30 19:00:00 CEST 2015, Event: ,FK Krasnodar v Slovan Bratislava, Favorite: ,FK Krasnodar, 4020902   size:188.86,Price: ,1.36,The Draw, 58805   size:161.41,Price: ,5.2,Slovan Bratislava, 46933   size:39.95,Price: ,12.0,
