1.119684423, Sport: ,Rugby League, Time: ,Fri Jul 31 21:00:00 CEST 2015, Time: ,Fri Jul 31 21:00:00 CEST 2015, Event: ,Leeds v St Helens, Favorite: ,Leeds, 39514   size:3.85,Price: ,1.66,St Helens, 22831   size:2.55,Price: ,2.5,Draw, 11126   size:35.57,Price: ,22.0,ok
1.119632762, Sport: ,Soccer, Time: ,Fri Jul 31 18:30:00 CEST 2015, Time: ,Fri Jul 31 18:30:00 CEST 2015, Event: ,Austria Salzburg v Austria Klagenfurt, Favorite: ,Austria Klagenfurt, 4902204   size:17.87,Price: ,2.64,Austria Salzburg, 65363   size:44.05,Price: ,2.68,The Draw, 58805   size:4.71,Price: ,3.8,x
1.119632400, Sport: ,Soccer, Time: ,Fri Jul 31 19:00:00 CEST 2015, Time: ,Fri Jul 31 19:00:00 CEST 2015, Event: ,Hessen Kassel v Kickers Offenbach, Favorite: ,Hessen Kassel, 2135390   size:9.0,Price: ,2.66,Kickers Offenbach, 247869   size:17.11,Price: ,2.94,The Draw, 58805   size:11.99,Price: ,3.25,x
1.119746777, Sport: ,Soccer, Time: ,Fri Jul 31 16:00:00 CEST 2015, Time: ,Fri Jul 31 16:00:00 CEST 2015, Event: ,Uniao Madeira v AD Sanjoanense, Favorite: ,Uniao Madeira, 505985   size:14.09,Price: ,1.61,The Draw, 58805   size:36.17,Price: ,3.95,AD Sanjoanense, 8758584   size:24.81,Price: ,5.3,x
1.119784930, Sport: ,Tennis, Time: ,Fri Jul 31 21:30:00 CEST 2015, Time: ,Fri Jul 31 21:30:00 CEST 2015, Event: ,Fratangelo v Y Bhambri, Favorite: ,Yuki Bhambri, 3772081   size:7.76,Price: ,1.82,Bjorn Fratangelo, 7593723   size:3.08,Price: ,2.08,x
1.119784413, Sport: ,Tennis, Time: ,Fri Jul 31 15:30:00 CEST 2015, Time: ,Fri Jul 31 15:30:00 CEST 2015, Event: ,Sevastova v T Pereira, Favorite: ,Teliana Pereira, 6390242   size:30.01,Price: ,1.82,Anastasija Sevastova, 2422070   size:92.54,Price: ,2.18,ok
1.119752558, Sport: ,Soccer, Time: ,Fri Jul 31 15:30:00 CEST 2015, Time: ,Fri Jul 31 15:30:00 CEST 2015, Event: ,Amkar Perm (Y) v Krylya Sovetov (Y), Favorite: ,Amkar Perm (Y), 9425933   size:250.66,Price: ,1.8,The Draw, 58805   size:22.31,Price: ,4.0,Krylya Sovetov (Y), 9989505   size:32.34,Price: ,4.3,ok
1.119784651, Sport: ,Basketball, Time: ,Fri Jul 31 18:30:00 CEST 2015, Time: ,Fri Jul 31 18:30:00 CEST 2015, Event: ,Lithuania v Australia, Favorite: ,Australia, 1499770   size:169.4,Price: ,1.84,Lithuania, 512601   size:55.33,Price: ,2.02,x
1.119749151, Sport: ,Soccer, Time: ,Fri Jul 31 20:45:00 CEST 2015, Time: ,Fri Jul 31 20:45:00 CEST 2015, Event: ,Lorca Deportiva CF v Murcia, Favorite: ,Murcia, 68244   size:4.21,Price: ,1.52,The Draw, 58805   size:53.57,Price: ,3.75,Lorca Deportiva CF, 9970077   size:2.25,Price: ,5.3,ok
1.119752165, Sport: ,Soccer, Time: ,Fri Jul 31 17:15:00 CEST 2015, Time: ,Fri Jul 31 17:15:00 CEST 2015, Event: ,PSV U19 v Celtic U19, Favorite: ,PSV U19, 2502335   size:5.0,Price: ,2.34,Celtic U19, 6569321   size:110.44,Price: ,2.84,The Draw, 58805   size:16.17,Price: ,4.1,ok
