1.119078990, Sport: ,Tennis, Time: ,Fri Jun 05 15:30:00 CEST 2015, Time: ,Fri Jun 05 15:30:00 CEST 2015, Event: ,J Ward v Groth, Favorite: ,Sam Groth, 8639819   size:47.15,Price: ,1.48,James Ward, 2370329   size:29.36,Price: ,2.58,okok
1.119057059, Sport: ,Basketball, Time: ,Fri Jun 05 20:00:00 CEST 2015, Time: ,Fri Jun 05 20:00:00 CEST 2015, Event: ,Boulazac v Denain, Favorite: ,Denain, 6719010   size:3.06,Price: ,1.02,xx
1.119057058, Sport: ,Basketball, Time: ,Fri Jun 05 20:00:00 CEST 2015, Time: ,Fri Jun 05 20:00:00 CEST 2015, Event: ,Antibes v Le Portel, Favorite: ,Antibes, 5467755   size:5.78,Price: ,1.49,Le Portel, 6719000   size:2.55,Price: ,2.52,okok
1.119078994, Sport: ,Tennis, Time: ,Fri Jun 05 12:45:00 CEST 2015, Time: ,Fri Jun 05 12:45:00 CEST 2015, Event: ,Djere v Souza, Favorite: ,Joao Souza, 4490590   size:14.18,Price: ,1.46,Laslo Djere, 7692106   size:3.74,Price: ,2.74,xx
1.119083662, Sport: ,Tennis, Time: ,Fri Jun 05 18:30:00 CEST 2015, Time: ,Fri Jun 05 18:30:00 CEST 2015, Event: ,Paquet v Parmentier, Favorite: ,Pauline Parmentier, 2309569   size:31.2,Price: ,1.03,Chloe Paquet, 7216239   size:211.41,Price: ,1.07,okok
1.119078235, Sport: ,Snooker, Time: ,Fri Jun 05 15:30:00 CEST 2015, Time: ,Fri Jun 05 15:30:00 CEST 2015, Event: ,Selt v Anda, Favorite: ,Zhang Anda, 4894068   size:3.06,Price: ,1.02,xx
1.119008768, Sport: ,Cricket, Time: ,Fri Jun 05 18:30:00 CEST 2015, Time: ,Fri Jun 05 18:30:00 CEST 2015, Event: ,Kent v Gloucestershire, Favorite: ,Kent, 5901   size:5.78,Price: ,1.72,Gloucestershire, 2219   size:2.55,Price: ,2.2,xx
1.119076374, Sport: ,Tennis, Time: ,Fri Jun 05 10:30:00 CEST 2015, Time: ,Fri Jun 05 10:30:00 CEST 2015, Event: ,I De Vroome v Glushko, Favorite: ,Indy De Vroome, 7364004   size:208.56,Price: ,1.07,Julia Glushko, 5321877   size:889.8,Price: ,1.1,ok
1.119061914, Sport: ,Handball, Time: ,Fri Jun 05 20:00:00 CEST 2015, Time: ,Fri Jun 05 20:00:00 CEST 2015, Event: ,N Lubbecke v Erlangen, Favorite: ,Draw, 330157   size:100.0,Price: ,1.01,N Lubbecke, 4196313   size:9.03,Price: ,1.28,x
1.119076372, Sport: ,Tennis, Time: ,Fri Jun 05 10:30:00 CEST 2015, Time: ,Fri Jun 05 10:30:00 CEST 2015, Event: ,Schuurs v Kostova, Favorite: ,Elitsa Kostova, 6196031   size:31.2,Price: ,1.03,Demi Schuurs, 8543381   size:157.67,Price: ,1.07,xx
