1.119109421, Sport: ,Tennis, Time: ,Mon Jun 08 12:00:00 CEST 2015, Time: ,Mon Jun 08 12:00:00 CEST 2015, Event: ,Kania v Kudryavtseva, Favorite: ,Alla Kudryavtseva, 2263696   size:30.19,Price: ,1.6,Paula Kania, 7083220   size:12.3,Price: ,2.56,okokok
1.119101020, Sport: ,Tennis, Time: ,Mon Jun 08 19:30:00 CEST 2015, Time: ,Mon Jun 08 19:30:00 CEST 2015, Event: ,Hamou v A Ungur, Favorite: ,Adrian Ungur, 4987965   size:18.4,Price: ,1.57,Maxime Hamou, 8859456   size:5.0,Price: ,2.6,ok
1.119053263, Sport: ,Baseball, Time: ,Tue Jun 09 01:10:00 CEST 2015, Time: ,Tue Jun 09 01:10:00 CEST 2015, Event: ,PHI @ CIN, Favorite: ,Cincinnati (M Leake), 4640134   size:322.0,Price: ,1.87,Philadelphia (C Hamels), 1474613   size:171.47,Price: ,2.08,okokokok
1.119101821, Sport: ,Tennis, Time: ,Mon Jun 08 13:00:00 CEST 2015, Time: ,Mon Jun 08 13:00:00 CEST 2015, Event: ,Bautista Ag/Gimeno-Trav v Nestor/Paes, Favorite: ,Nestor/Paes, 7592382   size:7.46,Price: ,1.2,Bautista Ag/Gimeno-Trav, 9566105   size:4.82,Price: ,3.95,okokokok
1.119100258, Sport: ,Tennis, Time: ,Tue Jun 09 11:00:00 CEST 2015, Time: ,Tue Jun 09 11:00:00 CEST 2015, Event: ,Djere v Rublev, Favorite: ,Andrey Rublev, 7797771   size:5.84,Price: ,1.47,Laslo Djere, 7692106   size:2.55,Price: ,2.8,okokokok
1.119107529, Sport: ,Tennis, Time: ,Mon Jun 08 12:00:00 CEST 2015, Time: ,Mon Jun 08 12:00:00 CEST 2015, Event: ,Beygelzimer v Govortsova, Favorite: ,Olga Govortsova, 2415575   size:86.54,Price: ,1.51,Yuliya Beygelzimer, 3674505   size:14.27,Price: ,2.92,okokokok
1.119110101, Sport: ,Tennis, Time: ,Tue Jun 09 03:00:00 CEST 2015, Time: ,Tue Jun 09 03:00:00 CEST 2015, Event: ,Hisami v Okadaue, Favorite: ,Kanae Hisami, 7657213   size:85.53,Price: ,1.07,Chiaki Okadaue, 7657219   size:74.84,Price: ,1.08,xxxx
1.119103927, Sport: ,Tennis, Time: ,Mon Jun 08 12:30:00 CEST 2015, Time: ,Mon Jun 08 12:30:00 CEST 2015, Event: ,Kavcic v R Haase, Favorite: ,Robin Haase, 2309796   size:19.0,Price: ,1.25,Blaz Kavcic, 2863465   size:17.57,Price: ,4.9,okokokok
1.119108788, Sport: ,Tennis, Time: ,Mon Jun 08 16:15:00 CEST 2015, Time: ,Mon Jun 08 16:15:00 CEST 2015, Event: ,Lama v Clezar, Favorite: ,Guilherme Clezar, 5304142   size:5.59,Price: ,1.43,Gonzalo Lama, 7032057   size:2.74,Price: ,2.92,okokokok
1.119044398, Sport: ,Basketball, Time: ,Tue Jun 09 02:30:00 CEST 2015, Time: ,Tue Jun 09 02:30:00 CEST 2015, Event: ,Atenas v Quimsa, Favorite: ,Quimsa, 6243645   size:5.0,Price: ,1.84,Atenas, 6719082   size:6.4,Price: ,2.08,xxxx
1.119044399, Sport: ,Basketball, Time: ,Tue Jun 09 03:00:00 CEST 2015, Time: ,Tue Jun 09 03:00:00 CEST 2015, Event: ,La Union v San Martin, Favorite: ,La Union, 6343998   size:53.2,Price: ,1.58,San Martin, 8861781   size:138.91,Price: ,2.54,okokokok
1.119107978, Sport: ,Tennis, Time: ,Mon Jun 08 12:45:00 CEST 2015, Time: ,Mon Jun 08 12:45:00 CEST 2015, Event: ,T Monteiro v Munoz-De La Nava, Favorite: ,Daniel Munoz-de la Nava, 8259000   size:2.55,Price: ,1.37,Thiago Monteiro, 8326656   size:21.15,Price: ,3.25,okokok
1.119110137, Sport: ,Tennis, Time: ,Tue Jun 09 03:00:00 CEST 2015, Time: ,Tue Jun 09 03:00:00 CEST 2015, Event: ,Albanese v M Inoue, Favorite: ,Miyabi Inoue, 8839053   size:212.48,Price: ,1.07,Lauren Albanese, 2309521   size:185.95,Price: ,1.08,ok
1.119109838, Sport: ,Tennis, Time: ,Mon Jun 08 12:45:00 CEST 2015, Time: ,Mon Jun 08 12:45:00 CEST 2015, Event: ,Sugita v M Pavic, Favorite: ,Yuichi Sugita, 3374117   size:160.36,Price: ,1.79,Mate Pavic, 5704638   size:46.83,Price: ,2.1,xxxx
1.119106645, Sport: ,Basketball, Time: ,Mon Jun 08 20:45:00 CEST 2015, Time: ,Mon Jun 08 20:45:00 CEST 2015, Event: ,Sassari v Milano, Favorite: ,Milano, 604579   size:5.13,Price: ,1.56,Sassari, 5838462   size:169.07,Price: ,2.62,okokokok
1.119104865, Sport: ,Tennis, Time: ,Mon Jun 08 16:30:00 CEST 2015, Time: ,Mon Jun 08 16:30:00 CEST 2015, Event: ,Konta v Rybarikova, Favorite: ,Johanna Konta, 5596561   size:109.0,Price: ,1.75,Magdalena Rybarikova, 2548763   size:49.27,Price: ,2.18,okokokok
1.119107450, Sport: ,Tennis, Time: ,Mon Jun 08 16:30:00 CEST 2015, Time: ,Mon Jun 08 16:30:00 CEST 2015, Event: ,Chuang/Savchuk v Dabrowski/Rosolska, Favorite: ,Dabrowski/Rosolska, 7766530   size:11.29,Price: ,1.64,Chuang/Savchuk, 9568463   size:55.54,Price: ,1.83,xxxx
1.119053255, Sport: ,Baseball, Time: ,Tue Jun 09 01:07:00 CEST 2015, Time: ,Tue Jun 09 01:07:00 CEST 2015, Event: ,MIA @ TOR, Favorite: ,Toronto (M Estrada), 9458890   size:309.0,Price: ,1.64,Miami (B Hand), 6557934   size:350.0,Price: ,2.44,okokokok
1.119100266, Sport: ,Tennis, Time: ,Tue Jun 09 11:00:00 CEST 2015, Time: ,Tue Jun 09 11:00:00 CEST 2015, Event: ,Donskoy v Rola, Favorite: ,Blaz Rola, 8174357   size:48.05,Price: ,1.57,Evgeny Donskoy, 3391304   size:31.32,Price: ,2.44,xxxx
1.119104382, Sport: ,Tennis, Time: ,Mon Jun 08 14:45:00 CEST 2015, Time: ,Mon Jun 08 14:45:00 CEST 2015, Event: ,Erakovic v C Witthoeft, Favorite: ,Marina Erakovic, 2250859   size:57.0,Price: ,1.6,Carina Witthoeft, 5408907   size:60.0,Price: ,2.48,okokokok
1.119108784, Sport: ,Tennis, Time: ,Mon Jun 08 15:45:00 CEST 2015, Time: ,Mon Jun 08 15:45:00 CEST 2015, Event: ,Beretta v Londero, Favorite: ,Juan Ignacio Londero, 7430086   size:2.55,Price: ,1.42,Duilio Beretta, 8326761   size:2.88,Price: ,3.1,xxxx
1.119100262, Sport: ,Tennis, Time: ,Tue Jun 09 11:00:00 CEST 2015, Time: ,Tue Jun 09 11:00:00 CEST 2015, Event: ,Shyla v Khachanov, Favorite: ,Karen Khachanov, 7659623   size:2.55,Price: ,1.31,Yaraslav Shyla, 8520676   size:2.55,Price: ,3.55,okokokok
1.119101791, Sport: ,Tennis, Time: ,Mon Jun 08 14:15:00 CEST 2015, Time: ,Mon Jun 08 14:15:00 CEST 2015, Event: ,Draganja/Kontinen v Hewitt/Reid, Favorite: ,Draganja/Kontinen, 8462597   size:8.38,Price: ,1.56,Hewitt/Reid, 9378430   size:2.55,Price: ,2.46,xxx
1.119104462, Sport: ,Tennis, Time: ,Mon Jun 08 14:15:00 CEST 2015, Time: ,Mon Jun 08 14:15:00 CEST 2015, Event: ,Nara v Flipkens, Favorite: ,Kirsten Flipkens, 2264530   size:77.46,Price: ,1.47,Kurumi Nara, 3375664   size:68.05,Price: ,3.0,x
1.119110320, Sport: ,Tennis, Time: ,Mon Jun 08 13:45:00 CEST 2015, Time: ,Mon Jun 08 13:45:00 CEST 2015, Event: ,Nielsen v Ja Jenkins, Favorite: ,Frederik Nielsen, 2444574   size:5.55,Price: ,1.5,Jarmere Jenkins, 7533932   size:3.66,Price: ,2.8,ok
1.119100278, Sport: ,Tennis, Time: ,Tue Jun 09 11:00:00 CEST 2015, Time: ,Tue Jun 09 11:00:00 CEST 2015, Event: ,Ramirez Hidalgo v Gabashvili, Favorite: ,Teymuraz Gabashvili, 4877292   size:8.39,Price: ,1.22,Ruben Ramirez Hidalgo, 2257299   size:10.36,Price: ,4.5,ok
