1.119504853, Sport: ,Soccer, Time: ,Sun Jul 19 20:30:00 CEST 2015, Time: ,Sun Jul 19 20:30:00 CEST 2015, Event: ,Melgar v Ayacucho Futbol Club, Favorite: ,Melgar, 5839079   size:89.55,Price: ,1.58,The Draw, 58805   size:45.77,Price: ,4.1,Ayacucho Futbol Club, 9297155   size:35.72,Price: ,7.4,ok
1.119584604, Sport: ,Basketball, Time: ,Mon Jul 20 00:00:00 CEST 2015, Time: ,Mon Jul 20 00:00:00 CEST 2015, Event: ,Atlanta v San Antonio, Favorite: ,San Antonio, 13121   size:435.23,Price: ,1.01,Atlanta, 13114   size:8.81,Price: ,1.14,ok
1.119454308, Sport: ,Soccer, Time: ,Sun Jul 19 23:00:00 CEST 2015, Time: ,Sun Jul 19 23:00:00 CEST 2015, Event: ,Columbus v Chicago Fire, Favorite: ,Columbus, 171903   size:6.33,Price: ,1.78,The Draw, 58805   size:94.89,Price: ,4.0,Chicago Fire, 226469   size:109.86,Price: ,5.1,ok
1.119526000, Sport: ,Volleyball, Time: ,Mon Jul 20 03:05:00 CEST 2015, Time: ,Mon Jul 20 03:05:00 CEST 2015, Event: ,USA v Mexico, Favorite: ,USA, 1312962   size:2.63,Price: ,1.29,Mexico, 2158195   size:61.53,Price: ,3.65,ok
1.119459846, Sport: ,Soccer, Time: ,Sun Jul 19 20:00:00 CEST 2015, Time: ,Sun Jul 19 20:00:00 CEST 2015, Event: ,Astra Giurgiu v Targu Mures, Favorite: ,Astra Giurgiu, 4991412   size:116.64,Price: ,2.08,The Draw, 58805   size:317.62,Price: ,3.3,Targu Mures, 3413079   size:31.08,Price: ,4.5,x
1.119451762, Sport: ,Soccer, Time: ,Sun Jul 19 21:00:00 CEST 2015, Time: ,Sun Jul 19 21:00:00 CEST 2015, Event: ,Figueirense v Coritiba, Favorite: ,Figueirense, 198125   size:129.05,Price: ,2.08,The Draw, 58805   size:394.37,Price: ,3.4,Coritiba, 198141   size:163.42,Price: ,4.3,x
1.119480872, Sport: ,Soccer, Time: ,Sun Jul 19 20:00:00 CEST 2015, Time: ,Sun Jul 19 20:00:00 CEST 2015, Event: ,Beroe Stara Za v Montana, Favorite: ,Beroe Stara Za, 4127866   size:9.94,Price: ,1.32,The Draw, 58805   size:6.37,Price: ,4.9,Montana, 3475110   size:16.58,Price: ,9.2,x
1.119548904, Sport: ,Soccer, Time: ,Sun Jul 19 21:30:00 CEST 2015, Time: ,Sun Jul 19 21:30:00 CEST 2015, Event: ,Portuguesa (Ven) v Estudiantes Caracas, Favorite: ,Portuguesa (Ven), 8780076   size:7.85,Price: ,2.2,The Draw, 58805   size:12.8,Price: ,3.25,Estudiantes Caracas, 9930413   size:10.47,Price: ,3.75,x
1.119573787, Sport: ,Soccer, Time: ,Sun Jul 19 21:00:00 CEST 2015, Time: ,Sun Jul 19 21:00:00 CEST 2015, Event: ,Union La Calera v San Luis (Chile), Favorite: ,Union La Calera, 5271439   size:11.21,Price: ,2.52,San Luis (Chile), 5129872   size:23.03,Price: ,3.05,The Draw, 58805   size:11.23,Price: ,3.4,x
1.119497629, Sport: ,Baseball, Time: ,Sun Jul 19 20:10:00 CEST 2015, Time: ,Sun Jul 19 20:10:00 CEST 2015, Event: ,TEX @ HOU, Favorite: ,Houston (D Keuchel), 6453422   size:277.73,Price: ,1.64,Texas (Y Gallardo), 9378796   size:22.59,Price: ,2.52,ok
1.119584616, Sport: ,Basketball, Time: ,Mon Jul 20 00:00:00 CEST 2015, Time: ,Mon Jul 20 00:00:00 CEST 2015, Event: ,Brazil (W) v Canada (W), Favorite: ,Canada (W), 5859168   size:8.55,Price: ,1.24,Brazil (W), 5859167   size:3.67,Price: ,4.5,ok
1.119584542, Sport: ,Tennis, Time: ,Sun Jul 19 20:45:00 CEST 2015, Time: ,Sun Jul 19 20:45:00 CEST 2015, Event: ,Aubone v Auger Aliassime, Favorite: ,Jean-Yves Aubone, 8476686   size:2.63,Price: ,1.59,Felix Auger Aliassime, 9321841   size:19.31,Price: ,2.34,x
1.119503291, Sport: ,Soccer, Time: ,Mon Jul 20 00:00:00 CEST 2015, Time: ,Mon Jul 20 00:00:00 CEST 2015, Event: ,Once Caldas v Junior, Favorite: ,Once Caldas, 816112   size:9.29,Price: ,2.54,Junior, 363629   size:71.94,Price: ,2.9,The Draw, 58805   size:5.58,Price: ,3.45,x
1.119547287, Sport: ,Soccer, Time: ,Sun Jul 19 22:30:00 CEST 2015, Time: ,Sun Jul 19 22:30:00 CEST 2015, Event: ,Atletico Venezuela v Deportivo Anzoategui, Favorite: ,Atletico Venezuela, 7683135   size:17.43,Price: ,2.56,Deportivo Anzoategui, 3636185   size:3.09,Price: ,3.05,The Draw, 58805   size:37.59,Price: ,3.25,x
1.119547480, Sport: ,Soccer, Time: ,Sun Jul 19 22:00:00 CEST 2015, Time: ,Sun Jul 19 22:00:00 CEST 2015, Event: ,Zulia v Urena, Favorite: ,Zulia, 8018679   size:11.95,Price: ,2.02,The Draw, 58805   size:5.51,Price: ,3.45,Urena, 9990099   size:7.95,Price: ,3.95,ok
1.119502372, Sport: ,Soccer, Time: ,Sun Jul 19 20:00:00 CEST 2015, Time: ,Sun Jul 19 20:00:00 CEST 2015, Event: ,Estudiantes de San Luis v Patronato, Favorite: ,Patronato, 5178628   size:26.01,Price: ,2.36,The Draw, 58805   size:3.74,Price: ,3.05,Estudiantes de San Luis, 9229724   size:19.31,Price: ,3.7,ok
1.119583933, Sport: ,Tennis, Time: ,Sun Jul 19 21:30:00 CEST 2015, Time: ,Sun Jul 19 21:30:00 CEST 2015, Event: ,Gomez v Struvay, Favorite: ,Eduardo Struvay, 7431682   size:2.63,Price: ,1.45,Juan Sebastian Gomez, 8826915   size:4.36,Price: ,2.92,x
1.119566364, Sport: ,Basketball, Time: ,Mon Jul 20 00:00:00 CEST 2015, Time: ,Mon Jul 20 00:00:00 CEST 2015, Event: ,San Antonio @ Chicago, Favorite: ,Chicago, 13117   size:2.63,Price: ,1.14,San Antonio, 13121   size:30.7,Price: ,6.6,ok
1.119585315, Sport: ,Soccer, Time: ,Sun Jul 19 21:45:00 CEST 2015, Time: ,Sun Jul 19 21:45:00 CEST 2015, Event: ,Algeria U23 v Sierra Leone U23, Favorite: ,Sierra Leone U23, 9987488   size:221.86,Price: ,1.01,The Draw, 58805   size:2.88,Price: ,1.25,x
1.119582963, Sport: ,Soccer, Time: ,Mon Jul 20 04:00:00 CEST 2015, Time: ,Mon Jul 20 04:00:00 CEST 2015, Event: ,Portland Timbers U23 v Vancouver Whitecaps U23, Favorite: ,Portland Timbers U23, 9509743   size:2.43,Price: ,2.08,The Draw, 58805   size:20.76,Price: ,3.1,Vancouver Whitecaps U23, 7372688   size:3.99,Price: ,3.65,ok
1.119584596, Sport: ,Baseball, Time: ,Sun Jul 19 22:10:00 CEST 2015, Time: ,Sun Jul 19 22:10:00 CEST 2015, Event: ,COL @ SD, Favorite: ,San Diego (A Cashner), 6436041   size:475.26,Price: ,1.66,Colorado (E Butler), 8587372   size:306.64,Price: ,2.4,x
1.119584397, Sport: ,Tennis, Time: ,Sun Jul 19 20:00:00 CEST 2015, Time: ,Sun Jul 19 20:00:00 CEST 2015, Event: ,R Ram v Karlovic, Favorite: ,Ivo Karlovic, 2263570   size:14678.11,Price: ,1.33,Rajeev Ram, 2488011   size:1008.0,Price: ,3.95,x
1.119567923, Sport: ,Soccer, Time: ,Sun Jul 19 20:00:00 CEST 2015, Time: ,Sun Jul 19 20:00:00 CEST 2015, Event: ,Club Gimnasia y Tiro v CA San Lorenzo de Alem, Favorite: ,Club Gimnasia y Tiro, 9564616   size:14.0,Price: ,1.56,The Draw, 58805   size:6.07,Price: ,3.6,CA San Lorenzo de Alem, 10004920   size:3.9,Price: ,5.6,ok
1.119453489, Sport: ,Soccer, Time: ,Sun Jul 19 20:00:00 CEST 2015, Time: ,Sun Jul 19 20:00:00 CEST 2015, Event: ,Anzhi Makhachkala v Kryliya Sovetov, Favorite: ,Anzhi Makhachkala, 50353   size:88.6,Price: ,2.0,The Draw, 58805   size:42.42,Price: ,3.35,Kryliya Sovetov, 579339   size:523.63,Price: ,4.7,x
1.119571507, Sport: ,Soccer, Time: ,Sun Jul 19 20:00:00 CEST 2015, Time: ,Sun Jul 19 20:00:00 CEST 2015, Event: ,Americano v AA Portuguesa RJ, Favorite: ,Americano, 5247541   size:81.96,Price: ,1.4,AA Portuguesa RJ, 9429209   size:10.92,Price: ,1.75,The Draw, 58805   size:10.92,Price: ,2.22,ok
1.119573728, Sport: ,Soccer, Time: ,Sun Jul 19 23:00:00 CEST 2015, Time: ,Sun Jul 19 23:00:00 CEST 2015, Event: ,Union Espanola v Palestino, Favorite: ,Union Espanola, 1388376   size:22.67,Price: ,2.06,The Draw, 58805   size:4.94,Price: ,3.75,ok
1.119497621, Sport: ,Baseball, Time: ,Sun Jul 19 20:10:00 CEST 2015, Time: ,Sun Jul 19 20:10:00 CEST 2015, Event: ,PIT @ MIL, Favorite: ,Milwaukee (T Jungmann), 9573008   size:297.34,Price: ,1.77,Pittsburgh (J Locke), 5810057   size:447.26,Price: ,2.24,ok
1.119502727, Sport: ,Soccer, Time: ,Sun Jul 19 20:30:00 CEST 2015, Time: ,Sun Jul 19 20:30:00 CEST 2015, Event: ,Sportivo Belgrano v Juventud Unida G, Favorite: ,Sportivo Belgrano, 5971675   size:64.87,Price: ,2.2,The Draw, 58805   size:67.42,Price: ,3.05,Juventud Unida G, 9229737   size:10.94,Price: ,4.1,ok
1.119571224, Sport: ,Soccer, Time: ,Sun Jul 19 20:45:00 CEST 2015, Time: ,Sun Jul 19 20:45:00 CEST 2015, Event: ,USC Montelupo v Empoli, Favorite: ,Empoli, 60294   size:92.67,Price: ,1.02,USC Montelupo, 8716292   size:11.24,Price: ,1.36,The Draw, 58805   size:11.0,Price: ,2.22,ok
1.119497661, Sport: ,Baseball, Time: ,Sun Jul 19 22:10:00 CEST 2015, Time: ,Sun Jul 19 22:10:00 CEST 2015, Event: ,SF @ ARI, Favorite: ,San Francisco (M Bumgarner), 4171027   size:338.83,Price: ,1.9,Arizona (P Corbin), 6344320   size:41.73,Price: ,2.08,ok
1.119573844, Sport: ,Soccer, Time: ,Sun Jul 19 22:00:00 CEST 2015, Time: ,Sun Jul 19 22:00:00 CEST 2015, Event: ,Union Magdalena v Depor FC, Favorite: ,Depor FC, 5519111   size:18.73,Price: ,1.07,Union Magdalena, 5343365   size:5.38,Price: ,1.22,The Draw, 58805   size:5.16,Price: ,5.2,x
1.119503711, Sport: ,Soccer, Time: ,Sun Jul 19 23:00:00 CEST 2015, Time: ,Sun Jul 19 23:00:00 CEST 2015, Event: ,Emelec v Deportivo Quito, Favorite: ,Emelec, 328197   size:5.16,Price: ,1.27,The Draw, 58805   size:6.64,Price: ,6.0,Deportivo Quito, 3209575   size:17.07,Price: ,15.0,x
1.119502868, Sport: ,Soccer, Time: ,Mon Jul 20 00:30:00 CEST 2015, Time: ,Mon Jul 20 00:30:00 CEST 2015, Event: ,Villa Dalmine v Atl Tucuman, Favorite: ,Atl Tucuman, 5181445   size:14.55,Price: ,2.62,The Draw, 58805   size:11.23,Price: ,2.94,Villa Dalmine, 5971695   size:5.16,Price: ,3.3,ok
1.119451601, Sport: ,Soccer, Time: ,Sun Jul 19 23:30:00 CEST 2015, Time: ,Sun Jul 19 23:30:00 CEST 2015, Event: ,Cruzeiro v Avai, Favorite: ,Cruzeiro, 192807   size:1084.69,Price: ,1.45,The Draw, 58805   size:210.89,Price: ,4.6,Avai, 3859186   size:100.74,Price: ,9.0,x
