1.119832452, Sport: ,Soccer, Time: ,Fri Aug 07 18:30:00 CEST 2015, Time: ,Fri Aug 07 18:30:00 CEST 2015, Event: ,NK Celje v Gorica, Favorite: ,NK Celje, 3188553   size:237.94,Price: ,1.92,The Draw, 58805   size:10.74,Price: ,3.7,Gorica, 52799   size:69.8,Price: ,4.6,x
1.119850828, Sport: ,Soccer, Time: ,Fri Aug 07 21:30:00 CEST 2015, Time: ,Fri Aug 07 21:30:00 CEST 2015, Event: ,Olhanense v Benfica B, Favorite: ,Benfica B, 6563318   size:52.18,Price: ,2.16,The Draw, 58805   size:92.4,Price: ,3.5,Olhanense, 2524227   size:9.54,Price: ,3.75,x
1.119832339, Sport: ,Soccer, Time: ,Fri Aug 07 20:15:00 CEST 2015, Time: ,Fri Aug 07 20:15:00 CEST 2015, Event: ,Koper v NK Maribor, Favorite: ,NK Maribor, 44625   size:16.65,Price: ,1.75,The Draw, 58805   size:2.73,Price: ,3.8,Koper, 166903   size:7.49,Price: ,4.8,x
1.119770166, Sport: ,Soccer, Time: ,Fri Aug 07 19:00:00 CEST 2015, Time: ,Fri Aug 07 19:00:00 CEST 2015, Event: ,Burghausen v Schalding-Heining, Favorite: ,Burghausen, 196544   size:3.38,Price: ,1.75,The Draw, 58805   size:6.57,Price: ,3.85,Schalding-Heining, 7408558   size:5.84,Price: ,5.2,ok
1.119873109, Sport: ,Soccer, Time: ,Fri Aug 07 17:30:00 CEST 2015, Time: ,Fri Aug 07 17:30:00 CEST 2015, Event: ,FK Trakai II v FK Dziugas, Favorite: ,FK Trakai II, 7336842   size:4.84,Price: ,1.33,The Draw, 58805   size:6.39,Price: ,4.5,FK Dziugas, 9390441   size:6.0,Price: ,6.2,x
1.119765378, Sport: ,Soccer, Time: ,Fri Aug 07 18:00:00 CEST 2015, Time: ,Fri Aug 07 18:00:00 CEST 2015, Event: ,Tartu Santos v Flora Tallinn II, Favorite: ,Flora Tallinn II, 5412351   size:22.05,Price: ,1.29,The Draw, 58805   size:2.0,Price: ,6.2,Tartu Santos, 8449352   size:7.0,Price: ,9.8,x
1.119909942, Sport: ,Tennis, Time: ,Fri Aug 07 18:50:00 CEST 2015, Time: ,Fri Aug 07 18:50:00 CEST 2015, Event: ,Pavlyuchenkova v McHale, Favorite: ,Anastasia Pavlyuchenkov, 9438602   size:311.76,Price: ,1.71,Christina McHale, 8859302   size:235.89,Price: ,2.3,
1.119794615, Sport: ,Soccer, Time: ,Fri Aug 07 20:00:00 CEST 2015, Time: ,Fri Aug 07 20:00:00 CEST 2015, Event: ,FC Oss v Emmen, Favorite: ,Emmen, 419126   size:3.65,Price: ,2.58,FC Oss, 4987328   size:332.48,Price: ,2.78,The Draw, 58805   size:78.26,Price: ,3.8,ok
1.119766103, Sport: ,Soccer, Time: ,Fri Aug 07 18:30:00 CEST 2015, Time: ,Fri Aug 07 18:30:00 CEST 2015, Event: ,LASK Linz v Austria Klagenfurt, Favorite: ,LASK Linz, 453570   size:42.53,Price: ,1.8,The Draw, 58805   size:240.6,Price: ,4.0,Austria Klagenfurt, 4902204   size:30.64,Price: ,4.8,ok
1.119767433, Sport: ,Soccer, Time: ,Fri Aug 07 18:00:00 CEST 2015, Time: ,Fri Aug 07 18:00:00 CEST 2015, Event: ,Cracovia Krakow v Piast Gliwice, Favorite: ,Cracovia Krakow, 880537   size:21.6,Price: ,1.72,The Draw, 58805   size:114.94,Price: ,3.85,Piast Gliwice, 3157365   size:32.42,Price: ,6.0,x
