1.119120910, Sport: ,Basketball, Time: ,Sun Jun 14 17:00:00 CEST 2015, Time: ,Sun Jun 14 17:00:00 CEST 2015, Event: ,Pinar Karsiyaka v Anadolu Efes, Favorite: ,Pinar Karsiyaka, 631283   size:300.0,Price: ,1.57,Anadolu Efes, 5832279   size:2.55,Price: ,2.52,ok
1.119073384, Sport: ,Handball, Time: ,Sun Jun 14 16:15:00 CEST 2015, Time: ,Sun Jun 14 16:15:00 CEST 2015, Event: ,Sweden v Slovakia, Favorite: ,Sweden, 624135   size:307.21,Price: ,1.02,Slovakia, 624132   size:69.45,Price: ,18.0,Draw, 330157   size:69.07,Price: ,21.0,ok
1.119073021, Sport: ,Handball, Time: ,Sun Jun 14 17:15:00 CEST 2015, Time: ,Sun Jun 14 17:15:00 CEST 2015, Event: ,Croatia v Turkey, Favorite: ,Croatia, 620377   size:0.0,Price: ,0.0,Draw, 330157   size:2.7,Price: ,120.0,ok
1.119159655, Sport: ,Tennis, Time: ,Sun Jun 14 16:00:00 CEST 2015, Time: ,Sun Jun 14 16:00:00 CEST 2015, Event: ,Bolt v Devvarman, Favorite: ,Alex Bolt, 7283330   size:13.6,Price: ,1.57,Somdev Devvarman, 3261618   size:88.79,Price: ,2.0,ok
1.119135016, Sport: ,Handball, Time: ,Sun Jun 14 18:15:00 CEST 2015, Time: ,Sun Jun 14 18:15:00 CEST 2015, Event: ,Sweden (W) v Croatia (W), Favorite: ,Sweden (W), 5987068   size:143.46,Price: ,1.28,Croatia (W), 6257930   size:14.38,Price: ,4.8,Draw, 330157   size:76.69,Price: ,9.0,ok
1.119113926, Sport: ,Basketball, Time: ,Sun Jun 14 18:30:00 CEST 2015, Time: ,Sun Jun 14 18:30:00 CEST 2015, Event: ,Olympiacos v Panathinaikos, Favorite: ,Olympiacos, 278582   size:27.62,Price: ,1.18,Panathinaikos, 266270   size:41.46,Price: ,4.4,ok
1.118847848, Sport: ,Basketball, Time: ,Sun Jun 14 17:00:00 CEST 2015, Time: ,Sun Jun 14 17:00:00 CEST 2015, Event: ,Italy (W) v Poland (W), Favorite: ,Italy (W), 6427225   size:2.55,Price: ,1.71,Poland (W), 6427244   size:2.55,Price: ,2.22,ok
1.119134959, Sport: ,Handball, Time: ,Sun Jun 14 16:30:00 CEST 2015, Time: ,Sun Jun 14 16:30:00 CEST 2015, Event: ,Iceland (W) v Montenegro (W), Favorite: ,Montenegro (W), 6257695   size:2.64,Price: ,1.22,Iceland (W), 6257662   size:4.13,Price: ,5.9,Draw, 330157   size:3.56,Price: ,9.8,x
1.119161569, Sport: ,Tennis, Time: ,Sun Jun 14 18:00:00 CEST 2015, Time: ,Sun Jun 14 18:00:00 CEST 2015, Event: ,E Ymer v Fratangelo, Favorite: ,Elias Ymer, 7414305   size:27.72,Price: ,1.89,Bjorn Fratangelo, 7593723   size:315.2,Price: ,2.02,ok
1.119161306, Sport: ,Tennis, Time: ,Sun Jun 14 16:00:00 CEST 2015, Time: ,Sun Jun 14 16:00:00 CEST 2015, Event: ,Donati v Zemlja, Favorite: ,Grega Zemlja, 3509269   size:3.64,Price: ,1.51,Matteo Donati, 8285864   size:2.82,Price: ,2.42,ok
1.119161499, Sport: ,Tennis, Time: ,Sun Jun 14 16:00:00 CEST 2015, Time: ,Sun Jun 14 16:00:00 CEST 2015, Event: ,Falconi v Larcher De Brito, Favorite: ,Irina Falconi, 4946384   size:16.85,Price: ,1.8,Michelle Larcher de Bri, 9283774   size:15.87,Price: ,2.22,x
1.119130109, Sport: ,Baseball, Time: ,Sun Jun 14 20:10:00 CEST 2015, Time: ,Sun Jun 14 20:10:00 CEST 2015, Event: ,WSH @ MIL, Favorite: ,Washington (M Scherzer), 9378791   size:319.0,Price: ,1.7,Milwaukee (T Jungmann), 9573008   size:102.57,Price: ,2.36,ok
1.118847840, Sport: ,Basketball, Time: ,Sun Jun 14 17:00:00 CEST 2015, Time: ,Sun Jun 14 17:00:00 CEST 2015, Event: ,Montenegro (W) v Ukraine (W), Favorite: ,Montenegro (W), 6427234   size:2.55,Price: ,1.08,Ukraine (W), 6427226   size:2.79,Price: ,7.8,ok
1.119160599, Sport: ,Tennis, Time: ,Sun Jun 14 14:00:00 CEST 2015, Time: ,Sun Jun 14 14:00:00 CEST 2015, Event: ,Beretta v Collarini, Favorite: ,Andrea Collarini, 8284716   size:93.94,Price: ,1.41,Duilio Beretta, 8326761   size:24.62,Price: ,2.98,ok
1.119117089, Sport: ,Basketball, Time: ,Sun Jun 14 17:00:00 CEST 2015, Time: ,Sun Jun 14 17:00:00 CEST 2015, Event: ,Strasbourg v Limoges, Favorite: ,Strasbourg, 1193143   size:67.0,Price: ,1.52,Limoges, 3817200   size:2.55,Price: ,2.72,ok
