1.119103929, Sport: ,Tennis, Time: ,Tue Jun 09 11:00:00 CEST 2015, Time: ,Tue Jun 09 11:00:00 CEST 2015, Event: ,Gimeno-Traver v Verdasco, Favorite: ,Fernando Verdasco, 2256480   size:432.31,Price: ,1.14,Daniel Gimeno-Traver, 8260127   size:32.27,Price: ,7.6,okok
1.119117019, Sport: ,Tennis, Time: ,Tue Jun 09 13:00:00 CEST 2015, Time: ,Tue Jun 09 13:00:00 CEST 2015, Event: ,M Pavic v A Zverev, Favorite: ,Alexander Zverev, 7430944   size:73.0,Price: ,1.68,Mate Pavic, 5704638   size:248.91,Price: ,2.26,okok
1.119101348, Sport: ,Tennis, Time: ,Tue Jun 09 11:30:00 CEST 2015, Time: ,Tue Jun 09 11:30:00 CEST 2015, Event: ,Souza v Podlipnik-Castillo, Favorite: ,Joao Souza, 4490590   size:27.41,Price: ,1.27,Hans Podlipnik-Castillo, 8461633   size:4.55,Price: ,4.0,xx
1.119100258, Sport: ,Tennis, Time: ,Tue Jun 09 13:00:00 CEST 2015, Time: ,Tue Jun 09 13:00:00 CEST 2015, Event: ,Djere v Rublev, Favorite: ,Andrey Rublev, 7797771   size:5.12,Price: ,1.34,Laslo Djere, 7692106   size:4.97,Price: ,3.3,okok
1.119111672, Sport: ,Tennis, Time: ,Tue Jun 09 12:30:00 CEST 2015, Time: ,Tue Jun 09 12:30:00 CEST 2015, Event: ,Chiudinelli v Paire, Favorite: ,Benoit Paire, 3911345   size:106.66,Price: ,1.48,Marco Chiudinelli, 2263632   size:5.0,Price: ,2.96,xx
1.119113695, Sport: ,Tennis, Time: ,Tue Jun 09 13:30:00 CEST 2015, Time: ,Tue Jun 09 13:30:00 CEST 2015, Event: ,Gajdosova v McHale, Favorite: ,Jarmila Gajdosova, 5497360   size:66.35,Price: ,1.53,Christina McHale, 8859302   size:21.81,Price: ,2.7,xx
1.119107215, Sport: ,Tennis, Time: ,Tue Jun 09 11:00:00 CEST 2015, Time: ,Tue Jun 09 11:00:00 CEST 2015, Event: ,Muhammad/Siegemund v Goncalves/Melichar, Favorite: ,Muhammad/Siegemund, 9568210   size:4.55,Price: ,1.76,Goncalves/Melichar, 9568211   size:3.92,Price: ,2.04,okok
1.119111786, Sport: ,Tennis, Time: ,Tue Jun 09 10:00:00 CEST 2015, Time: ,Tue Jun 09 10:00:00 CEST 2015, Event: ,Dutra Silva v Z Kolar, Favorite: ,Rogerio Dutra Silva, 2301068   size:117.59,Price: ,1.32,Zdenek Kolar, 8575039   size:3.88,Price: ,4.0,okok
1.119104865, Sport: ,Tennis, Time: ,Tue Jun 09 15:00:00 CEST 2015, Time: ,Tue Jun 09 15:00:00 CEST 2015, Event: ,Konta v Rybarikova, Favorite: ,Johanna Konta, 5596561   size:75.29,Price: ,1.81,Magdalena Rybarikova, 2548763   size:93.99,Price: ,2.14,okok
1.119051034, Sport: ,Basketball, Time: ,Tue Jun 09 10:15:00 CEST 2015, Time: ,Tue Jun 09 10:15:00 CEST 2015, Event: ,Meralco Bolts v Alaska Aces, Favorite: ,Alaska Aces, 3803222   size:47.31,Price: ,1.65,Meralco Bolts, 5023541   size:6.29,Price: ,2.48,okok
1.119108780, Sport: ,Tennis, Time: ,Tue Jun 09 12:45:00 CEST 2015, Time: ,Tue Jun 09 12:45:00 CEST 2015, Event: ,N Barrientos v Ma Gonzalez, Favorite: ,Maximo Gonzalez, 2489416   size:2.55,Price: ,1.25,Nicolas Barrientos, 7083200   size:2.55,Price: ,4.3,okok
1.119101356, Sport: ,Tennis, Time: ,Tue Jun 09 11:30:00 CEST 2015, Time: ,Tue Jun 09 11:30:00 CEST 2015, Event: ,And Martin v Montanes, Favorite: ,Albert Montanes, 2263599   size:12.02,Price: ,1.42,Andrej Martin, 5071877   size:6.05,Price: ,2.98,okok
1.119109351, Sport: ,Tennis, Time: ,Tue Jun 09 12:45:00 CEST 2015, Time: ,Tue Jun 09 12:45:00 CEST 2015, Event: ,Mar Sanchez v Pavlyuchenkova, Favorite: ,Anastasia Pavlyuchenkov, 9438602   size:126.51,Price: ,1.25,Maria Sanchez, 5374654   size:75.15,Price: ,4.7,okok
1.119100266, Sport: ,Tennis, Time: ,Tue Jun 09 10:00:00 CEST 2015, Time: ,Tue Jun 09 10:00:00 CEST 2015, Event: ,Donskoy v Rola, Favorite: ,Blaz Rola, 8174357   size:45.25,Price: ,1.6,Evgeny Donskoy, 3391304   size:24.04,Price: ,2.58,xx
1.119109356, Sport: ,Tennis, Time: ,Tue Jun 09 14:15:00 CEST 2015, Time: ,Tue Jun 09 14:15:00 CEST 2015, Event: ,Pegula v Bencic, Favorite: ,Belinda Bencic, 6390244   size:730.06,Price: ,1.25,Jessica Pegula, 6215852   size:59.0,Price: ,4.4,okok
1.119101352, Sport: ,Tennis, Time: ,Tue Jun 09 13:15:00 CEST 2015, Time: ,Tue Jun 09 13:15:00 CEST 2015, Event: ,Kovalik v Lindell, Favorite: ,Jozef Kovalik, 7287668   size:2.25,Price: ,1.47,Christian Lindell, 4843189   size:12.82,Price: ,2.8,okok
1.119100262, Sport: ,Tennis, Time: ,Tue Jun 09 16:00:00 CEST 2015, Time: ,Tue Jun 09 16:00:00 CEST 2015, Event: ,Shyla v Khachanov, Favorite: ,Karen Khachanov, 7659623   size:11.51,Price: ,1.31,Yaraslav Shyla, 8520676   size:5.04,Price: ,3.55,okok
1.119116771, Sport: ,Tennis, Time: ,Tue Jun 09 13:30:00 CEST 2015, Time: ,Tue Jun 09 13:30:00 CEST 2015, Event: ,N Osaka v Stefani, Favorite: ,Naomi Osaka, 7640637   size:2.55,Price: ,1.14,Luisa Stefani, 8304362   size:30.42,Price: ,5.7,okok
1.119053393, Sport: ,Baseball, Time: ,Wed Jun 10 02:10:00 CEST 2015, Time: ,Wed Jun 10 02:10:00 CEST 2015, Event: ,HOU @ CWS, Favorite: ,Houston (D Keuchel), 6453422   size:469.0,Price: ,1.75,Chicago White Sox (C Rodon), 9469946   size:299.0,Price: ,2.18,xx
1.119100986, Sport: ,Tennis, Time: ,Tue Jun 09 15:30:00 CEST 2015, Time: ,Tue Jun 09 15:30:00 CEST 2015, Event: ,G Pella v Travaglia, Favorite: ,Guido Pella, 6162610   size:1321.4,Price: ,1.16,Stefano Travaglia, 8477117   size:6.58,Price: ,5.3,okok
1.119100588, Sport: ,Tennis, Time: ,Tue Jun 09 11:00:00 CEST 2015, Time: ,Tue Jun 09 11:00:00 CEST 2015, Event: ,Troicki v Coric, Favorite: ,Viktor Troicki, 2263624   size:336.38,Price: ,1.56,Borna Coric, 7446579   size:59.66,Price: ,2.68,okok
