1.119076437, Sport: ,Snooker, Time: ,Fri Jun 05 11:00:00 CEST 2015, Time: ,Fri Jun 05 11:00:00 CEST 2015, Event: ,Lawler v Burns, Favorite: ,Rod Lawler, 2278817   size:7.11,Price: ,1.75,Ian Burns, 5760960   size:188.12,Price: ,2.14,xxxxxx
1.119076436, Sport: ,Snooker, Time: ,Fri Jun 05 11:00:00 CEST 2015, Time: ,Fri Jun 05 11:00:00 CEST 2015, Event: ,J Robertson v Lisowski, Favorite: ,Jimmy Robertson, 2725261   size:26.97,Price: ,1.67,Jack Lisowski, 5119439   size:3.51,Price: ,2.28,xxxxxx
1.119074850, Sport: ,Tennis, Time: ,Fri Jun 05 15:45:00 CEST 2015, Time: ,Fri Jun 05 15:45:00 CEST 2015, Event: ,Kovalik v Carballes Baena, Favorite: ,Roberto Carballes Baena, 7185192   size:7.14,Price: ,1.75,Jozef Kovalik, 7287668   size:5.0,Price: ,2.22,xxxxxx
1.119076116, Sport: ,Tennis, Time: ,Fri Jun 05 14:00:00 CEST 2015, Time: ,Fri Jun 05 14:00:00 CEST 2015, Event: ,Starace v Ma Gonzalez, Favorite: ,Potito Starace, 2263615   size:2.55,Price: ,1.94,Maximo Gonzalez, 2489416   size:38.88,Price: ,1.95,xxxxxx
1.119044393, Sport: ,Basketball, Time: ,Sat Jun 06 02:00:00 CEST 2015, Time: ,Sat Jun 06 02:00:00 CEST 2015, Event: ,San Martin v La Union, Favorite: ,San Martin, 8861781   size:11.91,Price: ,1.44,La Union, 6343998   size:124.37,Price: ,2.98,okokokokokok
1.119061907, Sport: ,Handball, Time: ,Fri Jun 05 20:00:00 CEST 2015, Time: ,Fri Jun 05 20:00:00 CEST 2015, Event: ,Bietigheim v Bergischer, Favorite: ,Bietigheim, 6904927   size:4.08,Price: ,1.96,Bergischer, 4500054   size:3.28,Price: ,2.44,Draw, 330157   size:38.72,Price: ,8.2,okokokokokok
1.119044394, Sport: ,Basketball, Time: ,Sat Jun 06 03:00:00 CEST 2015, Time: ,Sat Jun 06 03:00:00 CEST 2015, Event: ,Quimsa v Atenas, Favorite: ,Quimsa, 6243645   size:1318.75,Price: ,1.18,Atenas, 6719082   size:4.04,Price: ,5.3,okokokokok
1.119076432, Sport: ,Tennis, Time: ,Fri Jun 05 15:00:00 CEST 2015, Time: ,Fri Jun 05 15:00:00 CEST 2015, Event: ,Mestach v Hlavackova, Favorite: ,Andrea Hlavackova, 2405315   size:5.01,Price: ,1.77,An-Sophie Mestach, 4818332   size:4.18,Price: ,2.12,ok
1.119051077, Sport: ,Baseball, Time: ,Sat Jun 06 01:05:00 CEST 2015, Time: ,Sat Jun 06 01:05:00 CEST 2015, Event: ,SF @ PHI, Favorite: ,San Francisco (T Lincecum), 2403237   size:114.77,Price: ,1.77,Philadelphia (J Williams), 8769955   size:103.0,Price: ,2.24,okokokokokok
1.119046291, Sport: ,Tennis, Time: ,Fri Jun 05 14:30:00 CEST 2015, Time: ,Fri Jun 05 14:30:00 CEST 2015, Event: ,Dellacqua/Shvedova v Makarova/Vesnina, Favorite: ,Makarova/Vesnina, 6369481   size:2.55,Price: ,1.59,Dellacqua/Shvedova, 9451227   size:2.56,Price: ,2.48,xxxxxx
