1.119380881, Sport: ,Soccer, Time: ,Sun Jul 05 06:00:00 CEST 2015, Time: ,Sun Jul 05 06:00:00 CEST 2015, Event: ,FC Osaka v Vanraure Hachinohe, Favorite: ,Vanraure Hachinohe, 7632116   size:71.24,Price: ,1.23,The Draw, 58805   size:10.04,Price: ,3.0,ok
1.119270170, Sport: ,Soccer, Time: ,Sun Jul 05 01:30:00 CEST 2015, Time: ,Sun Jul 05 01:30:00 CEST 2015, Event: ,Louisville FC v Richmond Kickers, Favorite: ,Louisville FC, 9524915   size:2.0,Price: ,2.24,Richmond Kickers, 3155355   size:9.49,Price: ,2.76,The Draw, 58805   size:2.0,Price: ,3.4,ok
1.119267360, Sport: ,Soccer, Time: ,Sun Jul 05 02:00:00 CEST 2015, Time: ,Sun Jul 05 02:00:00 CEST 2015, Event: ,America MG v Mogi Mirim, Favorite: ,America MG, 4516149   size:619.65,Price: ,1.42,The Draw, 58805   size:136.8,Price: ,4.7,Mogi Mirim, 1039199   size:49.72,Price: ,10.0,ok
1.119252624, Sport: ,Soccer, Time: ,Sun Jul 05 00:00:00 CEST 2015, Time: ,Sun Jul 05 00:00:00 CEST 2015, Event: ,Vancouver Whitecaps U23 v Seattle Sounders 2, Favorite: ,Seattle Sounders 2, 9587865   size:10.3,Price: ,2.14,Vancouver Whitecaps U23, 7372688   size:10.08,Price: ,2.36,The Draw, 58805   size:2.0,Price: ,3.35,x
1.119250369, Sport: ,Soccer, Time: ,Sun Jul 05 02:00:00 CEST 2015, Time: ,Sun Jul 05 02:00:00 CEST 2015, Event: ,Chapecoense v Vasco da Gama, Favorite: ,Chapecoense, 2909511   size:8.4,Price: ,1.96,The Draw, 58805   size:16.81,Price: ,3.35,Vasco da Gama, 784535   size:75.22,Price: ,4.9,ok
1.119260320, Sport: ,Volleyball, Time: ,Sat Jul 04 20:30:00 CEST 2015, Time: ,Sat Jul 04 20:30:00 CEST 2015, Event: ,Slovakia v Egypt, Favorite: ,Slovakia, 1191329   size:15.16,Price: ,1.52,Egypt, 1185654   size:2.56,Price: ,2.62,x
1.119323277, Sport: ,Soccer, Time: ,Sat Jul 04 22:00:00 CEST 2015, Time: ,Sat Jul 04 22:00:00 CEST 2015, Event: ,Sol de America (Par) v Deportivo Capiata, Favorite: ,Sol de America (Par), 9329179   size:16.51,Price: ,2.24,Deportivo Capiata, 7037000   size:14.57,Price: ,3.45,The Draw, 58805   size:17.37,Price: ,3.5,x
1.119313034, Sport: ,Boxing, Time: ,Sat Jul 04 23:00:00 CEST 2015, Time: ,Sat Jul 04 23:00:00 CEST 2015, Event: ,Conlan v Granados, Favorite: ,Jamie Conlan, 8827565   size:27783.05,Price: ,1.01,Junior Granados, 9731538   size:3.21,Price: ,55.0,Draw, 31162   size:5.41,Price: ,75.0,ok
1.119271059, Sport: ,Soccer, Time: ,Sun Jul 05 01:30:00 CEST 2015, Time: ,Sun Jul 05 01:30:00 CEST 2015, Event: ,LDU v Aucas, Favorite: ,LDU, 474678   size:15.43,Price: ,1.41,The Draw, 58805   size:10.64,Price: ,4.9,Aucas, 897347   size:37.29,Price: ,8.8,ok
1.119387489, Sport: ,Baseball, Time: ,Sun Jul 05 04:10:00 CEST 2015, Time: ,Sun Jul 05 04:10:00 CEST 2015, Event: ,COL @ ARI, Favorite: ,Arizona (P Corbin), 6344320   size:334.36,Price: ,1.63,Colorado (D Hale), 9515546   size:459.38,Price: ,2.44,ok
1.119250770, Sport: ,Soccer, Time: ,Sat Jul 04 20:45:00 CEST 2015, Time: ,Sat Jul 04 20:45:00 CEST 2015, Event: ,Sligo Rovers v Galway Utd, Favorite: ,Sligo Rovers, 387040   size:290.44,Price: ,2.16,The Draw, 58805   size:183.06,Price: ,3.45,Galway Utd, 318841   size:53.02,Price: ,3.9,x
1.119313118, Sport: ,Boxing, Time: ,Sat Jul 04 21:00:00 CEST 2015, Time: ,Sat Jul 04 21:00:00 CEST 2015, Event: ,Langford v Avalos, Favorite: ,Tommy Langford, 9731620   size:532.96,Price: ,1.05,Julio Cesar Avalos, 9731621   size:5.3,Price: ,16.5,Draw, 31162   size:4.7,Price: ,32.0,ok
1.119321265, Sport: ,Basketball, Time: ,Sat Jul 04 22:45:00 CEST 2015, Time: ,Sat Jul 04 22:45:00 CEST 2015, Event: ,France (W) v Slovak Republic (W), Favorite: ,France (W), 6469563   size:3.56,Price: ,1.29,Slovak Republic (W), 6427245   size:7.05,Price: ,3.55,ok
1.119250699, Sport: ,Soccer, Time: ,Sat Jul 04 20:30:00 CEST 2015, Time: ,Sat Jul 04 20:30:00 CEST 2015, Event: ,Longford v Bohemians, Favorite: ,Bohemians, 3814   size:150.51,Price: ,2.22,The Draw, 58805   size:482.76,Price: ,3.4,Longford, 184330   size:105.45,Price: ,3.85,x
1.119250171, Sport: ,Soccer, Time: ,Sun Jul 05 02:00:00 CEST 2015, Time: ,Sun Jul 05 02:00:00 CEST 2015, Event: ,CRB v Boa, Favorite: ,CRB, 6368159   size:472.69,Price: ,1.99,The Draw, 58805   size:16.82,Price: ,3.35,Boa, 5900070   size:81.16,Price: ,4.6,x
1.119269452, Sport: ,Soccer, Time: ,Sun Jul 05 03:00:00 CEST 2015, Time: ,Sun Jul 05 03:00:00 CEST 2015, Event: ,Dallas v New England, Favorite: ,Dallas, 171910   size:46.83,Price: ,2.04,The Draw, 58805   size:145.33,Price: ,3.6,New England, 171907   size:60.59,Price: ,4.0,ok
1.117688831, Sport: ,American Football, Time: ,Sun Jul 05 00:00:00 CEST 2015, Time: ,Sun Jul 05 00:00:00 CEST 2015, Event: ,BC @ Ottawa, Favorite: ,BC, 2014481   size:15.18,Price: ,1.68,Ottawa, 8604244   size:15.33,Price: ,2.36,x
