1.121322935, Sport: ,Soccer, Time: ,Sat Oct 24 02:30:00 CEST 2015, Time: ,Sat Oct 24 02:30:00 CEST 2015, Event: ,Gimnasia Jujuy v Villa Dalmine, Favorite: ,Gimnasia Jujuy, 1213580   size:35.97,Price: ,2.86,Villa Dalmine, 5971695   size:7.24,Price: ,2.9,The Draw, 58805   size:93.25,Price: ,3.05
1.121360067, Sport: ,Soccer, Time: ,Sat Oct 24 04:30:00 CEST 2015, Time: ,Sat Oct 24 04:30:00 CEST 2015, Event: ,Santos Laguna v Cruz Azul, Favorite: ,Santos Laguna, 328957   size:12.71,Price: ,2.18,Cruz Azul, 328204   size:21.87,Price: ,3.7,The Draw, 58805   size:13.37,Price: ,3.55
1.121422504, Sport: ,Volleyball, Time: ,Sat Oct 24 07:00:00 CEST 2015, Time: ,Sat Oct 24 07:00:00 CEST 2015, Event: ,Seoul Woori Card Hansae v Ansan Rush&cash, Favorite: ,Ansan Rush&cash, 10443744   size:30.64,Price: ,1.01,Seoul Woori Card Hansae, 10391680   size:5.9,Price: ,1.38
1.121429853, Sport: ,Soccer, Time: ,Sat Oct 24 08:30:00 CEST 2015, Time: ,Sat Oct 24 08:30:00 CEST 2015, Event: ,Wong Tai Sin v Southern District, Favorite: ,Wong Tai Sin, 8839726   size:80.0,Price: ,1.1,Southern District, 10268893   size:80.0,Price: ,1.1,The Draw, 58805   size:30.77,Price: ,1.26
1.121429330, Sport: ,Soccer, Time: ,Sat Oct 24 09:30:00 CEST 2015, Time: ,Sat Oct 24 09:30:00 CEST 2015, Event: ,AEL Kallonis U20 v Levadiakos FC U20, Favorite: ,AEL Kallonis U20, 9220044   size:3.63,Price: ,1.07,Levadiakos FC U20, 9212628   size:3.63,Price: ,1.07,The Draw, 58805   size:2.78,Price: ,1.25
1.121329540, Sport: ,Cricket, Time: ,Sat Oct 24 10:00:00 CEST 2015, Time: ,Sat Oct 24 10:00:00 CEST 2015, Event: ,Namibia v Ireland, Favorite: ,Namibia, 144199   size:2166.11,Price: ,1.04,Ireland, 152530   size:2166.11,Price: ,1.04,The Draw, 60443   size:2166.11,Price: ,1.04
1.121433542, Sport: ,Soccer, Time: ,Sat Oct 24 10:00:00 CEST 2015, Time: ,Sat Oct 24 10:00:00 CEST 2015, Event: ,CS Balotesti v Berceni, Favorite: ,CS Balotesti, 7161082   size:7.54,Price: ,1.81,Berceni, 6681486   size:7.54,Price: ,2.06,The Draw, 58805   size:12.5,Price: ,2.12
1.121433760, Sport: ,Soccer, Time: ,Sat Oct 24 10:00:00 CEST 2015, Time: ,Sat Oct 24 10:00:00 CEST 2015, Event: ,FC Brasov v CS Mioveni, Favorite: ,FC Brasov, 3204853   size:7.54,Price: ,1.46,CS Mioveni, 5525359   size:5.0,Price: ,2.92,The Draw, 58805   size:2.78,Price: ,3.1
1.121433815, Sport: ,Soccer, Time: ,Sat Oct 24 10:00:00 CEST 2015, Time: ,Sat Oct 24 10:00:00 CEST 2015, Event: ,Ramnicu Valcea v Olimpia Satu Mare, Favorite: ,Ramnicu Valcea, 4189796   size:5.0,Price: ,1.45,Olimpia Satu Mare, 6681485   size:5.0,Price: ,2.2,The Draw, 58805   size:12.5,Price: ,2.02
1.121429385, Sport: ,Soccer, Time: ,Sat Oct 24 10:00:00 CEST 2015, Time: ,Sat Oct 24 10:00:00 CEST 2015, Event: ,Atromitos Athens U20 v Olympiakos U20, Favorite: ,Atromitos Athens U20, 6320780   size:3.63,Price: ,1.07,Olympiakos U20, 5226002   size:3.63,Price: ,1.07,The Draw, 58805   size:4.17,Price: ,2.88
