1.122736104, Sport: ,Soccer, Time: ,Tue Jan 26 20:45:00 CET 2016, Time: ,Tue Jan 26 20:45:00 CET 2016, Event: ,Bognor Regis v Burgess Hill Town, Favorite: ,Bognor Regis, 1230960   size:13.81,Price: ,1.04,Burgess Hill Town, 3396718   size:13.81,Price: ,1.04,The Draw, 58805   size:15.75,Price: ,2.88,x
1.122738001, Sport: ,Soccer, Time: ,Tue Jan 26 10:00:00 CET 2016, Time: ,Tue Jan 26 10:00:00 CET 2016, Event: ,Thanh Hoa U19 v Nam Dinh U19, Favorite: ,Thanh Hoa U19, 8379917   size:2.54,Price: ,1.84,Nam Dinh U19, 8288394   size:25.73,Price: ,3.55,The Draw, 58805   size:49.99,Price: ,3.4,ok
1.122661498, Sport: ,Soccer, Time: ,Tue Jan 26 20:45:00 CET 2016, Time: ,Tue Jan 26 20:45:00 CET 2016, Event: ,Shrewsbury v Oldham, Favorite: ,Shrewsbury, 148735   size:160.73,Price: ,2.58,Oldham, 69819   size:133.56,Price: ,3.0,The Draw, 58805   size:306.67,Price: ,3.45,x
1.122731335, Sport: ,Basketball, Time: ,Tue Jan 26 02:05:00 CET 2016, Time: ,Tue Jan 26 02:05:00 CET 2016, Event: ,Houston Rockets @ New Orleans Pelicans, Favorite: ,New Orleans Pelicans, 7379341   size:231.78,Price: ,1.55,Houston Rockets, 237488   size:71.15,Price: ,2.76,x
1.122730524, Sport: ,Ice Hockey, Time: ,Tue Jan 26 17:30:00 CET 2016, Time: ,Tue Jan 26 17:30:00 CET 2016, Event: ,Vaasan Sport v Ilves Tampere, Favorite: ,Vaasan Sport, 3328655   size:97.0,Price: ,2.06,Ilves Tampere, 261249   size:109.0,Price: ,3.25,Tie, 60104   size:97.0,Price: ,4.0,ok
1.122738008, Sport: ,Volleyball, Time: ,Tue Jan 26 11:00:00 CET 2016, Time: ,Tue Jan 26 11:00:00 CET 2016, Event: ,Ansan Rush&cash v Deajeon Bluefangs, Favorite: ,Ansan Rush&cash, 10443744   size:8.69,Price: ,1.74,Deajeon Bluefangs, 10389009   size:2.54,Price: ,2.16,ok
1.122635017, Sport: ,Soccer, Time: ,Tue Jan 26 20:45:00 CET 2016, Time: ,Tue Jan 26 20:45:00 CET 2016, Event: ,Telford v Hednesford, Favorite: ,Telford, 183604   size:2.56,Price: ,2.26,Hednesford, 728404   size:2.54,Price: ,2.92,The Draw, 58805   size:3.96,Price: ,3.5,x
1.122742478, Sport: ,Tennis, Time: ,Mon Jan 25 21:45:00 CET 2016, Time: ,Mon Jan 25 21:45:00 CET 2016, Event: ,Austin v Escobedo, Favorite: ,Ernesto Escobedo, 8700174   size:14.96,Price: ,1.76,Gonzales Austin, 9623169   size:2.54,Price: ,2.16,ok
1.122753590, Sport: ,Tennis, Time: ,Tue Jan 26 09:00:00 CET 2016, Time: ,Tue Jan 26 09:00:00 CET 2016, Event: ,Laura Schaeder v Anais Van Cauter, Favorite: ,Laura Schaeder, 7216212   size:9.21,Price: ,1.06,Anais Van Cauter, 9627166   size:9.21,Price: ,1.06,ok
1.122738895, Sport: ,Soccer, Time: ,Tue Jan 26 11:00:00 CET 2016, Time: ,Tue Jan 26 11:00:00 CET 2016, Event: ,Slovan Liberec v Spartak Trnava, Favorite: ,Slovan Liberec, 10503   size:2.03,Price: ,1.36,Spartak Trnava, 427643   size:2.0,Price: ,8.4,The Draw, 58805   size:2.54,Price: ,5.0,ok
1.122747807, Sport: ,Soccer, Time: ,Tue Jan 26 15:45:00 CET 2016, Time: ,Tue Jan 26 15:45:00 CET 2016, Event: ,Al Hadd v East Riffa, Favorite: ,Al Hadd, 6758121   size:44.56,Price: ,2.36,East Riffa, 5992610   size:11.54,Price: ,2.72,The Draw, 58805   size:16.0,Price: ,3.1,ok
1.122753591, Sport: ,Tennis, Time: ,Tue Jan 26 10:30:00 CET 2016, Time: ,Tue Jan 26 10:30:00 CET 2016, Event: ,Melis Sezer v Daiana Negreanu, Favorite: ,Melis Sezer, 8698942   size:9.21,Price: ,1.06,Daiana Negreanu, 9002318   size:9.21,Price: ,1.06,ok
1.122730371, Sport: ,Ice Hockey, Time: ,Tue Jan 26 19:00:00 CET 2016, Time: ,Tue Jan 26 19:00:00 CET 2016, Event: ,Rodovre Mighty Bulls v Aalborg Pirates, Favorite: ,Rodovre Mighty Bulls, 2584385   size:24.07,Price: ,1.66,Aalborg Pirates, 6672025   size:5.89,Price: ,3.4,Tie, 60104   size:32.82,Price: ,5.0,ok
1.122753593, Sport: ,Tennis, Time: ,Tue Jan 26 10:30:00 CET 2016, Time: ,Tue Jan 26 10:30:00 CET 2016, Event: ,Steffi Distelmans v Alena Weiss, Favorite: ,Steffi Distelmans, 9628640   size:9.21,Price: ,1.06,Alena Weiss, 10220621   size:9.21,Price: ,1.06,ok
1.122730531, Sport: ,Ice Hockey, Time: ,Tue Jan 26 19:30:00 CET 2016, Time: ,Tue Jan 26 19:30:00 CET 2016, Event: ,Adler Mannheim v Straubing Tigers, Favorite: ,Adler Mannheim, 233924   size:18.0,Price: ,1.15,Straubing Tigers, 2056843   size:43.75,Price: ,4.0,Tie, 60104   size:30.53,Price: ,5.3,x
1.122661082, Sport: ,Soccer, Time: ,Tue Jan 26 20:45:00 CET 2016, Time: ,Tue Jan 26 20:45:00 CET 2016, Event: ,Bury v Crewe, Favorite: ,Bury, 223503   size:105.03,Price: ,1.66,Crewe, 47991   size:39.38,Price: ,6.0,The Draw, 58805   size:226.37,Price: ,4.2,x
1.122731509, Sport: ,Basketball, Time: ,Tue Jan 26 17:30:00 CET 2016, Time: ,Tue Jan 26 17:30:00 CET 2016, Event: ,BC Nizhny Novgorod v Union Olimpija, Favorite: ,BC Nizhny Novgorod, 8998311   size:525.12,Price: ,1.25,Union Olimpija, 266278   size:43.57,Price: ,4.2,ok
1.122661918, Sport: ,Soccer, Time: ,Tue Jan 26 20:45:00 CET 2016, Time: ,Tue Jan 26 20:45:00 CET 2016, Event: ,Brentford v Leeds, Favorite: ,Brentford, 78864   size:12.62,Price: ,2.16,Leeds, 48317   size:44.01,Price: ,3.85,The Draw, 58805   size:583.77,Price: ,3.6,x
1.122742231, Sport: ,Tennis, Time: ,Mon Jan 25 23:00:00 CET 2016, Time: ,Mon Jan 25 23:00:00 CET 2016, Event: ,Meister/Quigley v Bester/Polansky, Favorite: ,Bester/Polansky, 10029195   size:3.2,Price: ,1.6,Meister/Quigley, 10752569   size:5.47,Price: ,2.54,ok
1.122740172, Sport: ,Soccer, Time: ,Tue Jan 26 13:00:00 CET 2016, Time: ,Tue Jan 26 13:00:00 CET 2016, Event: ,Georgia U19 v Bulgaria U19, Favorite: ,Georgia U19, 1474125   size:2.54,Price: ,1.24,Bulgaria U19, 1472344   size:11.05,Price: ,1.75,The Draw, 58805   size:11.05,Price: ,3.0,ok
1.122743775, Sport: ,Soccer, Time: ,Tue Jan 26 20:45:00 CET 2016, Time: ,Tue Jan 26 20:45:00 CET 2016, Event: ,Skelmersdale Utd v Ramsbottom Utd, Favorite: ,Skelmersdale Utd, 3491517   size:66.09,Price: ,1.99,Ramsbottom Utd, 7885854   size:33.14,Price: ,2.98,The Draw, 58805   size:26.78,Price: ,3.45,x
1.122662369, Sport: ,Soccer, Time: ,Tue Jan 26 10:30:00 CET 2016, Time: ,Tue Jan 26 10:30:00 CET 2016, Event: ,Binh Dinh U19 v Quang Ngai U19, Favorite: ,Binh Dinh U19, 8286343   size:64.34,Price: ,2.02,Quang Ngai U19, 10718663   size:33.14,Price: ,2.98,The Draw, 58805   size:49.99,Price: ,3.35,x
1.122743773, Sport: ,Soccer, Time: ,Tue Jan 26 20:45:00 CET 2016, Time: ,Tue Jan 26 20:45:00 CET 2016, Event: ,Braintree v Wrexham, Favorite: ,Braintree, 1282860   size:20.6,Price: ,2.74,Wrexham, 63604   size:36.66,Price: ,2.78,The Draw, 58805   size:50.55,Price: ,3.55,ok
1.122736281, Sport: ,Soccer, Time: ,Tue Jan 26 20:00:00 CET 2016, Time: ,Tue Jan 26 20:00:00 CET 2016, Event: ,Alftanes (W) v Skinandi (W), Favorite: ,Alftanes (W), 5232581   size:13.81,Price: ,1.04,Skinandi (W), 10698161   size:13.81,Price: ,1.04,The Draw, 58805   size:15.75,Price: ,2.88,x
1.122740422, Sport: ,Tennis, Time: ,Tue Jan 26 18:00:00 CET 2016, Time: ,Tue Jan 26 18:00:00 CET 2016, Event: ,Montanes v B Trinker, Favorite: ,Albert Montanes, 2263599   size:3.19,Price: ,1.44,Bastian Trinker, 6498880   size:16.89,Price: ,3.1,x
1.122726953, Sport: ,Cricket, Time: ,Tue Jan 26 05:30:00 CET 2016, Time: ,Tue Jan 26 05:30:00 CET 2016, Event: ,United Bank Ltd v N Bank of Pakistan, Favorite: ,United Bank Ltd, 7983062   size:159.39,Price: ,1.03,N Bank of Pakistan, 7983048   size:159.39,Price: ,1.03,x
1.122740426, Sport: ,Tennis, Time: ,Tue Jan 26 18:00:00 CET 2016, Time: ,Tue Jan 26 18:00:00 CET 2016, Event: ,Cachin v Falla, Favorite: ,Alejandro Falla, 2284300   size:2.54,Price: ,1.4,Pedro Cachin, 8461316   size:2.54,Price: ,2.94,x
1.122661395, Sport: ,Soccer, Time: ,Tue Jan 26 20:45:00 CET 2016, Time: ,Tue Jan 26 20:45:00 CET 2016, Event: ,Peterborough v Burton, Favorite: ,Peterborough, 18563   size:19.46,Price: ,2.36,Burton, 205084   size:15.14,Price: ,3.25,The Draw, 58805   size:52.52,Price: ,3.7,x
1.122753460, Sport: ,Tennis, Time: ,Tue Jan 26 10:00:00 CET 2016, Time: ,Tue Jan 26 10:00:00 CET 2016, Event: ,Elise Mertens v Stefanie Voegele, Favorite: ,Elise Mertens, 9002334   size:6.14,Price: ,1.09,Stefanie Voegele, 3622149   size:6.14,Price: ,1.09,x
