1.122574773, Sport: ,Volleyball, Time: ,Sat Jan 16 19:30:00 CET 2016, Time: ,Sat Jan 16 19:30:00 CET 2016, Event: ,VfB Friedrichshafen v TV Rottenburg, Favorite: ,VfB Friedrichshafen, 2281578   size:11.06,Price: ,1.01,TV Rottenburg, 4488523   size:26.69,Price: ,5.0,ok
1.122506426, Sport: ,Soccer, Time: ,Sun Jan 17 15:00:00 CET 2016, Time: ,Sun Jan 17 15:00:00 CET 2016, Event: ,Catania v Monopoli, Favorite: ,Catania, 201262   size:5.81,Price: ,1.55,Monopoli, 10284167   size:2.61,Price: ,6.2,The Draw, 58805   size:2.69,Price: ,3.8,x
1.122626580, Sport: ,Soccer, Time: ,Sun Jan 17 12:00:00 CET 2016, Time: ,Sun Jan 17 12:00:00 CET 2016, Event: ,SS Reyes v Trival Valderas, Favorite: ,SS Reyes, 2250334   size:10.83,Price: ,1.68,Trival Valderas, 5924333   size:32.74,Price: ,3.95,The Draw, 58805   size:32.74,Price: ,3.25,x
1.122509934, Sport: ,Soccer, Time: ,Sat Jan 16 20:30:00 CET 2016, Time: ,Sat Jan 16 20:30:00 CET 2016, Event: ,Villarreal v Betis, Favorite: ,Villarreal, 28191   size:2185.96,Price: ,1.56,Betis, 44507   size:1199.27,Price: ,7.6,The Draw, 58805   size:4252.28,Price: ,4.3,x
1.122574770, Sport: ,Volleyball, Time: ,Sat Jan 16 19:30:00 CET 2016, Time: ,Sat Jan 16 19:30:00 CET 2016, Event: ,Powervolleys Dueren v Netzhoppers Kk-Bestense, Favorite: ,Powervolleys Dueren, 10410537   size:2.61,Price: ,1.03,Netzhoppers Kk-Bestense, 10565516   size:2.61,Price: ,1.03,ok
1.122612790, Sport: ,Basketball, Time: ,Sun Jan 17 16:00:00 CET 2016, Time: ,Sun Jan 17 16:00:00 CET 2016, Event: ,Szczecin v Energa Czarni Slupsk, Favorite: ,Szczecin, 8832807   size:3.2,Price: ,1.03,Energa Czarni Slupsk, 2125689   size:13.97,Price: ,1.42,x
1.122584687, Sport: ,Soccer, Time: ,Sat Jan 16 22:00:00 CET 2016, Time: ,Sat Jan 16 22:00:00 CET 2016, Event: ,Puerto Montt v Union San Felipe, Favorite: ,Puerto Montt, 5684078   size:5.08,Price: ,2.54,Union San Felipe, 4966011   size:6.93,Price: ,3.1,The Draw, 58805   size:2.93,Price: ,3.15,x
1.122637114, Sport: ,Tennis, Time: ,Sun Jan 17 05:00:00 CET 2016, Time: ,Sun Jan 17 05:00:00 CET 2016, Event: ,San Singh v C Yi, Favorite: ,Sanam Singh, 6596565   size:122.45,Price: ,1.32,Chu-Huan Yi, 8699710   size:24.49,Price: ,2.6,x
1.122626470, Sport: ,Soccer, Time: ,Sun Jan 17 17:00:00 CET 2016, Time: ,Sun Jan 17 17:00:00 CET 2016, Event: ,SD Balmaseda FC v CD Aurrera de Vitoria, Favorite: ,SD Balmaseda FC, 6283876   size:13.41,Price: ,1.55,CD Aurrera de Vitoria, 6520554   size:32.74,Price: ,4.7,The Draw, 58805   size:32.74,Price: ,3.35,x
1.122625146, Sport: ,Soccer, Time: ,Sun Jan 17 15:30:00 CET 2016, Time: ,Sun Jan 17 15:30:00 CET 2016, Event: ,CD Pradejon v CA Rivers Ebro, Favorite: ,CA Rivers Ebro, 9301047   size:2.55,Price: ,2.08,CD Pradejon, 7708972   size:71.07,Price: ,2.84,The Draw, 58805   size:2.55,Price: ,3.2,ok
1.122499078, Sport: ,Soccer, Time: ,Sat Jan 16 20:00:00 CET 2016, Time: ,Sat Jan 16 20:00:00 CET 2016, Event: ,Ajaccio GFCO v Reims, Favorite: ,Ajaccio GFCO, 676422   size:90.84,Price: ,2.56,Reims, 298233   size:949.64,Price: ,3.75,The Draw, 58805   size:20.7,Price: ,2.72,x
1.122626359, Sport: ,Soccer, Time: ,Sun Jan 17 16:00:00 CET 2016, Time: ,Sun Jan 17 16:00:00 CET 2016, Event: ,Rayo Vallecano B v CDA Navalcarnero, Favorite: ,Rayo Vallecano B, 4943236   size:10.83,Price: ,2.36,CDA Navalcarnero, 9376533   size:42.49,Price: ,2.54,The Draw, 58805   size:33.07,Price: ,2.98,x
1.122584114, Sport: ,Basketball, Time: ,Sun Jan 17 10:00:00 CET 2016, Time: ,Sun Jan 17 10:00:00 CET 2016, Event: ,Okinawa v Hamamatsu, Favorite: ,Okinawa, 6718537   size:3.2,Price: ,1.03,Hamamatsu, 6718617   size:3.2,Price: ,1.03,ok
1.122584233, Sport: ,Basketball, Time: ,Sun Jan 17 08:00:00 CET 2016, Time: ,Sun Jan 17 08:00:00 CET 2016, Event: ,Anyang KGC Pro v Ulsan Mobis Phoebus, Favorite: ,Ulsan Mobis Phoebus, 8998222   size:7.52,Price: ,1.78,Anyang KGC Pro, 10276570   size:2.55,Price: ,2.04,x
1.122630975, Sport: ,Soccer, Time: ,Sun Jan 17 14:00:00 CET 2016, Time: ,Sun Jan 17 14:00:00 CET 2016, Event: ,DR Congo v Ethiopia A, Favorite: ,DR Congo, 85303   size:12.09,Price: ,1.56,Ethiopia A, 8198992   size:8.09,Price: ,4.1,The Draw, 58805   size:15.09,Price: ,3.05,ok
1.122614159, Sport: ,Volleyball, Time: ,Sun Jan 17 11:00:00 CET 2016, Time: ,Sun Jan 17 11:00:00 CET 2016, Event: ,Cajasol Juvasa v CAI Teruel, Favorite: ,Cajasol Juvasa, 7848178   size:2.61,Price: ,1.03,Cai Teruel, 4384949   size:2.61,Price: ,1.03,x
1.122624981, Sport: ,Soccer, Time: ,Sun Jan 17 11:30:00 CET 2016, Time: ,Sun Jan 17 11:30:00 CET 2016, Event: ,CD Colonia Moscardo v CD San Fernando, Favorite: ,CD San Fernando, 9320398   size:2.55,Price: ,1.85,CD Colonia Moscardo, 10402940   size:2.55,Price: ,3.45,The Draw, 58805   size:32.74,Price: ,3.15,ok
1.122625036, Sport: ,Soccer, Time: ,Sun Jan 17 17:00:00 CET 2016, Time: ,Sun Jan 17 17:00:00 CET 2016, Event: ,CD Cristo Atletico v CD Becerril, Favorite: ,CD Cristo Atletico, 8278815   size:10.51,Price: ,1.7,CD Becerril, 8041102   size:32.74,Price: ,3.95,The Draw, 58805   size:32.74,Price: ,3.15,x
1.122584462, Sport: ,Basketball, Time: ,Sun Jan 17 10:00:00 CET 2016, Time: ,Sun Jan 17 10:00:00 CET 2016, Event: ,Seoul Thunders v Dongbu Promy, Favorite: ,Seoul Thunders, 8000107   size:9.62,Price: ,1.61,Dongbu Promy, 5154590   size:5.23,Price: ,2.4,ok
1.122626800, Sport: ,Soccer, Time: ,Sun Jan 17 11:45:00 CET 2016, Time: ,Sun Jan 17 11:45:00 CET 2016, Event: ,UD Maracena v Alhaurin de la Torre CF, Favorite: ,Alhaurin de la Torre CF, 9320417   size:2.55,Price: ,2.44,UD Maracena, 7895800   size:2.55,Price: ,2.48,The Draw, 58805   size:32.71,Price: ,3.05,ok
1.122626249, Sport: ,Soccer, Time: ,Sun Jan 17 16:00:00 CET 2016, Time: ,Sun Jan 17 16:00:00 CET 2016, Event: ,Ordenes CF v UD Barbadas-Bentraces, Favorite: ,Ordenes CF, 8811934   size:48.82,Price: ,2.34,UD Barbadas-Bentraces, 8325330   size:41.95,Price: ,2.56,The Draw, 58805   size:33.07,Price: ,2.98,x
1.122614150, Sport: ,Volleyball, Time: ,Sun Jan 17 18:00:00 CET 2016, Time: ,Sun Jan 17 18:00:00 CET 2016, Event: ,Yamamay Busto Arsizio v Bene Scandicci, Favorite: ,Bene Scandicci, 10381550   size:2.61,Price: ,1.03,Yamamay Busto Arsizio, 6143979   size:4.93,Price: ,1.65,ok
1.122499182, Sport: ,Soccer, Time: ,Sat Jan 16 20:00:00 CET 2016, Time: ,Sat Jan 16 20:00:00 CET 2016, Event: ,Bordeaux v Lille, Favorite: ,Bordeaux, 10501   size:2055.0,Price: ,2.58,Lille, 44790   size:75.16,Price: ,3.6,The Draw, 58805   size:2.0,Price: ,2.94,ok
1.122637254, Sport: ,Basketball, Time: ,Sun Jan 17 19:00:00 CET 2016, Time: ,Sun Jan 17 19:00:00 CET 2016, Event: ,Oberwart v Gussing, Favorite: ,Oberwart, 7036690   size:3.2,Price: ,1.03,Gussing, 7036689   size:3.2,Price: ,1.03,x
1.122584467, Sport: ,Soccer, Time: ,Sat Jan 16 20:00:00 CET 2016, Time: ,Sat Jan 16 20:00:00 CET 2016, Event: ,KRC Gent-Zeehaven v Sparta Petegem, Favorite: ,The Draw, 58805   size:21.29,Price: ,1.05,KRC Gent-Zeehaven, 7573685   size:77.0,Price: ,2.3,Sparta Petegem, 10717096   size:77.0,Price: ,2.04,x
1.122523321, Sport: ,Soccer, Time: ,Sun Jan 17 15:00:00 CET 2016, Time: ,Sun Jan 17 15:00:00 CET 2016, Event: ,Bologna v Lazio, Favorite: ,Lazio, 56966   size:118.41,Price: ,2.26,Bologna, 199545   size:385.47,Price: ,3.75,The Draw, 58805   size:22.61,Price: ,3.35,x
