1.121528998, Sport: ,Basketball, Time: ,Sun Nov 01 00:00:00 CET 2015, Time: ,Sun Nov 01 00:00:00 CET 2015, Event: ,Atenas v Quimsa, Favorite: ,Quimsa, 6243645   size:2.55,Price: ,1.19,Atenas, 6719082   size:16.0,Price: ,1.5,ok
1.121502645, Sport: ,Soccer, Time: ,Sun Nov 01 00:30:00 CET 2015, Time: ,Sun Nov 01 00:30:00 CET 2015, Event: ,Racing Club v Crucero del Norte, Favorite: ,Racing Club, 198558   size:707.61,Price: ,1.21,Crucero del Norte, 6471163   size:210.01,Price: ,22.0,The Draw, 58805   size:49.84,Price: ,7.4,ok
1.121592321, Sport: ,Soccer, Time: ,Sun Nov 01 01:00:00 CET 2015, Time: ,Sun Nov 01 01:00:00 CET 2015, Event: ,Union San Felipe v Curico Unido, Favorite: ,Union San Felipe, 4966011   size:26.23,Price: ,1.85,Curico Unido, 5429246   size:3.5,Price: ,4.4,The Draw, 58805   size:2.8,Price: ,3.6,x
1.121521604, Sport: ,Soccer, Time: ,Sat Oct 31 23:30:00 CET 2015, Time: ,Sat Oct 31 23:30:00 CET 2015, Event: ,Sol de America (Par) v Sportivo Luqueno, Favorite: ,Sol de America (Par), 9329179   size:61.9,Price: ,1.79,Sportivo Luqueno, 2844791   size:52.59,Price: ,4.8,The Draw, 58805   size:63.35,Price: ,4.0,ok
1.121559029, Sport: ,Soccer, Time: ,Sun Nov 01 00:00:00 CET 2015, Time: ,Sun Nov 01 00:00:00 CET 2015, Event: ,Defensor Sporting v Juventud (Uru), Favorite: ,Defensor Sporting, 1222679   size:2.78,Price: ,1.7,Juventud (Uru), 6607159   size:3.78,Price: ,5.3,The Draw, 58805   size:6.05,Price: ,3.8,ok
1.121569095, Sport: ,Soccer, Time: ,Sat Oct 31 22:00:00 CET 2015, Time: ,Sat Oct 31 22:00:00 CET 2015, Event: ,Imbabura SC v Deportivo Azogues, Favorite: ,Imbabura SC, 8420043   size:61.41,Price: ,1.7,Deportivo Azogues, 7560951   size:48.41,Price: ,5.1,The Draw, 58805   size:49.68,Price: ,3.75,x
1.121604085, Sport: ,Tennis, Time: ,Sat Oct 31 21:43:00 CET 2015, Time: ,Sat Oct 31 21:43:00 CET 2015, Event: ,Slobodchikov v Jo Ho, Favorite: ,Jonathan Ho, 8780279   size:55.56,Price: ,1.12,Ronald Slobodchikov, 8859090   size:5.07,Price: ,1.45,ok
1.121604166, Sport: ,Tennis, Time: ,Sat Oct 31 23:00:00 CET 2015, Time: ,Sat Oct 31 23:00:00 CET 2015, Event: ,Estrella Burgos v de Bakker, Favorite: ,Thiemo De Bakker, 8720949   size:100.0,Price: ,1.77,Victor Estrella Burgos, 7430580   size:7.13,Price: ,2.28,ok
1.121560331, Sport: ,Soccer, Time: ,Sun Nov 01 00:00:00 CET 2015, Time: ,Sun Nov 01 00:00:00 CET 2015, Event: ,Alianza FC (Panama) v CD Plaza Amador, Favorite: ,Alianza FC (Panama), 8216009   size:7.87,Price: ,2.52,CD Plaza Amador, 7899390   size:2.55,Price: ,3.05,The Draw, 58805   size:4.13,Price: ,3.15,x
1.121521678, Sport: ,Soccer, Time: ,Sat Oct 31 21:30:00 CET 2015, Time: ,Sat Oct 31 21:30:00 CET 2015, Event: ,Rubio Nu v Sportivo San Lorenzo, Favorite: ,Rubio Nu, 5363620   size:2.8,Price: ,2.74,Sportivo San Lorenzo, 7598628   size:70.57,Price: ,3.25,The Draw, 58805   size:134.06,Price: ,3.0,ok
1.121395294, Sport: ,Ice Hockey, Time: ,Sun Nov 01 01:05:00 CET 2015, Time: ,Sun Nov 01 01:05:00 CET 2015, Event: ,Minnesota @ St Louis, Favorite: ,St Louis, 2110000   size:5.0,Price: ,2.28,Minnesota, 2109894   size:46.33,Price: ,3.05,Tie, 60104   size:68.26,Price: ,4.0,x
1.121567158, Sport: ,Soccer, Time: ,Sat Oct 31 22:00:00 CET 2015, Time: ,Sat Oct 31 22:00:00 CET 2015, Event: ,Linense SP v Nacional SP, Favorite: ,Linense SP, 5231798   size:5.0,Price: ,1.03,Nacional SP, 9993174   size:29.5,Price: ,1.05,The Draw, 58805   size:7.0,Price: ,2.2,x
1.121603685, Sport: ,Darts, Time: ,Sat Oct 31 23:00:00 CET 2015, Time: ,Sat Oct 31 23:00:00 CET 2015, Event: ,Wade v Klaasen, Favorite: ,James Wade, 2409762   size:13.18,Price: ,1.65,Jelle Klaasen, 2414411   size:358.3,Price: ,2.3,x
1.121564249, Sport: ,Basketball, Time: ,Sun Nov 01 00:35:00 CET 2015, Time: ,Sun Nov 01 00:35:00 CET 2015, Event: ,Golden State @ New Orleans, Favorite: ,Golden State, 13126   size:15.41,Price: ,1.5,New Orleans, 6860646   size:35.54,Price: ,2.94,ok
1.121502933, Sport: ,Soccer, Time: ,Sat Oct 31 23:20:00 CET 2015, Time: ,Sat Oct 31 23:20:00 CET 2015, Event: ,Union Santa Fe v San Martin de San Juan, Favorite: ,Union Santa Fe, 194516   size:22.62,Price: ,2.28,San Martin de San Juan, 5637011   size:5.0,Price: ,3.7,The Draw, 58805   size:15.69,Price: ,3.3,x
1.121559759, Sport: ,Soccer, Time: ,Sat Oct 31 22:30:00 CET 2015, Time: ,Sat Oct 31 22:30:00 CET 2015, Event: ,CD Marathon v Vida, Favorite: ,CD Marathon, 3379962   size:2.55,Price: ,2.22,Vida, 8369517   size:3.36,Price: ,3.35,The Draw, 58805   size:9.5,Price: ,3.25,ok
1.121529003, Sport: ,Basketball, Time: ,Sun Nov 01 01:00:00 CET 2015, Time: ,Sun Nov 01 01:00:00 CET 2015, Event: ,Instituto Atletico Cent v Regatas, Favorite: ,Instituto Atletico Cent, 10346458   size:2.55,Price: ,1.78,Regatas, 6718792   size:134.83,Price: ,2.12,x
1.121422823, Sport: ,Soccer, Time: ,Sat Oct 31 22:05:00 CET 2015, Time: ,Sat Oct 31 22:05:00 CET 2015, Event: ,Sociedad v Celta Vigo, Favorite: ,Sociedad, 79323   size:112.08,Price: ,2.64,Celta Vigo, 66483   size:403.75,Price: ,2.92,The Draw, 58805   size:1139.57,Price: ,3.55,x
1.121564371, Sport: ,Basketball, Time: ,Sun Nov 01 00:05:00 CET 2015, Time: ,Sun Nov 01 00:05:00 CET 2015, Event: ,Utah @ Indiana, Favorite: ,Indiana, 13116   size:86.29,Price: ,1.64,Utah, 13119   size:7.12,Price: ,2.5,x
1.121421043, Sport: ,Soccer, Time: ,Sun Nov 01 00:00:00 CET 2015, Time: ,Sun Nov 01 00:00:00 CET 2015, Event: ,Coritiba v Figueirense, Favorite: ,Coritiba, 198141   size:1052.77,Price: ,2.14,Figueirense, 198125   size:355.69,Price: ,4.1,The Draw, 58805   size:73.4,Price: ,3.4,x
