1.122106399, Sport: ,Tennis, Time: ,Wed Dec 02 10:00:00 CET 2015, Time: ,Wed Dec 02 10:00:00 CET 2015, Event: ,Vocel, Matej v Konecny, Michal, Favorite: ,Michal Konecny, 8522533   size:252.27,Price: ,1.4,Matej Vocel, 9564819   size:2.54,Price: ,2.92,ok
1.122090628, Sport: ,Soccer, Time: ,Wed Dec 02 20:15:00 CET 2015, Time: ,Wed Dec 02 20:15:00 CET 2015, Event: ,Rabat Ajax FC v Melita FC Saint Julian, Favorite: ,Rabat Ajax FC, 6618704   size:10.31,Price: ,2.16,Melita FC Saint Julian, 6593950   size:14.91,Price: ,2.16,The Draw, 58805   size:20.29,Price: ,3.25,x
1.122106398, Sport: ,Tennis, Time: ,Wed Dec 02 11:30:00 CET 2015, Time: ,Wed Dec 02 11:30:00 CET 2015, Event: ,Rikl, Patrik v Lootsma, Niels, Favorite: ,Niels Lootsma, 8813438   size:79.27,Price: ,1.15,Patrik Rikl, 9435277   size:31.05,Price: ,4.6,ok
1.121994690, Sport: ,Soccer, Time: ,Wed Dec 02 16:00:00 CET 2015, Time: ,Wed Dec 02 16:00:00 CET 2015, Event: ,Leixoes v Benfica B, Favorite: ,Benfica B, 6563318   size:29.57,Price: ,2.62,Leixoes, 146050   size:51.08,Price: ,3.0,The Draw, 58805   size:13.46,Price: ,3.3,x
1.122092490, Sport: ,Snooker, Time: ,Wed Dec 02 14:00:00 CET 2015, Time: ,Wed Dec 02 14:00:00 CET 2015, Event: ,Peter Ebdon v David Grace, Favorite: ,Peter Ebdon, 2278791   size:7.12,Price: ,1.4,David Grace, 3439626   size:7.22,Price: ,3.1,x
1.122077558, Sport: ,Soccer, Time: ,Thu Dec 03 01:30:00 CET 2015, Time: ,Thu Dec 03 01:30:00 CET 2015, Event: ,Barcelona (Ecu) v LDU Loja, Favorite: ,Barcelona (Ecu), 330964   size:2.09,Price: ,1.5,LDU Loja, 6001716   size:9.89,Price: ,5.5,The Draw, 58805   size:2.04,Price: ,3.8,ok
1.122090071, Sport: ,Soccer, Time: ,Wed Dec 02 11:00:00 CET 2015, Time: ,Wed Dec 02 11:00:00 CET 2015, Event: ,FC Samtredia v Sioni Bolnisi, Favorite: ,FC Samtredia, 6830593   size:10.0,Price: ,1.29,Sioni Bolnisi, 489083   size:5.0,Price: ,1.33,The Draw, 58805   size:5.0,Price: ,3.25,x
1.122076109, Sport: ,Basketball, Time: ,Wed Dec 02 11:00:00 CET 2015, Time: ,Wed Dec 02 11:00:00 CET 2015, Event: ,Dongbu Promy v Ulsan Mobis Phoebus, Favorite: ,Ulsan Mobis Phoebus, 8998222   size:34.73,Price: ,1.75,Dongbu Promy, 5154590   size:118.26,Price: ,2.2,x
1.122106396, Sport: ,Tennis, Time: ,Wed Dec 02 11:30:00 CET 2015, Time: ,Wed Dec 02 11:30:00 CET 2015, Event: ,Mertl, Jan v Papik, Tomas, Favorite: ,Jan Mertl, 3034493   size:52.82,Price: ,1.03,Tomas Papik, 8596322   size:3.78,Price: ,10.5,x
1.121996198, Sport: ,Soccer, Time: ,Wed Dec 02 14:00:00 CET 2015, Time: ,Wed Dec 02 14:00:00 CET 2015, Event: ,Servette U19 v Anderlecht U19, Favorite: ,Servette U19, 10317886   size:3.76,Price: ,1.11,Anderlecht U19, 6569315   size:3.76,Price: ,1.11,The Draw, 58805   size:5.0,Price: ,3.2,x
