1.120983054, Sport: ,Soccer, Time: ,Fri Oct 02 19:00:00 CEST 2015, Time: ,Fri Oct 02 19:00:00 CEST 2015, Event: ,FK Metalac v Javor, Favorite: ,FK Metalac, 4104733   size:2.55,Price: ,2.66,Javor, 3258168   size:8.0,Price: ,2.76,The Draw, 58805   size:5.62,Price: ,2.98,x
1.120866767, Sport: ,Soccer, Time: ,Fri Oct 02 20:30:00 CEST 2015, Time: ,Fri Oct 02 20:30:00 CEST 2015, Event: ,KAA Gent (W) v Lierse SK (W), Favorite: ,KAA Gent (W), 7613482   size:2.78,Price: ,1.09,Lierse SK (W), 7021471   size:2.78,Price: ,1.09,The Draw, 58805   size:11.99,Price: ,1.29,x
1.120888490, Sport: ,Soccer, Time: ,Fri Oct 02 22:00:00 CEST 2015, Time: ,Fri Oct 02 22:00:00 CEST 2015, Event: ,Aucas v Mushuc Runa, Favorite: ,Aucas, 897347   size:6.29,Price: ,1.72,Mushuc Runa, 8225986   size:2.62,Price: ,4.9,The Draw, 58805   size:2.55,Price: ,3.6,x
1.120978314, Sport: ,Tennis, Time: ,Fri Oct 02 10:30:00 CEST 2015, Time: ,Fri Oct 02 10:30:00 CEST 2015, Event: ,Lajovic v Mat Viola, Favorite: ,Dusan Lajovic, 4688724   size:166.25,Price: ,1.29,Matteo Viola, 4946664   size:74.43,Price: ,4.3,ok
1.121034875, Sport: ,Tennis, Time: ,Fri Oct 02 18:30:00 CEST 2015, Time: ,Fri Oct 02 18:30:00 CEST 2015, Event: ,Marchenko v P Mathieu, Favorite: ,Paul-Henri Mathieu, 8259186   size:8.36,Price: ,1.85,Illya Marchenko, 3691700   size:2.55,Price: ,2.02,x
1.120999633, Sport: ,Soccer, Time: ,Fri Oct 02 17:00:00 CEST 2015, Time: ,Fri Oct 02 17:00:00 CEST 2015, Event: ,AGF Fodbold U19 v FC Copenhagen U19, Favorite: ,AGF Fodbold U19, 8734019   size:2.78,Price: ,1.09,FC Copenhagen U19, 7653274   size:2.78,Price: ,1.09,The Draw, 58805   size:11.99,Price: ,1.29,x
1.120866522, Sport: ,Soccer, Time: ,Fri Oct 02 20:00:00 CEST 2015, Time: ,Fri Oct 02 20:00:00 CEST 2015, Event: ,Pandurii v Viitorul Constanta, Favorite: ,Pandurii, 1556995   size:184.32,Price: ,2.3,Viitorul Constanta, 5431165   size:5.0,Price: ,3.6,The Draw, 58805   size:279.1,Price: ,3.2,ok
1.120863254, Sport: ,Soccer, Time: ,Fri Oct 02 19:00:00 CEST 2015, Time: ,Fri Oct 02 19:00:00 CEST 2015, Event: ,Trabzonspor v Torku Konyaspor, Favorite: ,Trabzonspor, 113125   size:373.75,Price: ,1.74,Torku Konyaspor, 6553233   size:58.59,Price: ,5.6,The Draw, 58805   size:24.38,Price: ,3.85,x
1.120861074, Sport: ,Soccer, Time: ,Fri Oct 02 21:30:00 CEST 2015, Time: ,Fri Oct 02 21:30:00 CEST 2015, Event: ,Setubal v Estoril, Favorite: ,Setubal, 321036   size:8.04,Price: ,2.68,Estoril, 505980   size:14.22,Price: ,2.98,The Draw, 58805   size:1162.78,Price: ,3.25,ok
1.120854306, Sport: ,Baseball, Time: ,Sat Oct 03 02:10:00 CEST 2015, Time: ,Sat Oct 03 02:10:00 CEST 2015, Event: ,KC @ MIN, Favorite: ,Minnesota (E Santana), 9844428   size:1471.94,Price: ,1.81,Kansas City (C Young), 9448847   size:99.0,Price: ,2.12,x
1.121020218, Sport: ,Tennis, Time: ,Fri Oct 02 11:00:00 CEST 2015, Time: ,Fri Oct 02 11:00:00 CEST 2015, Event: ,Igoshin/Shyla v Myneni/Sharan, Favorite: ,Igoshin/Shyla, 10343465   size:2.71,Price: ,1.03,Myneni/Sharan, 9324247   size:2.71,Price: ,1.03,ok
1.120995509, Sport: ,Tennis, Time: ,Fri Oct 02 12:00:00 CEST 2015, Time: ,Fri Oct 02 12:00:00 CEST 2015, Event: ,Cervantes v Cecchinato, Favorite: ,Marco Cecchinato, 6374165   size:3.73,Price: ,1.68,Inigo Cervantes, 6297238   size:50.55,Price: ,2.34,ok
1.120862773, Sport: ,Soccer, Time: ,Fri Oct 02 18:30:00 CEST 2015, Time: ,Fri Oct 02 18:30:00 CEST 2015, Event: ,Kaiserslautern v Fortuna Dusseldorf, Favorite: ,Kaiserslautern, 14075   size:240.26,Price: ,2.14,Fortuna Dusseldorf, 879210   size:5.0,Price: ,3.8,The Draw, 58805   size:205.6,Price: ,3.5,ok
1.120992077, Sport: ,Ice Hockey, Time: ,Fri Oct 02 18:00:00 CEST 2015, Time: ,Fri Oct 02 18:00:00 CEST 2015, Event: ,Pardubice v Vitkovice Steel, Favorite: ,Vitkovice Steel, 2878390   size:186.31,Price: ,1.26,Pardubice, 563269   size:15.88,Price: ,1.93,Tie, 60104   size:19.36,Price: ,4.5,ok
1.120995908, Sport: ,Ice Hockey, Time: ,Fri Oct 02 18:00:00 CEST 2015, Time: ,Fri Oct 02 18:00:00 CEST 2015, Event: ,Dukla Trencin v Kosice, Favorite: ,Tie, 60104   size:18.0,Price: ,1.16,Dukla Trencin, 1041073   size:16.73,Price: ,2.46,Kosice, 2078586   size:2.23,Price: ,2.24,ok
