1.122007616, Sport: ,Soccer, Time: ,Fri Dec 04 19:00:00 CET 2015, Time: ,Fri Dec 04 19:00:00 CET 2015, Event: ,Fortuna Koln v Osnabruck, Favorite: ,Osnabruck, 67187   size:16.32,Price: ,2.7,Fortuna Koln, 5790034   size:150.34,Price: ,2.84,The Draw, 58805   size:2.0,Price: ,3.4,x
1.122096883, Sport: ,Basketball, Time: ,Fri Dec 04 11:00:00 CET 2015, Time: ,Fri Dec 04 11:00:00 CET 2015, Event: ,Hiroshima v Sendai, Favorite: ,Sendai, 6718618   size:2.76,Price: ,1.02,Hiroshima, 10368766   size:7.15,Price: ,6.8,ok
1.122113744, Sport: ,Basketball, Time: ,Fri Dec 04 20:30:00 CET 2015, Time: ,Fri Dec 04 20:30:00 CET 2015, Event: ,Surrey v Bristol, Favorite: ,Bristol, 8862088   size:219.55,Price: ,1.63,Surrey, 6719046   size:34.1,Price: ,2.32,x
1.122096886, Sport: ,Basketball, Time: ,Fri Dec 04 13:00:00 CET 2015, Time: ,Fri Dec 04 13:00:00 CET 2015, Event: ,Maccabi Haifa v Hapoel M Jerusalem, Favorite: ,Hapoel M Jerusalem, 7758971   size:6.74,Price: ,1.5,Maccabi Haifa, 4953243   size:2.55,Price: ,2.7,ok
1.122113745, Sport: ,Basketball, Time: ,Fri Dec 04 17:15:00 CET 2015, Time: ,Fri Dec 04 17:15:00 CET 2015, Event: ,Balkan v Academic Bulteks 99, Favorite: ,Balkan, 7813765   size:2.76,Price: ,1.03,Academic Bulteks 99, 10393950   size:2.76,Price: ,1.03,ok
1.122113624, Sport: ,Basketball, Time: ,Sat Dec 05 03:35:00 CET 2015, Time: ,Sat Dec 05 03:35:00 CET 2015, Event: ,Cleveland @ New Orleans, Favorite: ,Cleveland, 13112   size:5.94,Price: ,1.21,New Orleans, 6860646   size:11.32,Price: ,2.04,x
1.122113740, Sport: ,Basketball, Time: ,Fri Dec 04 22:30:00 CET 2015, Time: ,Fri Dec 04 22:30:00 CET 2015, Event: ,Minas v Sao Jose, Favorite: ,Minas, 8948839   size:2.76,Price: ,1.03,Sao Jose, 7072335   size:2.76,Price: ,1.03,ok
1.122113741, Sport: ,Basketball, Time: ,Fri Dec 04 22:30:00 CET 2015, Time: ,Fri Dec 04 22:30:00 CET 2015, Event: ,Pinheiros v Paulistano, Favorite: ,Pinheiros, 6733502   size:2.76,Price: ,1.03,Paulistano, 8876562   size:2.76,Price: ,1.03,x
1.122113743, Sport: ,Basketball, Time: ,Fri Dec 04 20:30:00 CET 2015, Time: ,Fri Dec 04 20:30:00 CET 2015, Event: ,Leeds v Newcastle, Favorite: ,Newcastle, 6719050   size:2.76,Price: ,1.03,Leeds, 8862089   size:2.55,Price: ,1.23,ok
1.122009341, Sport: ,Soccer, Time: ,Fri Dec 04 18:30:00 CET 2015, Time: ,Fri Dec 04 18:30:00 CET 2015, Event: ,1860 Munich v FSV Frankfurt, Favorite: ,1860 Munich, 2443   size:3.68,Price: ,1.85,FSV Frankfurt, 2486890   size:2.55,Price: ,4.7,The Draw, 58805   size:2.55,Price: ,3.7,x
1.122151725, Sport: ,Tennis, Time: ,Fri Dec 04 10:00:00 CET 2015, Time: ,Fri Dec 04 10:00:00 CET 2015, Event: ,Mats Moraing v Artem Smirnov, Favorite: ,Mats Moraing, 8596348   size:2.55,Price: ,1.87,Artem Smirnov, 3813051   size:36.26,Price: ,1.88,x
1.122113173, Sport: ,Soccer, Time: ,Fri Dec 04 18:00:00 CET 2015, Time: ,Fri Dec 04 18:00:00 CET 2015, Event: ,FK Metalac v Novi Pazar, Favorite: ,FK Metalac, 4104733   size:2.55,Price: ,2.52,Novi Pazar, 4276821   size:2.75,Price: ,2.9,The Draw, 58805   size:21.28,Price: ,3.15,ok
1.122151724, Sport: ,Tennis, Time: ,Fri Dec 04 10:00:00 CET 2015, Time: ,Fri Dec 04 10:00:00 CET 2015, Event: ,Libor Salaba v Vaclav Safranek, Favorite: ,Vaclav Safranek, 8490631   size:2.55,Price: ,1.37,Libor Salaba, 8750028   size:8.11,Price: ,2.94,ok
1.122008134, Sport: ,Soccer, Time: ,Fri Dec 04 20:00:00 CET 2015, Time: ,Fri Dec 04 20:00:00 CET 2015, Event: ,Telstar v FC Oss, Favorite: ,Telstar, 67163   size:4.14,Price: ,1.69,FC Oss, 4987328   size:8.85,Price: ,5.2,The Draw, 58805   size:19.38,Price: ,4.4,x
