1.120285487, Sport: ,Soccer, Time: ,Sat Aug 29 17:00:00 CEST 2015, Time: ,Sat Aug 29 17:00:00 CEST 2015, Event: ,Monarcas Morelia U20 v Club Tijuana U20, Favorite: ,Club Tijuana U20, 6105903   size:137.55,Price: ,1.06,The Draw, 58805   size:2.52,Price: ,1.07,
1.120219824, Sport: ,Rugby Union, Time: ,Sat Aug 29 17:05:00 CEST 2015, Time: ,Sat Aug 29 17:05:00 CEST 2015, Event: ,Eastern Province v Sharks, Favorite: ,Sharks, 20878   size:2.62,Price: ,1.3,Eastern Province, 1167247   size:2.79,Price: ,3.9,Draw, 246289   size:2.73,Price: ,24.0,
1.120286262, Sport: ,Soccer, Time: ,Sat Aug 29 12:00:00 CEST 2015, Time: ,Sat Aug 29 12:00:00 CEST 2015, Event: ,Jagiellonia U19 v Motor Lublin U19, Favorite: ,The Draw, 58805   size:137.52,Price: ,1.06,
1.120301675, Sport: ,Volleyball, Time: ,Sat Aug 29 12:00:00 CEST 2015, Time: ,Sat Aug 29 12:00:00 CEST 2015, Event: ,Italy v Cuba, Favorite: ,Italy, 1176459   size:12.93,Price: ,1.66,Cuba, 2010180   size:10.22,Price: ,2.1,
1.120285265, Sport: ,Soccer, Time: ,Sat Aug 29 12:00:00 CEST 2015, Time: ,Sat Aug 29 12:00:00 CEST 2015, Event: ,FK Krazante v Lokomotyvas Radviliskis, Favorite: ,The Draw, 58805   size:136.27,Price: ,1.06,
1.120286333, Sport: ,Soccer, Time: ,Sat Aug 29 12:00:00 CEST 2015, Time: ,Sat Aug 29 12:00:00 CEST 2015, Event: ,Stelmet UKP U19 v KS Gornik Zabrze U19, Favorite: ,The Draw, 58805   size:137.52,Price: ,1.06,
1.120286388, Sport: ,Soccer, Time: ,Sat Aug 29 13:00:00 CEST 2015, Time: ,Sat Aug 29 13:00:00 CEST 2015, Event: ,UKS SMS Lodz U19 v MKS KSZO-Junior U19, Favorite: ,The Draw, 58805   size:137.52,Price: ,1.06,
1.120143438, Sport: ,Soccer, Time: ,Sat Aug 29 13:00:00 CEST 2015, Time: ,Sat Aug 29 13:00:00 CEST 2015, Event: ,Gallivare Malmbergets v Selanger FK, Favorite: ,Gallivare Malmbergets, 9371556   size:4.76,Price: ,1.8,Selanger FK, 6415352   size:14.62,Price: ,2.84,The Draw, 58805   size:2.56,Price: ,3.35,
1.120286461, Sport: ,Soccer, Time: ,Sat Aug 29 13:00:00 CEST 2015, Time: ,Sat Aug 29 13:00:00 CEST 2015, Event: ,Zaglebie Lubin U19 v KKS Lech Poznan U19, Favorite: ,The Draw, 58805   size:137.52,Price: ,1.06,
1.120143464, Sport: ,Soccer, Time: ,Sat Aug 29 13:00:00 CEST 2015, Time: ,Sat Aug 29 13:00:00 CEST 2015, Event: ,Bergnasets AIK v Bodens, Favorite: ,Bodens, 780884   size:2.0,Price: ,1.4,The Draw, 58805   size:2.35,Price: ,4.2,Bergnasets AIK, 9371568   size:16.86,Price: ,5.2,
