1.121803376, Sport: ,Soccer, Time: ,Sat Nov 14 11:00:00 CET 2015, Time: ,Sat Nov 14 11:00:00 CET 2015, Event: ,Kallithea FC U19 v Apollon Smirnis U19, Favorite: ,Kallithea FC U19, 10498207   size:11.13,Price: ,1.1,Apollon Smirnis U19, 10498175   size:11.13,Price: ,1.1,The Draw, 58805   size:12.45,Price: ,1.29,x
1.121793368, Sport: ,Soccer, Time: ,Sat Nov 14 15:30:00 CET 2015, Time: ,Sat Nov 14 15:30:00 CET 2015, Event: ,Marseille Consolat v Evian TG, Favorite: ,Evian TG, 4864973   size:4.96,Price: ,2.44,Marseille Consolat, 8750956   size:72.37,Price: ,3.3,The Draw, 58805   size:9.42,Price: ,3.25,ok
1.121818191, Sport: ,Tennis, Time: ,Sat Nov 14 10:00:00 CET 2015, Time: ,Sat Nov 14 10:00:00 CET 2015, Event: ,Cagla Buyukakcay v Klara Koukalova, Favorite: ,Klara Koukalova, 8445700   size:4.57,Price: ,1.45,Cagla Buyukakcay, 3051579   size:19.85,Price: ,2.78,x
1.121766662, Sport: ,Basketball, Time: ,Sat Nov 14 10:00:00 CET 2015, Time: ,Sat Nov 14 10:00:00 CET 2015, Event: ,Sendai v Iwate, Favorite: ,Sendai, 6718618   size:9.37,Price: ,1.1,Iwate, 6718620   size:6.03,Price: ,1.16,ok
1.121766663, Sport: ,Basketball, Time: ,Sat Nov 14 10:00:00 CET 2015, Time: ,Sat Nov 14 10:00:00 CET 2015, Event: ,Shiga v Hamamatsu, Favorite: ,Hamamatsu, 6718617   size:9.37,Price: ,1.1,Shiga, 6737025   size:6.03,Price: ,1.18,ok
1.121818193, Sport: ,Tennis, Time: ,Sat Nov 14 09:30:00 CET 2015, Time: ,Sat Nov 14 09:30:00 CET 2015, Event: ,N Osaka v Hibino, Favorite: ,Nao Hibino, 7683152   size:3.98,Price: ,1.58,Naomi Osaka, 7640637   size:112.18,Price: ,2.64,x
1.121766660, Sport: ,Basketball, Time: ,Sat Nov 14 10:00:00 CET 2015, Time: ,Sat Nov 14 10:00:00 CET 2015, Event: ,Nara v Kanazawa Samurais, Favorite: ,Kanazawa Samurais, 10370638   size:4.92,Price: ,1.32,Nara, 7759193   size:6.03,Price: ,1.65,ok
1.121743020, Sport: ,Soccer, Time: ,Sat Nov 14 15:00:00 CET 2015, Time: ,Sat Nov 14 15:00:00 CET 2015, Event: ,Stomil Olsztyn v Miedz Legnica, Favorite: ,Miedz Legnica, 4935893   size:3.85,Price: ,2.54,Stomil Olsztyn, 7449117   size:12.71,Price: ,3.05,The Draw, 58805   size:3.33,Price: ,3.4,ok
1.121766661, Sport: ,Basketball, Time: ,Sat Nov 14 10:00:00 CET 2015, Time: ,Sat Nov 14 10:00:00 CET 2015, Event: ,Niigata v Fukushima, Favorite: ,Niigata, 6718619   size:5.56,Price: ,1.06,Fukushima, 8832819   size:6.03,Price: ,1.33,ok
1.121806524, Sport: ,Tennis, Time: ,Sat Nov 14 13:00:00 CET 2015, Time: ,Sat Nov 14 13:00:00 CET 2015, Event: ,Neuchrist/Weissborn v Sabanov/Sabanov, Favorite: ,Neuchrist/Weissborn, 10507637   size:6.12,Price: ,1.52,Sabanov/Sabanov, 10107989   size:3.62,Price: ,1.84,ok
