1.122482687, Sport: ,Darts, Time: ,Thu Jan 07 22:00:00 CET 2016, Time: ,Thu Jan 07 22:00:00 CET 2016, Event: ,Scott Waites v Geert De Vos, Favorite: ,Scott Waites, 2623671   size:3.69,Price: ,1.38,Geert De Vos, 6745321   size:6.91,Price: ,3.2,ok
1.122466192, Sport: ,Darts, Time: ,Thu Jan 07 17:00:00 CET 2016, Time: ,Thu Jan 07 17:00:00 CET 2016, Event: ,Trina Gulliver v Lisa Ashton, Favorite: ,Lisa Ashton, 6962364   size:2.55,Price: ,1.14,Trina Gulliver, 2759081   size:2.55,Price: ,4.7,x
1.122481352, Sport: ,Basketball, Time: ,Thu Jan 07 11:00:00 CET 2016, Time: ,Thu Jan 07 11:00:00 CET 2016, Event: ,Samsung Life Blue Minx v KDB Life Winnus, Favorite: ,KDB Life Winnus, 5166575   size:2.61,Price: ,1.08,Samsung Life Blue Minx, 7894748   size:2.55,Price: ,1.49,ok
1.122471739, Sport: ,Soccer, Time: ,Wed Jan 06 23:00:00 CET 2016, Time: ,Wed Jan 06 23:00:00 CET 2016, Event: ,Nautico U20 v Paysandu SC U20, Favorite: ,Nautico U20, 6730978   size:270.98,Price: ,1.83,Paysandu SC U20, 10676701   size:12.04,Price: ,4.8,The Draw, 58805   size:20.34,Price: ,3.95,x
1.122471813, Sport: ,Soccer, Time: ,Wed Jan 06 23:00:00 CET 2016, Time: ,Wed Jan 06 23:00:00 CET 2016, Event: ,CA Penapolense U20 v Santa Cruz Recife U20, Favorite: ,CA Penapolense U20, 9534522   size:242.15,Price: ,2.12,Santa Cruz Recife U20, 10306468   size:142.49,Price: ,2.9,The Draw, 58805   size:6.38,Price: ,3.85,ok
1.122473576, Sport: ,Volleyball, Time: ,Thu Jan 07 09:00:00 CET 2016, Time: ,Thu Jan 07 09:00:00 CET 2016, Event: ,GS Caltex Kixx v Hyundai Hillstate, Favorite: ,Hyundai Hillstate, 10391682   size:2.55,Price: ,1.32,GS Caltex Kixx, 10391693   size:2.55,Price: ,3.55,ok
1.122489987, Sport: ,Soccer, Time: ,Thu Jan 07 17:00:00 CET 2016, Time: ,Thu Jan 07 17:00:00 CET 2016, Event: ,Gauicurus U20 v Sao Raimundo RR U20, Favorite: ,Gauicurus U20, 10694817   size:27.81,Price: ,1.02,Sao Raimundo RR U20, 10681164   size:27.81,Price: ,1.02,The Draw, 58805   size:2.71,Price: ,1.25,x
1.122489902, Sport: ,Tennis, Time: ,Thu Jan 07 16:00:00 CET 2016, Time: ,Thu Jan 07 16:00:00 CET 2016, Event: ,J Eysseric v T Monteiro, Favorite: ,Jonathan Eysseric, 2426230   size:9.33,Price: ,1.06,Thiago Monteiro, 8326656   size:9.33,Price: ,1.06,x
1.122459233, Sport: ,Basketball, Time: ,Thu Jan 07 01:30:00 CET 2016, Time: ,Thu Jan 07 01:30:00 CET 2016, Event: ,Atenas v Sionista, Favorite: ,Atenas, 6719082   size:14.58,Price: ,1.56,Sionista, 6719083   size:2.55,Price: ,2.58,ok
1.122473252, Sport: ,Basketball, Time: ,Thu Jan 07 20:30:00 CET 2016, Time: ,Thu Jan 07 20:30:00 CET 2016, Event: ,DIKE Napoli (W) v Spartak MR (W), Favorite: ,DIKE Napoli (W), 10466214   size:3.28,Price: ,1.03,Spartak MR (W), 8978715   size:3.28,Price: ,1.03,x
