1.122307772, Sport: ,Basketball, Time: ,Wed Dec 23 03:00:00 CET 2015, Time: ,Wed Dec 23 03:00:00 CET 2015, Event: ,Long Beach State @ Arizona, Favorite: ,Arizona, 29835   size:3.08,Price: ,1.03,Long Beach State, 732126   size:5.55,Price: ,8.2,ok
1.122371735, Sport: ,Tennis, Time: ,Wed Dec 23 03:00:00 CET 2015, Time: ,Wed Dec 23 03:00:00 CET 2015, Event: ,Yuanyi YU v Chihiro Muramatsu, Favorite: ,Yuanyi Yu, 10602404   size:10.14,Price: ,1.05,Chihiro Matsumoto, 9630983   size:10.14,Price: ,1.05,x
1.122371737, Sport: ,Tennis, Time: ,Wed Dec 23 04:30:00 CET 2015, Time: ,Wed Dec 23 04:30:00 CET 2015, Event: ,En-Pei Huang v Angelina Zhuravleva, Favorite: ,Angelina Zhuravleva, 9627646   size:3.52,Price: ,1.42,En-Pei Huang, 10347712   size:8.09,Price: ,2.32,ok
1.122371739, Sport: ,Tennis, Time: ,Wed Dec 23 03:00:00 CET 2015, Time: ,Wed Dec 23 03:00:00 CET 2015, Event: ,Vivian Wolff v Aiko Yoshitomi, Favorite: ,Aiko Yoshitomi, 9626986   size:2.55,Price: ,1.39,Vivian Wolff, 10116441   size:2.09,Price: ,3.05,x
1.122323184, Sport: ,Handball, Time: ,Wed Dec 23 19:00:00 CET 2015, Time: ,Wed Dec 23 19:00:00 CET 2015, Event: ,Magdeburg v Wetzlar, Favorite: ,Wetzlar, 2507302   size:18.0,Price: ,1.3,Magdeburg, 2531263   size:2.62,Price: ,1.55,Draw, 330157   size:9.14,Price: ,8.4,x
1.122307371, Sport: ,Ice Hockey, Time: ,Wed Dec 23 19:45:00 CET 2015, Time: ,Wed Dec 23 19:45:00 CET 2015, Event: ,Kloten Flyers v Zug, Favorite: ,Kloten Flyers, 243255   size:942.78,Price: ,1.01,Zug, 257975   size:942.78,Price: ,1.01,Tie, 60104   size:945.48,Price: ,1.01,x
1.122307370, Sport: ,Ice Hockey, Time: ,Wed Dec 23 19:45:00 CET 2015, Time: ,Wed Dec 23 19:45:00 CET 2015, Event: ,Bern v ZSC Lions, Favorite: ,Bern, 243256   size:942.78,Price: ,1.01,ZSC Lions, 243260   size:942.78,Price: ,1.01,Tie, 60104   size:945.48,Price: ,1.01,x
1.122316083, Sport: ,Volleyball, Time: ,Tue Dec 22 20:30:00 CET 2015, Time: ,Tue Dec 22 20:30:00 CET 2015, Event: ,L.J Volley Modena v Bene Scandicci, Favorite: ,Modena, 9100179   size:2.7,Price: ,1.03,Bene Scandicci, 10381550   size:2.7,Price: ,1.03,ok
1.122307939, Sport: ,Basketball, Time: ,Wed Dec 23 18:30:00 CET 2015, Time: ,Wed Dec 23 18:30:00 CET 2015, Event: ,Central Connecticut @ Connecticut, Favorite: ,Connecticut, 332194   size:2.63,Price: ,1.07,Central Connecticut, 2340621   size:2.56,Price: ,1.34,ok
1.122371584, Sport: ,Tennis, Time: ,Wed Dec 23 04:00:00 CET 2015, Time: ,Wed Dec 23 04:00:00 CET 2015, Event: ,Ji-Hee Choi v Kaia Kanepi, Favorite: ,Kaia Kanepi, 2250864   size:2.6,Price: ,1.09,Ji-Hee Choi, 8839153   size:2.0,Price: ,8.6,ok
