1.122183369, Sport: ,Rugby Union, Time: ,Sat Dec 12 16:15:00 CET 2015, Time: ,Sat Dec 12 16:15:00 CET 2015, Event: ,Treviso v Stade Francais, Favorite: ,Stade Francais, 233949   size:290.86,Price: ,1.11,Treviso, 52263   size:2.68,Price: ,8.8,Draw, 246289   size:10.0,Price: ,44.0,ok
1.122216039, Sport: ,Soccer, Time: ,Sat Dec 12 18:00:00 CET 2015, Time: ,Sat Dec 12 18:00:00 CET 2015, Event: ,Cadiz v FC Jumilla, Favorite: ,Cadiz, 516259   size:2.55,Price: ,1.39,FC Jumilla, 8216058   size:2.34,Price: ,7.8,The Draw, 58805   size:2.55,Price: ,4.8,ok
1.122183249, Sport: ,Rugby Union, Time: ,Fri Dec 11 20:30:00 CET 2015, Time: ,Fri Dec 11 20:30:00 CET 2015, Event: ,Cardiff v Montpellier, Favorite: ,Montpellier, 632441   size:69.14,Price: ,1.06,Cardiff, 8880   size:13.82,Price: ,3.2,Draw, 246289   size:3.92,Price: ,21.0,x
1.122241212, Sport: ,Soccer, Time: ,Sat Dec 12 16:00:00 CET 2015, Time: ,Sat Dec 12 16:00:00 CET 2015, Event: ,CD Villamuriel v UD Santa Marta, Favorite: ,CD Villamuriel, 10179514   size:5.9,Price: ,1.42,UD Santa Marta, 6796961   size:34.57,Price: ,5.5,The Draw, 58805   size:34.57,Price: ,3.65,ok
1.122217005, Sport: ,Basketball, Time: ,Fri Dec 11 21:00:00 CET 2015, Time: ,Fri Dec 11 21:00:00 CET 2015, Event: ,Melilla v Barcelona B, Favorite: ,Melilla, 4661088   size:258.44,Price: ,1.29,Barcelona B, 6719087   size:50.23,Price: ,4.0,ok
1.122238175, Sport: ,Soccer, Time: ,Sat Dec 12 11:00:00 CET 2015, Time: ,Sat Dec 12 11:00:00 CET 2015, Event: ,Hapoel Hadera U19 v Maccabi Kiryat Ata U19, Favorite: ,Hapoel Hadera U19, 10617273   size:10.9,Price: ,1.12,Maccabi Kiryat Ata U19, 10617275   size:10.9,Price: ,1.12,The Draw, 58805   size:3.63,Price: ,3.15,x
1.122238295, Sport: ,Ice Hockey, Time: ,Sat Dec 12 16:00:00 CET 2015, Time: ,Sat Dec 12 16:00:00 CET 2015, Event: ,Karpat v KalPa, Favorite: ,Karpat, 66430   size:16.28,Price: ,1.65,KalPa, 275250   size:5.9,Price: ,3.95,Tie, 60104   size:5.9,Price: ,3.85,ok
1.122243516, Sport: ,Soccer, Time: ,Sat Dec 12 15:15:00 CET 2015, Time: ,Sat Dec 12 15:15:00 CET 2015, Event: ,FC Midtjylland U19 v FC Copenhagen U19, Favorite: ,FC Midtjylland U19, 6384347   size:27.26,Price: ,1.02,FC Copenhagen U19, 7653274   size:27.26,Price: ,1.02,The Draw, 58805   size:20.74,Price: ,3.1,ok
1.122139204, Sport: ,Soccer, Time: ,Sat Dec 12 16:00:00 CET 2015, Time: ,Sat Dec 12 16:00:00 CET 2015, Event: ,Huddersfield v Bristol City, Favorite: ,Huddersfield, 78984   size:101.87,Price: ,2.28,Bristol City, 69745   size:194.87,Price: ,3.5,The Draw, 58805   size:688.87,Price: ,3.45,x
1.122183362, Sport: ,Rugby Union, Time: ,Sat Dec 12 16:15:00 CET 2015, Time: ,Sat Dec 12 16:15:00 CET 2015, Event: ,Racing Metro v Northampton, Favorite: ,Racing Metro, 4121782   size:5.0,Price: ,1.37,Northampton, 50103   size:2.68,Price: ,3.95,Draw, 246289   size:19.46,Price: ,24.0,ok
1.122130755, Sport: ,Soccer, Time: ,Sat Dec 12 14:00:00 CET 2015, Time: ,Sat Dec 12 14:00:00 CET 2015, Event: ,FC Koln II v Velbert, Favorite: ,FC Koln II, 5288926   size:2.75,Price: ,1.99,Velbert, 516223   size:16.49,Price: ,3.95,The Draw, 58805   size:2.55,Price: ,3.65,x
1.122244840, Sport: ,Soccer, Time: ,Sat Dec 12 14:00:00 CET 2015, Time: ,Sat Dec 12 14:00:00 CET 2015, Event: ,Panserraikos v Acharnaikos, Favorite: ,Panserraikos, 1210411   size:7.45,Price: ,1.81,Acharnaikos, 541519   size:6.81,Price: ,3.1,The Draw, 58805   size:13.82,Price: ,3.15,ok
1.122136580, Sport: ,Soccer, Time: ,Sat Dec 12 12:30:00 CET 2015, Time: ,Sat Dec 12 12:30:00 CET 2015, Event: ,Kasimpasa v Torku Konyaspor, Favorite: ,Kasimpasa, 2080735   size:5.0,Price: ,1.77,Torku Konyaspor, 6553233   size:8.98,Price: ,5.1,The Draw, 58805   size:9.71,Price: ,3.8,ok
1.122130914, Sport: ,Soccer, Time: ,Sat Dec 12 14:00:00 CET 2015, Time: ,Sat Dec 12 14:00:00 CET 2015, Event: ,FC Kray v Verl, Favorite: ,Verl, 4901988   size:5.3,Price: ,2.12,FC Kray, 6542377   size:2.55,Price: ,3.6,The Draw, 58805   size:26.35,Price: ,3.55,x
1.122128557, Sport: ,Soccer, Time: ,Sat Dec 12 15:30:00 CET 2015, Time: ,Sat Dec 12 15:30:00 CET 2015, Event: ,Pogon Szczecin v Podbeskidzie B-B, Favorite: ,Pogon Szczecin, 46953   size:3.64,Price: ,1.81,Podbeskidzie B-B, 4135278   size:15.79,Price: ,5.1,The Draw, 58805   size:2.95,Price: ,3.8,ok
1.122126135, Sport: ,Soccer, Time: ,Sat Dec 12 18:00:00 CET 2015, Time: ,Sat Dec 12 18:00:00 CET 2015, Event: ,Excelsior Virton v Patro Eisden, Favorite: ,Excelsior Virton, 505672   size:2.55,Price: ,1.52,Patro Eisden, 7441124   size:6.18,Price: ,5.4,The Draw, 58805   size:2.75,Price: ,3.9,x
1.122125167, Sport: ,Soccer, Time: ,Sat Dec 12 15:30:00 CET 2015, Time: ,Sat Dec 12 15:30:00 CET 2015, Event: ,Bala Town v Haverfordwest, Favorite: ,Bala Town, 4099627   size:2.75,Price: ,1.29,Haverfordwest, 866240   size:3.13,Price: ,7.4,The Draw, 58805   size:8.48,Price: ,4.5,x
1.122127465, Sport: ,Soccer, Time: ,Sat Dec 12 15:30:00 CET 2015, Time: ,Sat Dec 12 15:30:00 CET 2015, Event: ,Haladas v Puskas Academia, Favorite: ,Haladas, 505951   size:44.17,Price: ,1.91,Puskas Academia, 7429080   size:2.55,Price: ,4.5,The Draw, 58805   size:5.96,Price: ,3.6,ok
1.122125165, Sport: ,Soccer, Time: ,Sat Dec 12 16:00:00 CET 2015, Time: ,Sat Dec 12 16:00:00 CET 2015, Event: ,Whitehawk v Dover, Favorite: ,Dover, 2119313   size:40.26,Price: ,1.73,Whitehawk, 4597875   size:5.0,Price: ,5.0,The Draw, 58805   size:272.0,Price: ,4.3,ok
