1.119965068, Sport: ,Tennis, Time: ,Wed Aug 12 11:30:00 CEST 2015, Time: ,Wed Aug 12 11:30:00 CEST 2015, Event: ,Cirstea v Martincova, Favorite: ,Sorana Cirstea, 2387871   size:91.5,Price: ,1.71,Tereza Martincova, 7335514   size:4.86,Price: ,2.12,ok
1.119964970, Sport: ,Tennis, Time: ,Wed Aug 12 15:00:00 CEST 2015, Time: ,Wed Aug 12 15:00:00 CEST 2015, Event: ,Buzean v Bogdan, Favorite: ,Diana Buzean, 9627153   size:45.14,Price: ,1.03,Ana Bogdan, 3875013   size:33.86,Price: ,1.04,x
1.119965062, Sport: ,Tennis, Time: ,Wed Aug 12 10:30:00 CEST 2015, Time: ,Wed Aug 12 10:30:00 CEST 2015, Event: ,Krejcikova v Kucova, Favorite: ,Barbora Krejcikova, 8784972   size:14.88,Price: ,1.37,Kristina Kucova, 3990441   size:7.28,Price: ,3.05,x
1.119965063, Sport: ,Tennis, Time: ,Wed Aug 12 11:30:00 CEST 2015, Time: ,Wed Aug 12 11:30:00 CEST 2015, Event: ,Torro-Flor v Kan, Favorite: ,Victoria Kan, 7753932   size:2.55,Price: ,1.23,Maria-Teresa Torro-Flor, 7642290   size:2.55,Price: ,1.27,x
1.119965065, Sport: ,Tennis, Time: ,Wed Aug 12 15:00:00 CEST 2015, Time: ,Wed Aug 12 15:00:00 CEST 2015, Event: ,Kostova v Vaidisova, Favorite: ,Nicole Vaidisova, 2256495   size:3.26,Price: ,1.49,Elitsa Kostova, 6196031   size:10.92,Price: ,2.9,ok
1.119900023, Sport: ,Soccer, Time: ,Wed Aug 12 14:45:00 CEST 2015, Time: ,Wed Aug 12 14:45:00 CEST 2015, Event: ,Johor Darul Takzim v Lions XII FC, Favorite: ,Johor Darul Takzim, 6958480   size:5.15,Price: ,1.52,The Draw, 58805   size:2.55,Price: ,4.6,Lions XII FC, 6958482   size:2.87,Price: ,5.0,ok
1.119984984, Sport: ,Tennis, Time: ,Wed Aug 12 14:00:00 CEST 2015, Time: ,Wed Aug 12 14:00:00 CEST 2015, Event: ,Gabric v Ulvefeldt, Favorite: ,Malin Ulvefeldt, 9628995   size:22.57,Price: ,1.06,Anna Gabric, 9148890   size:16.93,Price: ,1.08,x
1.119969748, Sport: ,Soccer, Time: ,Wed Aug 12 16:00:00 CEST 2015, Time: ,Wed Aug 12 16:00:00 CEST 2015, Event: ,FK Dinamo-GTS Stavropol v FK Druzhba Maikop, Favorite: ,FK Dinamo-GTS Stavropol, 9383797   size:3.61,Price: ,1.36,The Draw, 58805   size:43.76,Price: ,3.65,FK Druzhba Maikop, 9472931   size:30.75,Price: ,5.0,ok
1.119974185, Sport: ,Tennis, Time: ,Wed Aug 12 10:30:00 CEST 2015, Time: ,Wed Aug 12 10:30:00 CEST 2015, Event: ,Garcia Perez v Panova, Favorite: ,Alexandra Panova, 3220169   size:4.02,Price: ,1.22,Georgina Garcia Perez, 9626819   size:7.44,Price: ,4.3,ok
1.119232159, Sport: ,Bowls, Time: ,Wed Aug 12 12:00:00 CEST 2015, Time: ,Wed Aug 12 12:00:00 CEST 2015, Event: ,Paxton v Brett, Favorite: ,Nicholas Brett, 2627924   size:10.42,Price: ,1.01,ok
1.119970140, Sport: ,Soccer, Time: ,Wed Aug 12 14:00:00 CEST 2015, Time: ,Wed Aug 12 14:00:00 CEST 2015, Event: ,Bangkok Glass v Buriram Utd, Favorite: ,Buriram Utd, 7039295   size:140.4,Price: ,1.06,The Draw, 58805   size:2.0,Price: ,1.26,x
1.119973651, Sport: ,Tennis, Time: ,Wed Aug 12 16:00:00 CEST 2015, Time: ,Wed Aug 12 16:00:00 CEST 2015, Event: ,Mi Basic v Ilkel, Favorite: ,Mirza Basic, 5499167   size:6.07,Price: ,1.25,Cem Ilkel, 8444055   size:26.29,Price: ,4.1,ok
1.119869308, Sport: ,Soccer, Time: ,Wed Aug 12 12:00:00 CEST 2015, Time: ,Wed Aug 12 12:00:00 CEST 2015, Event: ,Sendai v Matsumoto, Favorite: ,Sendai, 442179   size:79.29,Price: ,1.96,The Draw, 58805   size:51.12,Price: ,3.8,Matsumoto, 7081210   size:71.99,Price: ,4.3,ok
1.119973579, Sport: ,Tennis, Time: ,Wed Aug 12 12:30:00 CEST 2015, Time: ,Wed Aug 12 12:30:00 CEST 2015, Event: ,Podlipnik-Castillo v Pavlasek, Favorite: ,Adam Pavlasek, 8494652   size:7.01,Price: ,1.36,Hans Podlipnik-Castillo, 8461633   size:13.62,Price: ,3.15,ok
1.119232160, Sport: ,Bowls, Time: ,Wed Aug 12 13:00:00 CEST 2015, Time: ,Wed Aug 12 13:00:00 CEST 2015, Event: ,Brett v Stone, Favorite: ,Tim Stone, 2292754   size:10.42,Price: ,1.01,x
1.119864650, Sport: ,Soccer, Time: ,Wed Aug 12 11:30:00 CEST 2015, Time: ,Wed Aug 12 11:30:00 CEST 2015, Event: ,Tarun Sangha FC v Ahbab FC, Favorite: ,Ahbab FC, 10091846   size:23.0,Price: ,1.09,The Draw, 58805   size:2.0,Price: ,3.15,x
1.119895329, Sport: ,Soccer, Time: ,Wed Aug 12 13:45:00 CEST 2015, Time: ,Wed Aug 12 13:45:00 CEST 2015, Event: ,Henan v Shanghai East Asia, Favorite: ,Shanghai East Asia, 6988032   size:25.53,Price: ,1.8,The Draw, 58805   size:3.51,Price: ,3.85,Henan, 4525687   size:2.61,Price: ,5.0,x
1.119895606, Sport: ,Soccer, Time: ,Wed Aug 12 13:45:00 CEST 2015, Time: ,Wed Aug 12 13:45:00 CEST 2015, Event: ,Jiangsu Sainty v Guangzhou FC, Favorite: ,Guangzhou FC, 5723376   size:29.9,Price: ,1.52,The Draw, 58805   size:7.81,Price: ,4.6,Jiangsu Sainty, 5440200   size:11.24,Price: ,7.4,ok
1.119962049, Sport: ,Soccer, Time: ,Wed Aug 12 16:00:00 CEST 2015, Time: ,Wed Aug 12 16:00:00 CEST 2015, Event: ,Angusht Nazran v Mashuk-KMV Pyatigorsk, Favorite: ,Mashuk-KMV Pyatigorsk, 6400349   size:140.4,Price: ,1.06,The Draw, 58805   size:2.0,Price: ,1.27,ok
1.119894242, Sport: ,Handball, Time: ,Wed Aug 12 15:00:00 CEST 2015, Time: ,Wed Aug 12 15:00:00 CEST 2015, Event: ,Russia U19 v Denmark U19, Favorite: ,Draw, 330157   size:110.43,Price: ,1.01,Denmark U19, 7555445   size:352.15,Price: ,1.1,ok
1.119970481, Sport: ,Soccer, Time: ,Wed Aug 12 16:00:00 CEST 2015, Time: ,Wed Aug 12 16:00:00 CEST 2015, Event: ,Pakhtakor v Bunyodkor, Favorite: ,Bunyodkor, 3393514   size:140.4,Price: ,1.06,The Draw, 58805   size:2.0,Price: ,1.26,ok
1.119984980, Sport: ,Tennis, Time: ,Wed Aug 12 12:00:00 CEST 2015, Time: ,Wed Aug 12 12:00:00 CEST 2015, Event: ,Von Deichmann v Haas, Favorite: ,Barbara Haas, 6438801   size:2.51,Price: ,1.5,Kathinka Von Deichmann, 8536741   size:2.55,Price: ,2.66,ok
1.119894239, Sport: ,Handball, Time: ,Wed Aug 12 13:00:00 CEST 2015, Time: ,Wed Aug 12 13:00:00 CEST 2015, Event: ,Switzerland U19 v Algeria U19, Favorite: ,Draw, 330157   size:110.43,Price: ,1.01,Switzerland U19, 10119167   size:902.96,Price: ,1.02,x
1.119900088, Sport: ,Soccer, Time: ,Wed Aug 12 14:45:00 CEST 2015, Time: ,Wed Aug 12 14:45:00 CEST 2015, Event: ,Sime Darby v Sarawak, Favorite: ,Sime Darby, 5814932   size:2.0,Price: ,2.46,Sarawak, 5330753   size:4.36,Price: ,2.7,The Draw, 58805   size:5.6,Price: ,3.35,x
1.119958834, Sport: ,Volleyball, Time: ,Wed Aug 12 12:00:00 CEST 2015, Time: ,Wed Aug 12 12:00:00 CEST 2015, Event: ,China U23 (W) v Thailand U23 (W), Favorite: ,China U23 (W), 7757838   size:3529.44,Price: ,1.02,Thailand U23 (W), 10142332   size:5.86,Price: ,1.12,ok
