1.121829373, Sport: ,Soccer, Time: ,Sun Nov 15 12:00:00 CET 2015, Time: ,Sun Nov 15 12:00:00 CET 2015, Event: ,FK Lida v FK Slonim, Favorite: ,FK Lida, 6176317   size:3.63,Price: ,1.47,FK Slonim, 8509657   size:3.99,Price: ,2.32,The Draw, 58805   size:3.36,Price: ,2.94,ok
1.121821894, Sport: ,Soccer, Time: ,Sun Nov 15 17:00:00 CET 2015, Time: ,Sun Nov 15 17:00:00 CET 2015, Event: ,Zalla UC v CD Berio FT, Favorite: ,Zalla UC, 6058005   size:2.73,Price: ,1.11,CD Berio FT, 8822721   size:2.73,Price: ,1.11,The Draw, 58805   size:2.96,Price: ,2.94,ok
1.121839296, Sport: ,Tennis, Time: ,Sun Nov 15 15:15:00 CET 2015, Time: ,Sun Nov 15 15:15:00 CET 2015, Event: ,Galovic v Kocevar-Desman, Favorite: ,Viktor Galovic, 7444791   size:4.18,Price: ,1.08,Tom Kocevar-Desman, 8395353   size:4.18,Price: ,1.08,ok
1.121698942, Sport: ,Soccer, Time: ,Sun Nov 15 12:30:00 CET 2015, Time: ,Sun Nov 15 12:30:00 CET 2015, Event: ,Spezia v Cagliari, Favorite: ,Cagliari, 60297   size:224.08,Price: ,2.8,Spezia, 522041   size:3.31,Price: ,2.94,The Draw, 58805   size:342.73,Price: ,3.2,ok
1.121766435, Sport: ,Basketball, Time: ,Sun Nov 15 12:15:00 CET 2015, Time: ,Sun Nov 15 12:15:00 CET 2015, Event: ,Zaragoza v Andorra, Favorite: ,Zaragoza, 3368428   size:5.0,Price: ,1.33,Andorra, 8781568   size:24.8,Price: ,3.7,x
1.121696405, Sport: ,Soccer, Time: ,Sun Nov 15 14:00:00 CET 2015, Time: ,Sun Nov 15 14:00:00 CET 2015, Event: ,SV Meppen v Oldenburg, Favorite: ,Oldenburg, 5699221   size:110.68,Price: ,2.48,SV Meppen, 5945855   size:25.94,Price: ,2.98,The Draw, 58805   size:11.75,Price: ,3.5,x
1.121725287, Sport: ,Rugby Union, Time: ,Sun Nov 15 16:15:00 CET 2015, Time: ,Sun Nov 15 16:15:00 CET 2015, Event: ,Newport v Sale, Favorite: ,Newport, 8889   size:6.07,Price: ,1.34,Sale, 3139   size:5.03,Price: ,3.65,Draw, 246289   size:5.99,Price: ,19.0,ok
1.121696407, Sport: ,Soccer, Time: ,Sun Nov 15 14:00:00 CET 2015, Time: ,Sun Nov 15 14:00:00 CET 2015, Event: ,Drochtersen-Assel v TSV Schilksee, Favorite: ,Drochtersen-Assel, 9988838   size:5.0,Price: ,1.29,TSV Schilksee, 9461156   size:6.07,Price: ,11.0,The Draw, 58805   size:2.73,Price: ,6.2,x
1.121766676, Sport: ,Basketball, Time: ,Sun Nov 15 18:15:00 CET 2015, Time: ,Sun Nov 15 18:15:00 CET 2015, Event: ,Orlandina v Cremona, Favorite: ,Orlandina, 2513380   size:6.04,Price: ,1.62,Cremona, 4325205   size:5.18,Price: ,2.4,x
1.121819387, Sport: ,Basketball, Time: ,Sun Nov 15 18:00:00 CET 2015, Time: ,Sun Nov 15 18:00:00 CET 2015, Event: ,Breogan v Castello, Favorite: ,Breogan, 5030324   size:8.36,Price: ,1.04,Castello, 10370944   size:8.36,Price: ,1.04,x
