1.121971077, Sport: ,Soccer, Time: ,Sun Nov 29 20:00:00 CET 2015, Time: ,Sun Nov 29 20:00:00 CET 2015, Event: ,Colo Colo v Univ de Concepcion, Favorite: ,Colo Colo, 330239   size:296.02,Price: ,1.61,Univ de Concepcion, 5129867   size:15.04,Price: ,5.6,The Draw, 58805   size:42.11,Price: ,4.5,ok
1.121857031, Sport: ,American Football, Time: ,Sun Nov 29 19:00:00 CET 2015, Time: ,Sun Nov 29 19:00:00 CET 2015, Event: ,San Diego @ Jacksonville, Favorite: ,Jacksonville Jaguars, 50207   size:460.9,Price: ,1.49,San Diego Chargers, 50215   size:417.85,Price: ,3.0,x
1.121989035, Sport: ,Basketball, Time: ,Mon Nov 30 00:00:00 CET 2015, Time: ,Mon Nov 30 00:00:00 CET 2015, Event: ,Detroit @ Brooklyn, Favorite: ,Detroit, 13111   size:10.1,Price: ,1.59,Brooklyn, 6758557   size:52.02,Price: ,2.56,x
1.122061927, Sport: ,Soccer, Time: ,Sun Nov 29 17:00:00 CET 2015, Time: ,Sun Nov 29 17:00:00 CET 2015, Event: ,Urraca CF v Club Siero, Favorite: ,Club Siero, 10298281   size:14.03,Price: ,1.05,Urraca CF, 7229861   size:2.16,Price: ,1.61,The Draw, 58805   size:15.04,Price: ,1.05,ok
1.121856974, Sport: ,American Football, Time: ,Sun Nov 29 19:00:00 CET 2015, Time: ,Sun Nov 29 19:00:00 CET 2015, Event: ,New York Giants @ Washington, Favorite: ,New York Giants, 50185   size:301.09,Price: ,1.91,Washington Redskins, 50187   size:37.78,Price: ,2.08,x
1.121988758, Sport: ,Hockey, Time: ,Mon Nov 30 16:00:00 CET 2015, Time: ,Mon Nov 30 16:00:00 CET 2015, Event: ,Argentina v Germany, Favorite: ,Argentina, 261989   size:0.0,Price: ,0.0,Germany, 206943   size:0.0,Price: ,0.0,Draw, 318509   size:0.0,Price: ,0.0,ok
1.121935941, Sport: ,Soccer, Time: ,Sun Nov 29 22:00:00 CET 2015, Time: ,Sun Nov 29 22:00:00 CET 2015, Event: ,Emelec v LDU, Favorite: ,Emelec, 328197   size:7.22,Price: ,1.63,LDU, 474678   size:11.62,Price: ,6.6,The Draw, 58805   size:9.99,Price: ,4.0,x
1.122067464, Sport: ,Soccer, Time: ,Sun Nov 29 17:30:00 CET 2015, Time: ,Sun Nov 29 17:30:00 CET 2015, Event: ,Universitario Popayan v America de Cali, Favorite: ,Universitario Popayan, 10101850   size:2.83,Price: ,1.33,America de Cali, 330236   size:10.0,Price: ,10.5,The Draw, 58805   size:2.83,Price: ,5.3,x
1.121922846, Sport: ,Soccer, Time: ,Sun Nov 29 17:00:00 CET 2015, Time: ,Sun Nov 29 17:00:00 CET 2015, Event: ,Mirandes v Gimnastic, Favorite: ,Mirandes, 565024   size:2.83,Price: ,2.36,Gimnastic, 912116   size:2.83,Price: ,4.7,The Draw, 58805   size:62.71,Price: ,2.7,x
1.122043141, Sport: ,Soccer, Time: ,Sun Nov 29 21:30:00 CET 2015, Time: ,Sun Nov 29 21:30:00 CET 2015, Event: ,Alianza Lima v Uni Cesar Vallejo, Favorite: ,Alianza Lima, 219457   size:7.83,Price: ,1.92,Uni Cesar Vallejo, 4897906   size:28.67,Price: ,4.5,The Draw, 58805   size:25.72,Price: ,3.75,x
1.121923135, Sport: ,Soccer, Time: ,Sun Nov 29 19:15:00 CET 2015, Time: ,Sun Nov 29 19:15:00 CET 2015, Event: ,Cordoba v Oviedo, Favorite: ,Cordoba, 68247   size:12.27,Price: ,2.26,Oviedo, 21678   size:47.1,Price: ,3.75,The Draw, 58805   size:214.41,Price: ,3.3,ok
1.122060942, Sport: ,Soccer, Time: ,Sun Nov 29 17:00:00 CET 2015, Time: ,Sun Nov 29 17:00:00 CET 2015, Event: ,Ontinyent CF v UD Alzira, Favorite: ,Ontinyent CF, 9320419   size:14.03,Price: ,1.05,UD Alzira, 5688358   size:14.03,Price: ,1.05,The Draw, 58805   size:14.03,Price: ,1.05,ok
1.122064989, Sport: ,Soccer, Time: ,Sun Nov 29 18:00:00 CET 2015, Time: ,Sun Nov 29 18:00:00 CET 2015, Event: ,Deportivo Saprissa v CS Cartagines, Favorite: ,Deportivo Saprissa, 1328422   size:81.94,Price: ,1.59,CS Cartagines, 6624090   size:60.2,Price: ,6.2,The Draw, 58805   size:94.36,Price: ,4.5,x
1.121988753, Sport: ,Hockey, Time: ,Mon Nov 30 14:00:00 CET 2015, Time: ,Mon Nov 30 14:00:00 CET 2015, Event: ,Netherlands v India, Favorite: ,Netherlands, 261994   size:0.0,Price: ,0.0,India, 206963   size:0.0,Price: ,0.0,Draw, 318509   size:0.0,Price: ,0.0,ok
1.122017318, Sport: ,Volleyball, Time: ,Sun Nov 29 17:00:00 CET 2015, Time: ,Sun Nov 29 17:00:00 CET 2015, Event: ,Sanitars Montichiari v Bene Scandicci, Favorite: ,Sanitars Montichiari, 10381563   size:1161.58,Price: ,1.05,Bene Scandicci, 10381550   size:283.08,Price: ,1.47,ok
1.122059278, Sport: ,Soccer, Time: ,Sun Nov 29 17:00:00 CET 2015, Time: ,Sun Nov 29 17:00:00 CET 2015, Event: ,CD Bunol v Elche Ilicitano, Favorite: ,CD Bunol, 10185143   size:14.03,Price: ,1.05,Elche Ilicitano, 10243224   size:14.28,Price: ,1.05,The Draw, 58805   size:2.85,Price: ,1.67,x
1.122065711, Sport: ,Soccer, Time: ,Mon Nov 30 00:30:00 CET 2015, Time: ,Mon Nov 30 00:30:00 CET 2015, Event: ,LD Alajuelense v UCR, Favorite: ,LD Alajuelense, 1395935   size:308.26,Price: ,1.42,UCR, 10106049   size:17.0,Price: ,8.8,The Draw, 58805   size:8.38,Price: ,4.7,x
1.122059276, Sport: ,Basketball, Time: ,Sun Nov 29 18:00:00 CET 2015, Time: ,Sun Nov 29 18:00:00 CET 2015, Event: ,Glasgow v Newcastle, Favorite: ,Newcastle, 6719050   size:326.0,Price: ,1.23,Glasgow, 6719052   size:2.61,Price: ,4.6,ok
1.121985017, Sport: ,Soccer, Time: ,Mon Nov 30 00:00:00 CET 2015, Time: ,Mon Nov 30 00:00:00 CET 2015, Event: ,Lobos BUAP v Atlante, Favorite: ,Lobos BUAP, 6138085   size:4.36,Price: ,1.91,Atlante, 230270   size:30.99,Price: ,4.2,The Draw, 58805   size:8.8,Price: ,3.45,ok
1.122017310, Sport: ,Volleyball, Time: ,Sun Nov 29 18:00:00 CET 2015, Time: ,Sun Nov 29 18:00:00 CET 2015, Event: ,Gorgonzola Novara v Imoco Volley Conegliano, Favorite: ,Conegliano, 10381555   size:2.55,Price: ,1.6,Gorgonzola Novara, 10368510   size:2.55,Price: ,2.3,x
1.122017315, Sport: ,Volleyball, Time: ,Sun Nov 29 18:00:00 CET 2015, Time: ,Sun Nov 29 18:00:00 CET 2015, Event: ,L.J Volley Modena v Casalmaggiore, Favorite: ,Casalmaggiore, 7906928   size:4.52,Price: ,1.75,Modena, 9100179   size:4.22,Price: ,2.06,x
1.121999427, Sport: ,Ice Hockey, Time: ,Sun Nov 29 17:00:00 CET 2015, Time: ,Sun Nov 29 17:00:00 CET 2015, Event: ,Frisk Asker v Valerenga, Favorite: ,Frisk Asker, 61425   size:2.83,Price: ,1.03,Valerenga, 61435   size:2.83,Price: ,1.03,Tie, 60104   size:2.83,Price: ,1.03,ok
1.122044587, Sport: ,Soccer, Time: ,Mon Nov 30 01:30:00 CET 2015, Time: ,Mon Nov 30 01:30:00 CET 2015, Event: ,Aldosivi v Banfield, Favorite: ,Aldosivi, 5174666   size:171.41,Price: ,2.84,Banfield, 194508   size:4.16,Price: ,2.98,The Draw, 58805   size:47.8,Price: ,3.1,x
1.121989056, Sport: ,Basketball, Time: ,Sun Nov 29 20:00:00 CET 2015, Time: ,Sun Nov 29 20:00:00 CET 2015, Event: ,Milwaukee @ Charlotte, Favorite: ,Charlotte, 13110   size:2118.86,Price: ,1.37,Milwaukee, 13115   size:2.0,Price: ,3.5,ok
1.122000206, Sport: ,Soccer, Time: ,Sun Nov 29 20:00:00 CET 2015, Time: ,Sun Nov 29 20:00:00 CET 2015, Event: ,Juventud (Uru) v Racing Club (Uru), Favorite: ,Racing Club (Uru), 4465708   size:5.67,Price: ,2.38,Juventud (Uru), 6607159   size:8.16,Price: ,3.1,The Draw, 58805   size:18.16,Price: ,3.55,x
