1.119120522, Sport: ,Tennis, Time: ,Wed Jun 10 14:45:00 CEST 2015, Time: ,Wed Jun 10 14:45:00 CEST 2015, Event: ,Groth v Fel Lopez, Favorite: ,Feliciano Lopez, 2265109   size:69.73,Price: ,1.41,Sam Groth, 8639819   size:103.99,Price: ,3.15,xxx
1.119121138, Sport: ,Tennis, Time: ,Wed Jun 10 18:00:00 CEST 2015, Time: ,Wed Jun 10 18:00:00 CEST 2015, Event: ,Fratangelo v D Novikov, Favorite: ,Bjorn Fratangelo, 7593723   size:2.55,Price: ,1.35,Dennis Novikov, 6217982   size:2.46,Price: ,3.25,okokok
1.119119115, Sport: ,Tennis, Time: ,Wed Jun 10 11:00:00 CEST 2015, Time: ,Wed Jun 10 11:00:00 CEST 2015, Event: ,Satral v Montanes, Favorite: ,Albert Montanes, 2263599   size:2.55,Price: ,1.26,Jan Satral, 8490613   size:2.03,Price: ,3.95,okokok
1.119118747, Sport: ,Tennis, Time: ,Wed Jun 10 11:00:00 CEST 2015, Time: ,Wed Jun 10 11:00:00 CEST 2015, Event: ,Troicki v A Zverev, Favorite: ,Viktor Troicki, 2263624   size:106.0,Price: ,1.33,Alexander Zverev, 7430944   size:3.5,Price: ,3.9,okokok
1.119116689, Sport: ,Tennis, Time: ,Wed Jun 10 12:00:00 CEST 2015, Time: ,Wed Jun 10 12:00:00 CEST 2015, Event: ,A Bai v S Hsieh, Favorite: ,Su-Wei Hsieh, 8244521   size:2.99,Price: ,1.16,Alison Bai, 9456614   size:33.11,Price: ,6.0,ok
1.119118461, Sport: ,Tennis, Time: ,Wed Jun 10 17:00:00 CEST 2015, Time: ,Wed Jun 10 17:00:00 CEST 2015, Event: ,Mertl v Gombos, Favorite: ,Norbert Gombos, 8173023   size:2.55,Price: ,1.29,Jan Mertl, 3034493   size:2.36,Price: ,3.75,ok
1.119117571, Sport: ,Tennis, Time: ,Wed Jun 10 11:00:00 CEST 2015, Time: ,Wed Jun 10 11:00:00 CEST 2015, Event: ,Nedovyesov v Lamasine, Favorite: ,Aleksandr Nedovyesov, 8188266   size:8.31,Price: ,1.36,Tristan Lamasine, 8428332   size:2.55,Price: ,3.2,ok
1.119072510, Sport: ,Handball, Time: ,Wed Jun 10 18:10:00 CEST 2015, Time: ,Wed Jun 10 18:10:00 CEST 2015, Event: ,Czech Republic v France, Favorite: ,France, 620374   size:8.41,Price: ,1.11,Czech Republic, 620375   size:3.65,Price: ,8.8,Draw, 330157   size:3.36,Price: ,12.5,ok
1.119116719, Sport: ,Tennis, Time: ,Wed Jun 10 16:30:00 CEST 2015, Time: ,Wed Jun 10 16:30:00 CEST 2015, Event: ,V Pospisil v G Muller, Favorite: ,Gilles Muller, 2248579   size:89.94,Price: ,1.6,Vasek Pospisil, 4903598   size:64.76,Price: ,2.62,ok
1.119103531, Sport: ,Tennis, Time: ,Wed Jun 10 16:15:00 CEST 2015, Time: ,Wed Jun 10 16:15:00 CEST 2015, Event: ,Peya/Soares v Petzschner/Struff, Favorite: ,Peya/Soares, 6504095   size:2.55,Price: ,1.36,Petzschner/Struff, 9566320   size:2.55,Price: ,2.88,ok
