1.122316114, Sport: ,Volleyball, Time: ,Tue Dec 29 11:00:00 CET 2015, Time: ,Tue Dec 29 11:00:00 CET 2015, Event: ,Deajeon Bluefangs v Suwon Kepco, Favorite: ,Deajeon Bluefangs, 10389009   size:2.22,Price: ,1.28,Suwon Kepco, 10389011   size:4.22,Price: ,3.8,ok
1.122389430, Sport: ,Darts, Time: ,Tue Dec 29 14:10:00 CET 2015, Time: ,Tue Dec 29 14:10:00 CET 2015, Event: ,Mervyn King v Jelle Klaasen, Favorite: ,Jelle Klaasen, 2414411   size:186.71,Price: ,1.51,Mervyn King, 2414379   size:111.91,Price: ,2.88,ok
1.122400034, Sport: ,Basketball, Time: ,Tue Dec 29 20:00:00 CET 2015, Time: ,Tue Dec 29 20:00:00 CET 2015, Event: ,Olympiacos v Barcelona, Favorite: ,Olympiacos, 278582   size:5.0,Price: ,1.83,Barcelona, 266269   size:5.0,Price: ,2.14,ok
1.122405965, Sport: ,Darts, Time: ,Tue Dec 29 20:15:00 CET 2015, Time: ,Tue Dec 29 20:15:00 CET 2015, Event: ,Adrian Lewis v Mensur Suljovic, Favorite: ,Adrian Lewis, 2271003   size:932.2,Price: ,1.24,Mensur Suljovic, 2693783   size:6.38,Price: ,4.7,ok
1.122370301, Sport: ,Soccer, Time: ,Tue Dec 29 19:00:00 CET 2015, Time: ,Tue Dec 29 19:00:00 CET 2015, Event: ,Porto v Maritimo, Favorite: ,Porto, 48785   size:313.71,Price: ,1.32,Maritimo, 46964   size:52.67,Price: ,12.0,The Draw, 58805   size:45.82,Price: ,6.0,x
1.122361059, Sport: ,Basketball, Time: ,Wed Dec 30 03:00:00 CET 2015, Time: ,Wed Dec 30 03:00:00 CET 2015, Event: ,Michigan State @ Iowa, Favorite: ,Michigan State, 29834   size:10.0,Price: ,1.04,Iowa, 664419   size:10.0,Price: ,1.04,x
1.122404904, Sport: ,Soccer, Time: ,Tue Dec 29 19:00:00 CET 2015, Time: ,Tue Dec 29 19:00:00 CET 2015, Event: ,Maccabi Beer Sheva (W) v M Kishronot Hadera (W), Favorite: ,M Kishronot Hadera (W), 6934015   size:2.55,Price: ,1.06,Maccabi Beer Sheva (W), 6921688   size:5.43,Price: ,13.5,The Draw, 58805   size:3.45,Price: ,13.5,ok
1.122309632, Sport: ,Ice Hockey, Time: ,Wed Dec 30 01:05:00 CET 2015, Time: ,Wed Dec 30 01:05:00 CET 2015, Event: ,Ottawa @ Boston, Favorite: ,Boston, 2112316   size:2.19,Price: ,1.9,Ottawa, 2108072   size:4.7,Price: ,3.1,Tie, 60104   size:2.59,Price: ,4.0,ok
1.122370449, Sport: ,Soccer, Time: ,Tue Dec 29 21:00:00 CET 2015, Time: ,Tue Dec 29 21:00:00 CET 2015, Event: ,Sporting Lisbon v Pacos Ferreira, Favorite: ,Sporting Lisbon, 2506293   size:281.82,Price: ,1.49,Pacos Ferreira, 48787   size:11.38,Price: ,7.6,The Draw, 58805   size:5.0,Price: ,4.7,ok
1.122361051, Sport: ,Basketball, Time: ,Wed Dec 30 03:00:00 CET 2015, Time: ,Wed Dec 30 03:00:00 CET 2015, Event: ,UC Irvine @ Kansas, Favorite: ,Kansas, 29837   size:2.55,Price: ,1.06,UC Irvine, 734340   size:2.55,Price: ,1.33,ok
1.122389221, Sport: ,Ice Hockey, Time: ,Tue Dec 29 19:00:00 CET 2015, Time: ,Tue Dec 29 19:00:00 CET 2015, Event: ,Leksand v Sundsvall, Favorite: ,Tie, 60104   size:3.9,Price: ,1.14,Leksand, 2358271   size:5.91,Price: ,1.4,Sundsvall, 247097   size:5.91,Price: ,3.5,x
1.122402845, Sport: ,Darts, Time: ,Tue Dec 29 15:00:00 CET 2015, Time: ,Tue Dec 29 15:00:00 CET 2015, Event: ,Michael Smith v Benito Van de Pas, Favorite: ,Michael Smith, 3066962   size:925.98,Price: ,1.3,Benito van de Pas, 6062761   size:66.24,Price: ,4.1,ok
1.122361055, Sport: ,Basketball, Time: ,Wed Dec 30 03:00:00 CET 2015, Time: ,Wed Dec 30 03:00:00 CET 2015, Event: ,Connecticut @ Texas, Favorite: ,Connecticut, 332194   size:2.55,Price: ,1.33,Texas, 332193   size:2.55,Price: ,1.33,ok
1.122369698, Sport: ,Soccer, Time: ,Tue Dec 29 20:45:00 CET 2015, Time: ,Tue Dec 29 20:45:00 CET 2015, Event: ,Brighton v Ipswich, Favorite: ,Brighton, 18567   size:728.58,Price: ,2.32,Ipswich, 48324   size:75.74,Price: ,3.6,The Draw, 58805   size:2587.84,Price: ,3.35,x
