1.122249598, Sport: ,Soccer, Time: ,Thu Dec 17 15:00:00 CET 2015, Time: ,Thu Dec 17 15:00:00 CET 2015, Event: ,Karsiyaka v Kastamonuspor, Favorite: ,Karsiyaka, 508780   size:4.02,Price: ,1.44,Kastamonuspor, 4202579   size:2.37,Price: ,5.6,The Draw, 58805   size:4.0,Price: ,3.95,ok
1.122286425, Sport: ,Basketball, Time: ,Thu Dec 17 01:35:00 CET 2015, Time: ,Thu Dec 17 01:35:00 CET 2015, Event: ,Minnesota @ New York, Favorite: ,New York, 13106   size:209.0,Price: ,1.56,Minnesota, 13118   size:5.0,Price: ,2.72,ok
1.122284806, Sport: ,Volleyball, Time: ,Thu Dec 17 20:30:00 CET 2015, Time: ,Thu Dec 17 20:30:00 CET 2015, Event: ,Euphony Asse-Lennik v Asseco Resovia Rzeszow, Favorite: ,Euphony Asse-Lennik, 6068588   size:75.6,Price: ,1.04,Asseco Resovia Rzeszow, 3657095   size:460.19,Price: ,1.04,x
1.122226643, Sport: ,Snooker, Time: ,Thu Dec 17 11:00:00 CET 2015, Time: ,Thu Dec 17 11:00:00 CET 2015, Event: ,Michael White v Sanderson Lam, Favorite: ,Michael White, 2725272   size:2.55,Price: ,1.19,Sanderson Lam, 6644308   size:2.55,Price: ,4.5,ok
1.122284803, Sport: ,Volleyball, Time: ,Thu Dec 17 19:00:00 CET 2015, Time: ,Thu Dec 17 19:00:00 CET 2015, Event: ,Dinamo Moscow v Ziraat Bankasi Ankara, Favorite: ,Dinamo Moscow, 1288570   size:2.74,Price: ,1.03,Ziraat Bankasi Ankara, 5119175   size:35.13,Price: ,1.69,ok
1.122294690, Sport: ,Basketball, Time: ,Thu Dec 17 19:00:00 CET 2015, Time: ,Thu Dec 17 19:00:00 CET 2015, Event: ,Nymburk (W) v Landes (W), Favorite: ,Nymburk (W), 10466213   size:2.76,Price: ,1.49,Landes (W), 8978732   size:2.73,Price: ,1.51,ok
1.122227617, Sport: ,Snooker, Time: ,Thu Dec 17 15:30:00 CET 2015, Time: ,Thu Dec 17 15:30:00 CET 2015, Event: ,Judd Trump v Peter Lines, Favorite: ,Judd Trump, 2279955   size:5.95,Price: ,1.13,Peter Lines, 2279945   size:36.36,Price: ,6.0,ok
1.122299987, Sport: ,Soccer, Time: ,Thu Dec 17 11:30:00 CET 2015, Time: ,Thu Dec 17 11:30:00 CET 2015, Event: ,Salgaocar v Churchill Brothers, Favorite: ,Salgaocar, 4427250   size:9.23,Price: ,1.06,Churchill Brothers, 4484783   size:9.23,Price: ,1.06,The Draw, 58805   size:3.66,Price: ,2.9,x
1.122294698, Sport: ,Basketball, Time: ,Thu Dec 17 20:30:00 CET 2015, Time: ,Thu Dec 17 20:30:00 CET 2015, Event: ,Angers Women v Uni Gyor (W), Favorite: ,Uni Gyor (W), 8997451   size:4.15,Price: ,1.03,Angers Women, 9034872   size:4.09,Price: ,1.11,x
1.122286155, Sport: ,Basketball, Time: ,Thu Dec 17 13:00:00 CET 2015, Time: ,Thu Dec 17 13:00:00 CET 2015, Event: ,Enisey (W) v Tsmoki Minsk (W), Favorite: ,Enisey (W), 10466211   size:4.28,Price: ,1.09,Tsmoki Minsk (W), 8978746   size:7.16,Price: ,1.3,ok
