1.121020994, Sport: ,Basketball, Time: ,Sun Oct 04 18:00:00 CEST 2015, Time: ,Sun Oct 04 18:00:00 CEST 2015, Event: ,Giessen v Ludwigsburg, Favorite: ,Giessen, 2114278   size:2.77,Price: ,1.09,Ludwigsburg, 689542   size:2.77,Price: ,1.09,x
1.121058131, Sport: ,Tennis, Time: ,Sun Oct 04 06:30:00 CEST 2015, Time: ,Sun Oct 04 06:30:00 CEST 2015, Event: ,Y Bai v Millman, Favorite: ,John Millman, 4415206   size:673.01,Price: ,1.32,Yan Bai, 3357363   size:2.7,Price: ,3.9,ok
1.121020991, Sport: ,Basketball, Time: ,Sun Oct 04 17:00:00 CEST 2015, Time: ,Sun Oct 04 17:00:00 CEST 2015, Event: ,Braunschweig v Brose Baskets, Favorite: ,Brose Baskets, 2158509   size:232.78,Price: ,1.19,Braunschweig, 1280524   size:4.54,Price: ,5.2,ok
1.120917077, Sport: ,Soccer, Time: ,Sun Oct 04 23:00:00 CEST 2015, Time: ,Sun Oct 04 23:00:00 CEST 2015, Event: ,Dallas v Houston Dynamo, Favorite: ,Dallas, 171910   size:60.52,Price: ,1.66,Houston Dynamo, 1432923   size:10.83,Price: ,5.6,The Draw, 58805   size:108.0,Price: ,4.2,ok
1.120918002, Sport: ,Soccer, Time: ,Sun Oct 04 17:00:00 CEST 2015, Time: ,Sun Oct 04 17:00:00 CEST 2015, Event: ,Lorient v Bordeaux, Favorite: ,Lorient, 44794   size:88.81,Price: ,2.76,Bordeaux, 10501   size:68.06,Price: ,2.9,The Draw, 58805   size:40.73,Price: ,3.35,ok
1.120919532, Sport: ,Soccer, Time: ,Sun Oct 04 15:00:00 CEST 2015, Time: ,Sun Oct 04 15:00:00 CEST 2015, Event: ,Helsingborgs v Elfsborg, Favorite: ,Elfsborg, 30684   size:336.89,Price: ,2.08,Helsingborgs, 764222   size:2.69,Price: ,3.65,The Draw, 58805   size:2.43,Price: ,3.9,x
1.120916502, Sport: ,Soccer, Time: ,Sun Oct 04 23:00:00 CEST 2015, Time: ,Sun Oct 04 23:00:00 CEST 2015, Event: ,New York Cosmos v Atlanta Silverbacks, Favorite: ,New York Cosmos, 5714685   size:3.42,Price: ,2.02,Atlanta Silverbacks, 5744831   size:13.31,Price: ,3.4,The Draw, 58805   size:23.69,Price: ,3.4,x
1.120916105, Sport: ,Soccer, Time: ,Sun Oct 04 15:00:00 CEST 2015, Time: ,Sun Oct 04 15:00:00 CEST 2015, Event: ,FK Avangard Kursk v Dinamo Bryansk, Favorite: ,FK Avangard Kursk, 7444547   size:3.56,Price: ,1.07,Dinamo Bryansk, 2322216   size:3.56,Price: ,1.07,The Draw, 58805   size:3.56,Price: ,1.26,x
1.121005044, Sport: ,Basketball, Time: ,Sun Oct 04 17:00:00 CEST 2015, Time: ,Sun Oct 04 17:00:00 CEST 2015, Event: ,Antibes v Monaco, Favorite: ,Antibes, 5467755   size:2.77,Price: ,1.09,Monaco, 8074967   size:2.77,Price: ,1.09,ok
1.121060407, Sport: ,Tennis, Time: ,Sun Oct 04 14:30:00 CEST 2015, Time: ,Sun Oct 04 14:30:00 CEST 2015, Event: ,P Davydenko v S Griekspoor, Favorite: ,Philipp Davydenko, 7429697   size:3.12,Price: ,1.08,Scott Griekspoor, 9198591   size:39.67,Price: ,1.08,x
1.121060604, Sport: ,Tennis, Time: ,Sun Oct 04 12:00:00 CEST 2015, Time: ,Sun Oct 04 12:00:00 CEST 2015, Event: ,Kovalik v Gawron, Favorite: ,Jozef Kovalik, 7287668   size:2.55,Price: ,1.38,Marcin Gawron, 8697530   size:6.77,Price: ,3.0,ok
