1.121720925, Sport: ,Soccer, Time: ,Mon Nov 09 14:00:00 CET 2015, Time: ,Mon Nov 09 14:00:00 CET 2015, Event: ,Lyngby (Res) v FC Nordsj (Res), Favorite: ,Lyngby (Res), 5372987   size:4.64,Price: ,1.1,FC Nordsj (Res), 5369708   size:4.64,Price: ,1.1,The Draw, 58805   size:5.0,Price: ,2.9,x
1.121726341, Sport: ,Tennis, Time: ,Mon Nov 09 17:30:00 CET 2015, Time: ,Mon Nov 09 17:30:00 CET 2015, Event: ,Satral/Smirnov v Koolhof/Middelkoop, Favorite: ,Satral/Smirnov, 10507404   size:8.44,Price: ,1.04,Koolhof/Middelkoop, 9146551   size:8.44,Price: ,1.04,ok
1.121726622, Sport: ,Tennis, Time: ,Mon Nov 09 16:15:00 CET 2015, Time: ,Mon Nov 09 16:15:00 CET 2015, Event: ,Hamou/Hemery v Guez/Sidorenko, Favorite: ,Hamou/Hemery, 10025870   size:8.35,Price: ,1.04,Guez/Sidorenko, 10507584   size:8.35,Price: ,1.04,x
1.121726345, Sport: ,Tennis, Time: ,Mon Nov 09 13:00:00 CET 2015, Time: ,Mon Nov 09 13:00:00 CET 2015, Event: ,Fyrstenberg/Przysiezny v Betov/Rublev, Favorite: ,Betov/Rublev, 10483063   size:26.09,Price: ,1.48,Fyrstenberg/Przysiezny, 10507403   size:21.44,Price: ,1.8,x
1.121721421, Sport: ,Soccer, Time: ,Mon Nov 09 11:15:00 CET 2015, Time: ,Mon Nov 09 11:15:00 CET 2015, Event: ,Guardian Angel SC U20 v Sporting Goa U20, Favorite: ,Sporting Goa U20, 10341255   size:2.71,Price: ,1.1,Guardian Angel SC U20, 10344232   size:5.16,Price: ,2.0,The Draw, 58805   size:10.0,Price: ,3.7,ok
1.121721586, Sport: ,Soccer, Time: ,Mon Nov 09 18:30:00 CET 2015, Time: ,Mon Nov 09 18:30:00 CET 2015, Event: ,Jong Volendam v Jong Vitesse AGOVV, Favorite: ,Jong Vitesse AGOVV, 6358859   size:18.88,Price: ,1.53,Jong Volendam, 5273976   size:18.72,Price: ,1.86,The Draw, 58805   size:16.0,Price: ,3.05,x
1.121717000, Sport: ,Tennis, Time: ,Mon Nov 09 16:00:00 CET 2015, Time: ,Mon Nov 09 16:00:00 CET 2015, Event: ,Struff v Sijsling, Favorite: ,Jan-Lennard Struff, 8259098   size:42.01,Price: ,1.65,Igor Sijsling, 2370190   size:34.04,Price: ,2.36,ok
1.121641962, Sport: ,Ice Hockey, Time: ,Mon Nov 09 20:30:00 CET 2015, Time: ,Mon Nov 09 20:30:00 CET 2015, Event: ,Frederikshavn v Herning, Favorite: ,Frederikshavn, 70626   size:5.0,Price: ,1.82,Herning, 70631   size:5.44,Price: ,3.55,Tie, 60104   size:5.56,Price: ,5.1,ok
1.121720295, Sport: ,Darts, Time: ,Mon Nov 09 20:00:00 CET 2015, Time: ,Mon Nov 09 20:00:00 CET 2015, Event: ,Jonny Clayton v Geert de Vos, Favorite: ,Geert De Vos, 6745321   size:16.85,Price: ,1.87,Jonny Clayton, 9292002   size:14.51,Price: ,2.0,ok
1.121589539, Sport: ,Soccer, Time: ,Mon Nov 09 19:30:00 CET 2015, Time: ,Mon Nov 09 19:30:00 CET 2015, Event: ,Hapoel Beer Sheva v Hapoel Haifa, Favorite: ,Hapoel Beer Sheva, 844519   size:10.87,Price: ,1.42,Hapoel Haifa, 5266551   size:12.6,Price: ,9.8,The Draw, 58805   size:9.79,Price: ,5.0,ok
1.121715266, Sport: ,Tennis, Time: ,Mon Nov 09 16:00:00 CET 2015, Time: ,Mon Nov 09 16:00:00 CET 2015, Event: ,Kovinic v Sevastova, Favorite: ,Danka Kovinic, 7414059   size:464.27,Price: ,1.94,Anastasija Sevastova, 2422070   size:99.01,Price: ,1.99,ok
1.121733128, Sport: ,Tennis, Time: ,Mon Nov 09 19:30:00 CET 2015, Time: ,Mon Nov 09 19:30:00 CET 2015, Event: ,J Hiltzik v Smethurst, Favorite: ,Jared Hiltzik, 7082814   size:4.17,Price: ,1.08,Daniel Smethurst, 7364223   size:4.17,Price: ,1.08,x
1.121733248, Sport: ,Tennis, Time: ,Mon Nov 09 10:30:00 CET 2015, Time: ,Mon Nov 09 10:30:00 CET 2015, Event: ,Brogan v Cvackova, Favorite: ,Anna Brogan, 9186033   size:12.03,Price: ,1.12,Natalie Cvackova, 9635402   size:4.9,Price: ,5.0,x
