1.122402845, Sport: ,Darts, Time: ,Tue Dec 29 15:00:00 CET 2015, Time: ,Tue Dec 29 15:00:00 CET 2015, Event: ,Michael Smith v Benito Van de Pas, Favorite: ,Michael Smith, 3066962   size:314.64,Price: ,1.3,Benito van de Pas, 6062761   size:10.02,Price: ,4.0,ok
1.122309593, Sport: ,Ice Hockey, Time: ,Tue Dec 29 04:35:00 CET 2015, Time: ,Tue Dec 29 04:35:00 CET 2015, Event: ,Colorado @ San Jose, Favorite: ,San Jose, 2110001   size:14.72,Price: ,1.98,Colorado, 2108117   size:2.23,Price: ,3.65,Tie, 60104   size:108.02,Price: ,4.3,x
1.122369698, Sport: ,Soccer, Time: ,Tue Dec 29 20:45:00 CET 2015, Time: ,Tue Dec 29 20:45:00 CET 2015, Event: ,Brighton v Ipswich, Favorite: ,Brighton, 18567   size:162.27,Price: ,2.26,Ipswich, 48324   size:60.97,Price: ,3.7,The Draw, 58805   size:2386.57,Price: ,3.35,x
1.122389224, Sport: ,Ice Hockey, Time: ,Tue Dec 29 19:00:00 CET 2015, Time: ,Tue Dec 29 19:00:00 CET 2015, Event: ,Karlskoga v Oskarshamn, Favorite: ,Karlskoga, 6267380   size:746.02,Price: ,1.05,Oskarshamn, 247121   size:37.3,Price: ,1.05,Tie, 60104   size:10.66,Price: ,4.5,x
1.122400026, Sport: ,Basketball, Time: ,Tue Dec 29 18:00:00 CET 2015, Time: ,Tue Dec 29 18:00:00 CET 2015, Event: ,Khimki v CSKA Moscow, Favorite: ,CSKA Moscow, 266272   size:3.92,Price: ,1.51,Khimki, 2154546   size:13.78,Price: ,2.76,x
1.122370375, Sport: ,Soccer, Time: ,Tue Dec 29 16:00:00 CET 2015, Time: ,Tue Dec 29 16:00:00 CET 2015, Event: ,Oriental v Moreirense, Favorite: ,Moreirense, 191604   size:25.71,Price: ,2.28,Oriental, 970435   size:5.28,Price: ,3.6,The Draw, 58805   size:19.34,Price: ,3.35,ok
1.122399997, Sport: ,Basketball, Time: ,Tue Dec 29 12:35:00 CET 2015, Time: ,Tue Dec 29 12:35:00 CET 2015, Event: ,Foshan v Beijing, Favorite: ,Beijing, 6254117   size:3.32,Price: ,1.04,Foshan, 8926911   size:3.0,Price: ,1.67,ok
1.122353878, Sport: ,Cricket, Time: ,Tue Dec 29 12:00:00 CET 2015, Time: ,Tue Dec 29 12:00:00 CET 2015, Event: ,Afghanistan v Zimbabwe (2nd ODI), Favorite: ,Afghanistan, 3786094   size:5.0,Price: ,1.9,Zimbabwe, 1006   size:2.55,Price: ,1.97,ok
1.122370772, Sport: ,Ice Hockey, Time: ,Tue Dec 29 17:30:00 CET 2015, Time: ,Tue Dec 29 17:30:00 CET 2015, Event: ,KeuPa v JYP Akatemia, Favorite: ,KeuPa, 7138769   size:4.96,Price: ,1.11,JYP Akatemia, 5847122   size:10.21,Price: ,2.42,Tie, 60104   size:8.17,Price: ,1.29,ok
1.122400020, Sport: ,Basketball, Time: ,Tue Dec 29 19:00:00 CET 2015, Time: ,Tue Dec 29 19:00:00 CET 2015, Event: ,Randers v Bakken, Favorite: ,Bakken, 7224123   size:3.25,Price: ,1.03,Randers, 6719073   size:2.55,Price: ,1.28,ok
