1.119950039, Sport: ,Soccer, Time: ,Wed Aug 12 21:00:00 CEST 2015, Time: ,Wed Aug 12 21:00:00 CEST 2015, Event: ,Hungary U21 v Italy U21, Favorite: ,Italy U21, 123849   size:256.55,Price: ,1.67,The Draw, 58805   size:142.13,Price: ,4.0,Hungary U21, 231917   size:67.55,Price: ,5.4,x
1.119968383, Sport: ,Soccer, Time: ,Wed Aug 12 17:00:00 CEST 2015, Time: ,Wed Aug 12 17:00:00 CEST 2015, Event: ,Hidasnemeti VSC v Vasas, Favorite: ,Vasas, 886340   size:109.01,Price: ,1.05,The Draw, 58805   size:11.66,Price: ,13.5,Hidasnemeti VSC, 10143772   size:19.0,Price: ,70.0,ok
1.119967652, Sport: ,Soccer, Time: ,Wed Aug 12 23:30:00 CEST 2015, Time: ,Wed Aug 12 23:30:00 CEST 2015, Event: ,Caracas v Petroleros FC, Favorite: ,Caracas, 3738659   size:2.55,Price: ,1.37,The Draw, 58805   size:13.24,Price: ,2.88,Petroleros FC, 10104477   size:6.0,Price: ,4.4,ok
1.119965276, Sport: ,Soccer, Time: ,Wed Aug 12 19:00:00 CEST 2015, Time: ,Wed Aug 12 19:00:00 CEST 2015, Event: ,Leioa v Sestao River, Favorite: ,Leioa, 8792389   size:83.19,Price: ,2.1,Sestao River, 7602486   size:3.24,Price: ,2.88,The Draw, 58805   size:68.55,Price: ,3.15,x
1.119948999, Sport: ,Soccer, Time: ,Wed Aug 12 20:00:00 CEST 2015, Time: ,Wed Aug 12 20:00:00 CEST 2015, Event: ,Novi Pazar v FK Metalac, Favorite: ,Novi Pazar, 4276821   size:99.8,Price: ,2.0,The Draw, 58805   size:15.48,Price: ,3.3,FK Metalac, 4104733   size:11.03,Price: ,4.1,x
1.119962241, Sport: ,Soccer, Time: ,Wed Aug 12 22:30:00 CEST 2015, Time: ,Wed Aug 12 22:30:00 CEST 2015, Event: ,Velez v Acassuso, Favorite: ,Velez, 367589   size:54.77,Price: ,1.35,The Draw, 58805   size:3.39,Price: ,4.2,Acassuso, 8405070   size:5.65,Price: ,9.0,ok
1.119985023, Sport: ,Tennis, Time: ,Wed Aug 12 21:30:00 CEST 2015, Time: ,Wed Aug 12 21:30:00 CEST 2015, Event: ,Jurak/Kops-Jones v Mattek-Sands/Safarova, Favorite: ,Mattek-Sands/Safarova, 9163485   size:2.55,Price: ,1.32,Jurak/Kops-Jones, 10140289   size:67.61,Price: ,3.05,ok
1.119985541, Sport: ,Tennis, Time: ,Wed Aug 12 17:00:00 CEST 2015, Time: ,Wed Aug 12 17:00:00 CEST 2015, Event: ,Errani v Brengle, Favorite: ,Sara Errani, 2309567   size:4987.04,Price: ,1.43,Madison Brengle, 2263603   size:161.62,Price: ,3.25,ok
1.119958791, Sport: ,Volleyball, Time: ,Wed Aug 12 22:00:00 CEST 2015, Time: ,Wed Aug 12 22:00:00 CEST 2015, Event: ,Argentina v Mexico, Favorite: ,Argentina, 1175889   size:3.26,Price: ,1.34,Mexico, 2158195   size:5.83,Price: ,3.55,ok
1.119964867, Sport: ,Tennis, Time: ,Wed Aug 12 17:30:00 CEST 2015, Time: ,Wed Aug 12 17:30:00 CEST 2015, Event: ,Lottner v Dinu, Favorite: ,Cristina Dinu, 7216240   size:2.8,Price: ,1.75,Antonia Lottner, 7216203   size:8.82,Price: ,2.22,x
