1.122095490, Sport: ,Soccer, Time: ,Tue Dec 08 16:00:00 CET 2015, Time: ,Tue Dec 08 16:00:00 CET 2015, Event: ,Paris St-G U19 v Shakhtar U19, Favorite: ,Paris St-G U19, 6569319   size:3.52,Price: ,1.15,Shakhtar U19, 7653217   size:4.23,Price: ,5.0,The Draw, 58805   size:13.87,Price: ,3.1,ok
1.122097274, Sport: ,Ice Hockey, Time: ,Tue Dec 08 19:00:00 CET 2015, Time: ,Tue Dec 08 19:00:00 CET 2015, Event: ,Herlev v Aalborg, Favorite: ,Herlev, 227439   size:128.49,Price: ,2.08,Aalborg, 70634   size:91.3,Price: ,2.52,Tie, 60104   size:33.04,Price: ,5.2,ok
1.122098640, Sport: ,Soccer, Time: ,Tue Dec 08 16:00:00 CET 2015, Time: ,Tue Dec 08 16:00:00 CET 2015, Event: ,La Baneza FC v CD Burgos, Favorite: ,La Baneza FC, 8077014   size:2.55,Price: ,1.13,CD Burgos, 8997862   size:2.55,Price: ,2.16,The Draw, 58805   size:12.49,Price: ,3.15,ok
1.122194638, Sport: ,Soccer, Time: ,Tue Dec 08 16:30:00 CET 2015, Time: ,Tue Dec 08 16:30:00 CET 2015, Event: ,Arcos CF v UD Rotena, Favorite: ,Arcos CF, 6540001   size:9.22,Price: ,1.06,UD Rotena, 6502553   size:9.22,Price: ,1.06,The Draw, 58805   size:13.87,Price: ,3.1,ok
1.122098088, Sport: ,Soccer, Time: ,Tue Dec 08 13:00:00 CET 2015, Time: ,Tue Dec 08 13:00:00 CET 2015, Event: ,UD Telde v CD Santa Ursula, Favorite: ,UD Telde, 7544056   size:2.55,Price: ,1.13,CD Santa Ursula, 8822719   size:6.89,Price: ,2.32,The Draw, 58805   size:22.2,Price: ,3.15,x
1.121988048, Sport: ,Ice Hockey, Time: ,Tue Dec 08 16:30:00 CET 2015, Time: ,Tue Dec 08 16:30:00 CET 2015, Event: ,Karpat v Blues, Favorite: ,Karpat, 66430   size:38.0,Price: ,1.4,Blues, 66804   size:80.67,Price: ,5.3,Tie, 60104   size:66.0,Price: ,5.5,ok
1.122124889, Sport: ,Ice Hockey, Time: ,Tue Dec 08 04:05:00 CET 2015, Time: ,Tue Dec 08 04:05:00 CET 2015, Event: ,Buffalo @ Vancouver, Favorite: ,Vancouver, 2109691   size:268.32,Price: ,1.91,Buffalo, 4427593   size:50.0,Price: ,3.85,Tie, 60104   size:94.0,Price: ,4.4,ok
1.122166362, Sport: ,Basketball, Time: ,Tue Dec 08 01:05:00 CET 2015, Time: ,Tue Dec 08 01:05:00 CET 2015, Event: ,Detroit @ Charlotte, Favorite: ,Charlotte, 13110   size:1068.11,Price: ,1.75,Detroit, 13111   size:131.19,Price: ,2.24,ok
1.122186076, Sport: ,Soccer, Time: ,Tue Dec 08 20:45:00 CET 2015, Time: ,Tue Dec 08 20:45:00 CET 2015, Event: ,North Greenford United v Leighton Town, Favorite: ,North Greenford United, 7883952   size:3.68,Price: ,1.11,Leighton Town, 1338700   size:3.68,Price: ,1.11,The Draw, 58805   size:13.87,Price: ,3.15,x
1.122186352, Sport: ,Soccer, Time: ,Tue Dec 08 14:00:00 CET 2015, Time: ,Tue Dec 08 14:00:00 CET 2015, Event: ,Ross Co U20 v Hearts U20, Favorite: ,Ross Co U20, 9002628   size:75.83,Price: ,1.12,Hearts U20, 8981683   size:75.83,Price: ,1.12,The Draw, 58805   size:13.87,Price: ,3.15,ok
