1.121166242, Sport: ,Soccer, Time: ,Sun Oct 18 08:00:00 CEST 2015, Time: ,Sun Oct 18 08:00:00 CEST 2015, Event: ,Thespakusatsu Gunma v C-Osaka, Favorite: ,C-Osaka, 361742   size:1387.88,Price: ,1.72,Thespakusatsu Gunma, 7078090   size:2.72,Price: ,6.4,The Draw, 58805   size:135.79,Price: ,3.7,x
1.121229232, Sport: ,Ice Hockey, Time: ,Sun Oct 18 14:30:00 CEST 2015, Time: ,Sun Oct 18 14:30:00 CEST 2015, Event: ,Dusseldorfer v Kolner Haie, Favorite: ,Kolner Haie, 233911   size:68.0,Price: ,2.26,Dusseldorfer, 6671675   size:58.71,Price: ,2.6,Tie, 60104   size:54.95,Price: ,4.6,x
1.121165280, Sport: ,Soccer, Time: ,Sun Oct 18 18:00:00 CEST 2015, Time: ,Sun Oct 18 18:00:00 CEST 2015, Event: ,Bryne v Follo, Favorite: ,Bryne, 7033   size:4.99,Price: ,2.16,Follo, 398301   size:33.04,Price: ,3.45,The Draw, 58805   size:99.41,Price: ,3.8,ok
1.121315576, Sport: ,Soccer, Time: ,Sun Oct 18 14:00:00 CEST 2015, Time: ,Sun Oct 18 14:00:00 CEST 2015, Event: ,Linense SP v Sao Bento, Favorite: ,Linense SP, 5231798   size:3.52,Price: ,1.07,Sao Bento, 1362124   size:3.52,Price: ,1.07,The Draw, 58805   size:2.72,Price: ,3.05,ok
1.121165161, Sport: ,Soccer, Time: ,Sun Oct 18 15:00:00 CEST 2015, Time: ,Sun Oct 18 15:00:00 CEST 2015, Event: ,Vejle v Skive, Favorite: ,Vejle, 44103   size:2.72,Price: ,1.85,Skive, 151005   size:3.83,Price: ,5.0,The Draw, 58805   size:14.18,Price: ,3.7,x
1.121276024, Sport: ,Soccer, Time: ,Sun Oct 18 23:00:00 CEST 2015, Time: ,Sun Oct 18 23:00:00 CEST 2015, Event: ,Independiente Rivadavia v Juventud Unida G, Favorite: ,Independiente Rivadavia, 5333044   size:5.29,Price: ,2.24,Juventud Unida G, 9229737   size:46.16,Price: ,3.75,The Draw, 58805   size:34.3,Price: ,3.05,ok
1.121322548, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,Lorca AD (W) v Mislata CF (W), Favorite: ,Lorca AD (W), 8278762   size:3.52,Price: ,1.07,Mislata CF (W), 6596763   size:3.52,Price: ,1.07,The Draw, 58805   size:2.72,Price: ,3.05,x
1.121229235, Sport: ,Ice Hockey, Time: ,Sun Oct 18 16:30:00 CEST 2015, Time: ,Sun Oct 18 16:30:00 CEST 2015, Event: ,ERC Ingolstadt v Wolfsburg, Favorite: ,ERC Ingolstadt, 233927   size:69.0,Price: ,2.24,Wolfsburg, 1031534   size:55.87,Price: ,2.64,Tie, 60104   size:58.09,Price: ,4.5,x
1.121329561, Sport: ,Tennis, Time: ,Mon Oct 19 06:00:00 CEST 2015, Time: ,Mon Oct 19 06:00:00 CEST 2015, Event: ,Molchanov v Skugor, Favorite: ,Denys Molchanov, 3474265   size:3.08,Price: ,1.08,Franko Skugor, 2862839   size:3.08,Price: ,1.08,x
1.121237533, Sport: ,Basketball, Time: ,Sun Oct 18 14:00:00 CEST 2015, Time: ,Sun Oct 18 14:00:00 CEST 2015, Event: ,B.C. VITA Tbilisi v Nizhny Novgorod, Favorite: ,Nizhny Novgorod, 5877533   size:5.66,Price: ,1.02,B.C. VITA Tbilisi, 10362566   size:5.72,Price: ,1.12,ok
