1.122102868, Sport: ,Ice Hockey, Time: ,Fri Dec 04 17:20:00 CET 2015, Time: ,Fri Dec 04 17:20:00 CET 2015, Event: ,HC Olomouc v Litvinov, Favorite: ,HC Olomouc, 7213810   size:5.96,Price: ,1.89,Litvinov, 563270   size:15.26,Price: ,2.98,Tie, 60104   size:5.96,Price: ,3.85,ok
1.122102864, Sport: ,Ice Hockey, Time: ,Fri Dec 04 17:00:00 CET 2015, Time: ,Fri Dec 04 17:00:00 CET 2015, Event: ,Vitkovice Steel v Liberec, Favorite: ,Liberec, 563262   size:15.26,Price: ,2.22,Vitkovice Steel, 2878390   size:15.26,Price: ,2.48,Tie, 60104   size:76.1,Price: ,4.5,ok
1.122150908, Sport: ,Snooker, Time: ,Fri Dec 04 14:00:00 CET 2015, Time: ,Fri Dec 04 14:00:00 CET 2015, Event: ,Liang Wenbo v Marco Fu, Favorite: ,Marco Fu, 2278808   size:142.08,Price: ,1.54,Liang Wenbo, 2293301   size:96.86,Price: ,2.28,x
1.121996861, Sport: ,Basketball, Time: ,Fri Dec 04 03:00:00 CET 2015, Time: ,Fri Dec 04 03:00:00 CET 2015, Event: ,Kentucky @ UCLA, Favorite: ,Kentucky, 332189   size:15.87,Price: ,1.35,UCLA, 697690   size:5.0,Price: ,3.4,x
1.122017991, Sport: ,Soccer, Time: ,Fri Dec 04 19:30:00 CET 2015, Time: ,Fri Dec 04 19:30:00 CET 2015, Event: ,FC Koln II v Wegberg Beeck, Favorite: ,FC Koln II, 5288926   size:73.66,Price: ,1.3,Wegberg Beeck, 3235339   size:2.0,Price: ,10.0,The Draw, 58805   size:6.24,Price: ,5.4,ok
1.122096865, Sport: ,Basketball, Time: ,Fri Dec 04 03:35:00 CET 2015, Time: ,Fri Dec 04 03:35:00 CET 2015, Event: ,San Antonio @ Memphis, Favorite: ,San Antonio, 13121   size:5.0,Price: ,1.71,Memphis, 119812   size:5.0,Price: ,2.28,ok
1.122006587, Sport: ,Soccer, Time: ,Fri Dec 04 19:00:00 CET 2015, Time: ,Fri Dec 04 19:00:00 CET 2015, Event: ,TSG Neustrelitz v Luckenwalde, Favorite: ,TSG Neustrelitz, 2495960   size:16.39,Price: ,1.47,Luckenwalde, 9988837   size:5.33,Price: ,6.8,The Draw, 58805   size:2.75,Price: ,5.2,ok
1.122115027, Sport: ,Soccer, Time: ,Fri Dec 04 02:30:00 CET 2015, Time: ,Fri Dec 04 02:30:00 CET 2015, Event: ,Suchitepequez v Guastatoya, Favorite: ,Suchitepequez, 9216457   size:2.55,Price: ,1.88,Guastatoya, 9238024   size:2.27,Price: ,3.4,The Draw, 58805   size:4.04,Price: ,3.3,x
1.122008765, Sport: ,Soccer, Time: ,Fri Dec 04 17:00:00 CET 2015, Time: ,Fri Dec 04 17:00:00 CET 2015, Event: ,Spartak Moscow v Kryliya Sovetov, Favorite: ,Spartak Moscow, 5517   size:64.78,Price: ,1.75,Kryliya Sovetov, 579339   size:18.72,Price: ,5.6,The Draw, 58805   size:462.78,Price: ,3.85,ok
1.122006585, Sport: ,Soccer, Time: ,Fri Dec 04 14:30:00 CET 2015, Time: ,Fri Dec 04 14:30:00 CET 2015, Event: ,Atletico De Kolkata v Mumbai City, Favorite: ,Atletico De Kolkata, 8897744   size:2.55,Price: ,1.49,Mumbai City, 8897745   size:2.51,Price: ,5.4,The Draw, 58805   size:13.91,Price: ,3.85,x
