1.119680525, Sport: ,Soccer, Time: ,Mon Jul 27 00:00:00 CEST 2015, Time: ,Mon Jul 27 00:00:00 CEST 2015, Event: ,Deportivo Cali v Malaga, Favorite: ,Malaga, 13360   size:54.55,Price: ,2.16,The Draw, 58805   size:11.3,Price: ,3.5,Deportivo Cali, 328690   size:15.21,Price: ,3.55,x
1.119680405, Sport: ,Soccer, Time: ,Sun Jul 26 22:00:00 CEST 2015, Time: ,Sun Jul 26 22:00:00 CEST 2015, Event: ,Union Atletico Falcon v Gran Valencia FC, Favorite: ,Gran Valencia FC, 9959852   size:244.93,Price: ,1.01,The Draw, 58805   size:5.65,Price: ,1.25,ok
1.119574450, Sport: ,Baseball, Time: ,Sun Jul 26 22:10:00 CEST 2015, Time: ,Sun Jul 26 22:10:00 CEST 2015, Event: ,MIA @ SD, Favorite: ,San Diego (O Despaigne), 8643885   size:281.0,Price: ,1.94,Miami (M Latos), 9381399   size:110.44,Price: ,1.99,ok
1.119697089, Sport: ,Tennis, Time: ,Sun Jul 26 21:15:00 CEST 2015, Time: ,Sun Jul 26 21:15:00 CEST 2015, Event: ,Nielsen v N Rubin, Favorite: ,Noah Rubin, 7593248   size:9.16,Price: ,1.63,Frederik Nielsen, 2444574   size:2.61,Price: ,2.02,ok
1.119564099, Sport: ,Soccer, Time: ,Sun Jul 26 17:00:00 CEST 2015, Time: ,Sun Jul 26 17:00:00 CEST 2015, Event: ,Skovde AIK v IK Gauthiod, Favorite: ,Skovde AIK, 2382929   size:2.43,Price: ,2.18,IK Gauthiod, 6290360   size:2.12,Price: ,2.58,The Draw, 58805   size:3.87,Price: ,3.95,ok
1.119676723, Sport: ,Soccer, Time: ,Sun Jul 26 17:00:00 CEST 2015, Time: ,Sun Jul 26 17:00:00 CEST 2015, Event: ,Dnepr Mogilev v FK Krumkachy Minsk, Favorite: ,FK Krumkachy Minsk, 9414498   size:217.6,Price: ,1.01,The Draw, 58805   size:5.65,Price: ,1.25,x
1.119696435, Sport: ,Tennis, Time: ,Sun Jul 26 17:45:00 CEST 2015, Time: ,Sun Jul 26 17:45:00 CEST 2015, Event: ,Uchiyama v J Witten, Favorite: ,Yasutaka Uchiyama, 5858048   size:3.12,Price: ,1.33,Jesse Witten, 2310681   size:7.24,Price: ,3.15,ok
1.119697402, Sport: ,Tennis, Time: ,Sun Jul 26 17:30:00 CEST 2015, Time: ,Sun Jul 26 17:30:00 CEST 2015, Event: ,Konta v Foretz, Favorite: ,Johanna Konta, 5596561   size:5.53,Price: ,1.35,Stephanie Foretz, 9152710   size:33.35,Price: ,3.2,ok
1.119564646, Sport: ,Soccer, Time: ,Mon Jul 27 01:30:00 CEST 2015, Time: ,Mon Jul 27 01:30:00 CEST 2015, Event: ,New York Red Bulls v Benfica, Favorite: ,Benfica, 48783   size:223.44,Price: ,1.88,The Draw, 58805   size:46.05,Price: ,3.85,New York Red Bulls, 2362970   size:18.11,Price: ,4.7,x
1.119676835, Sport: ,Soccer, Time: ,Sun Jul 26 16:00:00 CEST 2015, Time: ,Sun Jul 26 16:00:00 CEST 2015, Event: ,Guaratingueta v Juventude, Favorite: ,Juventude, 198144   size:2.25,Price: ,1.84,The Draw, 58805   size:6.26,Price: ,3.25,Guaratingueta, 3620521   size:2.34,Price: ,4.1,ok
1.119586020, Sport: ,Rugby League, Time: ,Sun Jul 26 16:00:00 CEST 2015, Time: ,Sun Jul 26 16:00:00 CEST 2015, Event: ,Leeds v Catalan, Favorite: ,Leeds, 39514   size:17.35,Price: ,1.18,Catalan, 2362563   size:12.27,Price: ,7.4,Draw, 11126   size:2.95,Price: ,22.0,ok
1.119557685, Sport: ,Soccer, Time: ,Sun Jul 26 21:00:00 CEST 2015, Time: ,Sun Jul 26 21:00:00 CEST 2015, Event: ,Ponte Preta v Internacional, Favorite: ,Ponte Preta, 204603   size:448.53,Price: ,2.18,The Draw, 58805   size:2.81,Price: ,3.35,Internacional, 198137   size:349.81,Price: ,3.95,x
1.119683125, Sport: ,Soccer, Time: ,Sun Jul 26 22:30:00 CEST 2015, Time: ,Sun Jul 26 22:30:00 CEST 2015, Event: ,Atletico Venezuela v Llaneros, Favorite: ,Atletico Venezuela, 7683135   size:3.27,Price: ,1.93,The Draw, 58805   size:18.75,Price: ,3.1,Llaneros, 7658017   size:25.72,Price: ,3.85,ok
1.119594691, Sport: ,Soccer, Time: ,Sun Jul 26 19:00:00 CEST 2015, Time: ,Sun Jul 26 19:00:00 CEST 2015, Event: ,NK Zagreb v Rijeka, Favorite: ,Rijeka, 166890   size:90.4,Price: ,1.62,The Draw, 58805   size:12.24,Price: ,4.2,NK Zagreb, 189804   size:4.23,Price: ,6.8,x
