1.121446380, Sport: ,Soccer, Time: ,Sun Nov 01 15:00:00 CET 2015, Time: ,Sun Nov 01 15:00:00 CET 2015, Event: ,FC Vestsjaelland v Skive, Favorite: ,FC Vestsjaelland, 3235291   size:71.11,Price: ,1.81,Skive, 151005   size:34.43,Price: ,5.3,The Draw, 58805   size:7.8,Price: ,3.75,x
1.121507065, Sport: ,Soccer, Time: ,Sun Nov 01 12:00:00 CET 2015, Time: ,Sun Nov 01 12:00:00 CET 2015, Event: ,Cacereno v Compostela, Favorite: ,Cacereno, 4144561   size:18.36,Price: ,1.7,Compostela, 309090   size:50.73,Price: ,6.0,The Draw, 58805   size:7.28,Price: ,3.6,x
1.121529072, Sport: ,Basketball, Time: ,Sun Nov 01 06:00:00 CET 2015, Time: ,Sun Nov 01 06:00:00 CET 2015, Event: ,Fukuoka v Osaka, Favorite: ,Fukuoka, 6737023   size:2.8,Price: ,1.02,Osaka, 6737020   size:2.8,Price: ,1.02,x
1.121529075, Sport: ,Basketball, Time: ,Sun Nov 01 06:00:00 CET 2015, Time: ,Sun Nov 01 06:00:00 CET 2015, Event: ,Oita v Hamamatsu, Favorite: ,Oita, 6736967   size:2.8,Price: ,1.02,Hamamatsu, 6718617   size:2.8,Price: ,1.02,x
1.121600258, Sport: ,Soccer, Time: ,Sun Nov 01 12:30:00 CET 2015, Time: ,Sun Nov 01 12:30:00 CET 2015, Event: ,Atletico Madrid (W) v Real Sociedad (W), Favorite: ,Atletico Madrid (W), 10243490   size:3.01,Price: ,1.32,Real Sociedad (W), 6794562   size:35.33,Price: ,4.8,The Draw, 58805   size:41.85,Price: ,4.0,ok
1.121572868, Sport: ,Basketball, Time: ,Sun Nov 01 12:35:00 CET 2015, Time: ,Sun Nov 01 12:35:00 CET 2015, Event: ,Chongqing v Jilin, Favorite: ,Jilin, 8926909   size:7.55,Price: ,1.5,Chongqing, 8926914   size:5.9,Price: ,2.74,ok
1.121439856, Sport: ,Soccer, Time: ,Sun Nov 01 15:00:00 CET 2015, Time: ,Sun Nov 01 15:00:00 CET 2015, Event: ,Genoa v Napoli, Favorite: ,Napoli, 676464   size:283.3,Price: ,1.81,Genoa, 60310   size:69.43,Price: ,5.0,The Draw, 58805   size:959.67,Price: ,3.95,x
1.121572867, Sport: ,Basketball, Time: ,Sun Nov 01 12:35:00 CET 2015, Time: ,Sun Nov 01 12:35:00 CET 2015, Event: ,Bayi Rockets v Zhejiang Guangsha, Favorite: ,Zhejiang Guangsha, 8926901   size:2.55,Price: ,1.17,Bayi Rockets, 8926902   size:14.01,Price: ,6.0,ok
1.121607956, Sport: ,Tennis, Time: ,Sun Nov 01 12:45:00 CET 2015, Time: ,Sun Nov 01 12:45:00 CET 2015, Event: ,Gabashvili v Rosol, Favorite: ,Lukas Rosol, 2258415   size:46.57,Price: ,1.72,Teymuraz Gabashvili, 4877292   size:3.08,Price: ,2.08,ok
1.121594197, Sport: ,Soccer, Time: ,Sun Nov 01 11:00:00 CET 2015, Time: ,Sun Nov 01 11:00:00 CET 2015, Event: ,Tskhinvali v FC Samtredia, Favorite: ,Tskhinvali, 9686863   size:4.15,Price: ,1.07,FC Samtredia, 6830593   size:4.15,Price: ,1.07,The Draw, 58805   size:2.8,Price: ,1.25,ok
