1.121507063, Sport: ,Soccer, Time: ,Sat Oct 31 18:15:00 CET 2015, Time: ,Sat Oct 31 18:15:00 CET 2015, Event: ,Burgos v Coruxo, Favorite: ,Burgos, 968180   size:9.39,Price: ,1.77,Coruxo, 4943232   size:2.94,Price: ,5.4,The Draw, 58805   size:2.78,Price: ,3.6,x
1.121603526, Sport: ,Tennis, Time: ,Sat Oct 31 18:45:00 CET 2015, Time: ,Sat Oct 31 18:45:00 CET 2015, Event: ,D Young v K De Schepper, Favorite: ,Donald Young, 2345091   size:195.79,Price: ,1.69,Kenny De Schepper, 5617034   size:140.07,Price: ,2.36,x
1.121454320, Sport: ,Soccer, Time: ,Sat Oct 31 18:00:00 CET 2015, Time: ,Sat Oct 31 18:00:00 CET 2015, Event: ,Bekescsaba v Ujpest, Favorite: ,Ujpest, 521199   size:26.25,Price: ,1.89,Bekescsaba, 505949   size:3.81,Price: ,4.5,The Draw, 58805   size:6.02,Price: ,3.55,ok
1.121504590, Sport: ,Soccer, Time: ,Sat Oct 31 20:00:00 CET 2015, Time: ,Sat Oct 31 20:00:00 CET 2015, Event: ,Univ de Concepcion v Deportes Iquique, Favorite: ,Univ de Concepcion, 5129867   size:5.0,Price: ,1.77,Deportes Iquique, 5271441   size:44.85,Price: ,4.8,The Draw, 58805   size:45.88,Price: ,4.2,x
1.121423729, Sport: ,Volleyball, Time: ,Sat Oct 31 20:00:00 CET 2015, Time: ,Sat Oct 31 20:00:00 CET 2015, Event: ,Chemik Police v Impel Wroclaw, Favorite: ,Chemik Police, 7733782   size:33.26,Price: ,1.01,Impel Wroclaw, 6912945   size:209.18,Price: ,1.67,ok
1.121395250, Sport: ,Ice Hockey, Time: ,Sat Oct 31 18:05:00 CET 2015, Time: ,Sat Oct 31 18:05:00 CET 2015, Event: ,NY Islanders @ New Jersey, Favorite: ,NY Islanders, 60105   size:264.0,Price: ,2.26,New Jersey, 2112200   size:142.22,Price: ,3.05,Tie, 60104   size:4.53,Price: ,4.1,x
1.121492879, Sport: ,Soccer, Time: ,Sat Oct 31 17:00:00 CET 2015, Time: ,Sat Oct 31 17:00:00 CET 2015, Event: ,Olimpia Grudziadz v GKS Belchatow, Favorite: ,Olimpia Grudziadz, 4135268   size:1250.0,Price: ,1.04,GKS Belchatow, 1209554   size:833.0,Price: ,1.06,The Draw, 58805   size:499.99,Price: ,1.1,x
1.121564688, Sport: ,Soccer, Time: ,Sat Oct 31 18:00:00 CET 2015, Time: ,Sat Oct 31 18:00:00 CET 2015, Event: ,EF Alhama v Real Murcia Imperial CF, Favorite: ,EF Alhama, 8826848   size:138.75,Price: ,1.06,Real Murcia Imperial CF, 10243153   size:138.75,Price: ,1.06,The Draw, 58805   size:5.6,Price: ,2.88,x
1.121395255, Sport: ,Ice Hockey, Time: ,Sat Oct 31 20:05:00 CET 2015, Time: ,Sat Oct 31 20:05:00 CET 2015, Event: ,San Jose @ Dallas, Favorite: ,Dallas, 2108116   size:97.9,Price: ,2.3,San Jose, 2110001   size:19.0,Price: ,3.0,Tie, 60104   size:491.99,Price: ,3.9,ok
1.121419099, Sport: ,Soccer, Time: ,Sat Oct 31 20:00:00 CET 2015, Time: ,Sat Oct 31 20:00:00 CET 2015, Event: ,Charleroi v Oostende, Favorite: ,Charleroi, 65808   size:2.8,Price: ,2.22,Oostende, 505717   size:249.67,Price: ,3.6,The Draw, 58805   size:59.56,Price: ,3.55,x
