1.122272166, Sport: ,Soccer, Time: ,Mon Dec 14 20:45:00 CET 2015, Time: ,Mon Dec 14 20:45:00 CET 2015, Event: ,Hyde v Colwyn Bay, Favorite: ,Hyde, 1053216   size:3.23,Price: ,1.55,Colwyn Bay, 2662205   size:42.27,Price: ,4.0,The Draw, 58805   size:46.03,Price: ,3.7,x
1.122271630, Sport: ,Soccer, Time: ,Mon Dec 14 19:00:00 CET 2015, Time: ,Mon Dec 14 19:00:00 CET 2015, Event: ,Dunfermline U20 v Rangers U20, Favorite: ,Rangers U20, 7571676   size:2.13,Price: ,1.3,Dunfermline U20, 6791592   size:2.07,Price: ,4.4,The Draw, 58805   size:41.66,Price: ,4.1,x
1.122271905, Sport: ,Soccer, Time: ,Mon Dec 14 20:30:00 CET 2015, Time: ,Mon Dec 14 20:30:00 CET 2015, Event: ,Palmeiras U20 v Internacional U20, Favorite: ,Internacional U20, 6006866   size:2.7,Price: ,1.85,Palmeiras U20, 5181619   size:53.55,Price: ,3.15,The Draw, 58805   size:53.55,Price: ,3.15,x
1.122246718, Sport: ,Ice Hockey, Time: ,Tue Dec 15 01:35:00 CET 2015, Time: ,Tue Dec 15 01:35:00 CET 2015, Event: ,Buffalo @ Detroit, Favorite: ,Detroit, 975676   size:2.68,Price: ,1.86,Buffalo, 4427593   size:10.13,Price: ,3.2,Tie, 60104   size:9.33,Price: ,3.8,x
1.122215535, Sport: ,Soccer, Time: ,Mon Dec 14 20:45:00 CET 2015, Time: ,Mon Dec 14 20:45:00 CET 2015, Event: ,Hendon v Farnborough, Favorite: ,Hendon, 1034127   size:2.11,Price: ,2.36,Farnborough, 256188   size:4.42,Price: ,2.66,The Draw, 58805   size:6.6,Price: ,3.85,ok
1.122260347, Sport: ,Basketball, Time: ,Tue Dec 15 02:05:00 CET 2015, Time: ,Tue Dec 15 02:05:00 CET 2015, Event: ,Washington @ Memphis, Favorite: ,Memphis, 119812   size:2.98,Price: ,1.67,Washington, 13105   size:2.28,Price: ,2.18,ok
1.122260221, Sport: ,Basketball, Time: ,Tue Dec 15 02:05:00 CET 2015, Time: ,Tue Dec 15 02:05:00 CET 2015, Event: ,Miami @ Atlanta, Favorite: ,Atlanta, 13114   size:2.68,Price: ,1.28,Miami, 13109   size:2.54,Price: ,2.1,x
1.122268466, Sport: ,Handball, Time: ,Mon Dec 14 17:45:00 CET 2015, Time: ,Mon Dec 14 17:45:00 CET 2015, Event: ,Spain v France, Favorite: ,Spain, 620381   size:2.68,Price: ,1.97,France, 620374   size:2.32,Price: ,2.16,Draw, 330157   size:18.0,Price: ,2.82,x
1.122166264, Sport: ,Soccer, Time: ,Mon Dec 14 20:30:00 CET 2015, Time: ,Mon Dec 14 20:30:00 CET 2015, Event: ,Novara v Trapani, Favorite: ,Novara, 522045   size:70.94,Price: ,1.88,Trapani, 4893594   size:298.99,Price: ,5.3,The Draw, 58805   size:254.6,Price: ,3.55,ok
1.122163270, Sport: ,Soccer, Time: ,Mon Dec 14 20:00:00 CET 2015, Time: ,Mon Dec 14 20:00:00 CET 2015, Event: ,Man Utd U21 v Leicester U21, Favorite: ,Man Utd U21, 6615321   size:2.55,Price: ,1.75,Leicester U21, 6843888   size:4.31,Price: ,3.55,The Draw, 58805   size:16.87,Price: ,3.45,ok
