1.122414437, Sport: ,Basketball, Time: ,Sat Jan 02 20:30:00 CET 2016, Time: ,Sat Jan 02 20:30:00 CET 2016, Event: ,Oldenburg v Tubingen, Favorite: ,Oldenburg, 1285952   size:6.03,Price: ,1.16,Tubingen, 1371897   size:6.43,Price: ,5.5,ok
1.122424528, Sport: ,Soccer, Time: ,Sat Jan 02 20:00:00 CET 2016, Time: ,Sat Jan 02 20:00:00 CET 2016, Event: ,Rio Preto EC U20 v CE Uniao ABC U20, Favorite: ,Rio Preto EC U20, 9468405   size:3.69,Price: ,1.16,CE Uniao ABC U20, 10676957   size:3.69,Price: ,1.16,The Draw, 58805   size:3.69,Price: ,1.29,x
1.122421654, Sport: ,Soccer, Time: ,Sat Jan 02 19:30:00 CET 2016, Time: ,Sat Jan 02 19:30:00 CET 2016, Event: ,Hapoel Herzliya v Ironi Tiberias, Favorite: ,Hapoel Herzliya, 5195930   size:10.0,Price: ,1.15,Ironi Tiberias, 6064987   size:10.0,Price: ,1.15,The Draw, 58805   size:2.72,Price: ,1.25,x
1.122442697, Sport: ,Soccer, Time: ,Sat Jan 02 14:15:00 CET 2016, Time: ,Sat Jan 02 14:15:00 CET 2016, Event: ,Al Khor v Al Arabi, Favorite: ,Al Arabi, 3922362   size:2.28,Price: ,2.34,Al Khor, 5174706   size:4.21,Price: ,2.66,The Draw, 58805   size:28.89,Price: ,3.35,x
1.122310951, Sport: ,Ice Hockey, Time: ,Sun Jan 03 01:05:00 CET 2016, Time: ,Sun Jan 03 01:05:00 CET 2016, Event: ,NY Rangers @ Florida, Favorite: ,Florida, 2112317   size:5.53,Price: ,2.24,NY Rangers, 60103   size:2.51,Price: ,2.56,Tie, 60104   size:4.5,Price: ,3.5,ok
1.122423839, Sport: ,Soccer, Time: ,Sat Jan 02 22:00:00 CET 2016, Time: ,Sat Jan 02 22:00:00 CET 2016, Event: ,Santa Cruz Recife U20 v Vila Nova U20, Favorite: ,Santa Cruz Recife U20, 10306468   size:2.55,Price: ,1.95,Vila Nova U20, 10676732   size:2.55,Price: ,3.1,The Draw, 58805   size:2.55,Price: ,3.5,x
1.122415530, Sport: ,Basketball, Time: ,Sat Jan 02 17:00:00 CET 2016, Time: ,Sat Jan 02 17:00:00 CET 2016, Event: ,Pinar Karsiyaka v Buyukcekmece, Favorite: ,Pinar Karsiyaka, 631283   size:2.57,Price: ,1.24,Buyukcekmece, 9128901   size:6.33,Price: ,4.3,ok
1.122409429, Sport: ,Darts, Time: ,Sat Jan 02 17:30:00 CET 2016, Time: ,Sat Jan 02 17:30:00 CET 2016, Event: ,Darryl Fitton v Dennis Harbour, Favorite: ,Darryl Fitton, 2409761   size:2.55,Price: ,1.39,Dennis Harbour, 8905189   size:2.55,Price: ,3.15,x
1.122425854, Sport: ,Soccer, Time: ,Sat Jan 02 18:00:00 CET 2016, Time: ,Sat Jan 02 18:00:00 CET 2016, Event: ,Gremio U20 v Desportiva ES U20, Favorite: ,Gremio U20, 6014425   size:4.61,Price: ,1.12,Desportiva ES U20, 10677087   size:21.43,Price: ,14.5,The Draw, 58805   size:82.46,Price: ,5.0,x
1.122383791, Sport: ,Soccer, Time: ,Sat Jan 02 16:00:00 CET 2016, Time: ,Sat Jan 02 16:00:00 CET 2016, Event: ,Livingston v Queen of South, Favorite: ,Livingston, 57423   size:5.0,Price: ,2.64,Queen of South, 674744   size:5.0,Price: ,2.88,The Draw, 58805   size:14.23,Price: ,3.5,x
