1.122613427, Sport: ,Tennis, Time: ,Fri Jan 15 12:00:00 CET 2016, Time: ,Fri Jan 15 12:00:00 CET 2016, Event: ,Daniel Masur v Oscar Otte, Favorite: ,Daniel Masur, 8659524   size:128.13,Price: ,1.31,Oscar Otte, 9624731   size:82.73,Price: ,1.48,ok
1.122613669, Sport: ,Tennis, Time: ,Fri Jan 15 17:00:00 CET 2016, Time: ,Fri Jan 15 17:00:00 CET 2016, Event: ,Catherine Cartan Bellis v Grace Min, Favorite: ,Catherine Cartan Bellis, 10711959   size:3.23,Price: ,1.42,Grace Min, 6280340   size:19.57,Price: ,2.58,x
1.122547394, Sport: ,Cricket, Time: ,Fri Jan 15 18:30:00 CET 2016, Time: ,Fri Jan 15 18:30:00 CET 2016, Event: ,Combined C and C v Windward Islands, Favorite: ,Combined C and C, 6952753   size:661.9,Price: ,1.04,Windward Islands, 4649766   size:661.9,Price: ,1.04,ok
1.122575565, Sport: ,Cricket, Time: ,Sat Jan 16 04:30:00 CET 2016, Time: ,Sat Jan 16 04:30:00 CET 2016, Event: ,Kerala v Baroda, Favorite: ,Kerala, 8174933   size:160.31,Price: ,1.03,Baroda, 4297053   size:160.31,Price: ,1.03,ok
1.122559937, Sport: ,Soccer, Time: ,Fri Jan 15 18:45:00 CET 2016, Time: ,Fri Jan 15 18:45:00 CET 2016, Event: ,Al Mokawloon v Wadi Degla, Favorite: ,Al Mokawloon, 6754306   size:3.35,Price: ,2.62,Wadi degla, 5259318   size:3.35,Price: ,2.86,The Draw, 58805   size:3.7,Price: ,2.96,x
1.122613428, Sport: ,Tennis, Time: ,Fri Jan 15 13:30:00 CET 2016, Time: ,Fri Jan 15 13:30:00 CET 2016, Event: ,Dominik Boehler v Kevin Krawietz, Favorite: ,Kevin Krawietz, 4061310   size:4.02,Price: ,1.24,Dominik Boehler, 8520902   size:5.61,Price: ,3.75,ok
1.122613429, Sport: ,Tennis, Time: ,Fri Jan 15 18:00:00 CET 2016, Time: ,Fri Jan 15 18:00:00 CET 2016, Event: ,Jan Choinski v Andreas Beck, Favorite: ,Andreas Beck, 2396600   size:3.29,Price: ,1.41,Jan Choinski, 8679715   size:4.21,Price: ,2.74,ok
1.122613665, Sport: ,Tennis, Time: ,Sat Jan 16 04:00:00 CET 2016, Time: ,Sat Jan 16 04:00:00 CET 2016, Event: ,F Silva v Pavlasek, Favorite: ,Frederico Ferreira Silv, 9437339   size:6.89,Price: ,1.08,Adam Pavlasek, 8494652   size:6.89,Price: ,1.08,x
1.122547391, Sport: ,Cricket, Time: ,Fri Jan 15 18:30:00 CET 2016, Time: ,Fri Jan 15 18:30:00 CET 2016, Event: ,Trinidad and Tobago v ICC Americas, Favorite: ,Trinidad and Tobago, 2009675   size:160.31,Price: ,1.03,ICC Americas, 10648323   size:1323.8,Price: ,1.06,ok
1.122575568, Sport: ,Cricket, Time: ,Sat Jan 16 04:30:00 CET 2016, Time: ,Sat Jan 16 04:30:00 CET 2016, Event: ,Jharkhand v Delhi, Favorite: ,Jharkhand, 8381514   size:160.31,Price: ,1.03,Delhi, 2696770   size:160.31,Price: ,1.03,x
1.122494771, Sport: ,Soccer, Time: ,Fri Jan 15 14:00:00 CET 2016, Time: ,Fri Jan 15 14:00:00 CET 2016, Event: ,Maccabi Ahi Nazareth v Maccabi Yavne, Favorite: ,Maccabi Ahi Nazareth, 5188358   size:2.59,Price: ,2.6,Maccabi Yavne, 5415484   size:5.28,Price: ,2.8,The Draw, 58805   size:22.31,Price: ,3.15,ok
1.122574905, Sport: ,Basketball, Time: ,Fri Jan 15 18:00:00 CET 2016, Time: ,Fri Jan 15 18:00:00 CET 2016, Event: ,Vrsac v Borac, Favorite: ,Vrsac, 7735778   size:3.24,Price: ,1.03,Borac, 8400163   size:3.24,Price: ,1.03,x
1.122571082, Sport: ,Ice Hockey, Time: ,Fri Jan 15 17:30:00 CET 2016, Time: ,Fri Jan 15 17:30:00 CET 2016, Event: ,HC Spartak Moscow v Admiral Vladivostok, Favorite: ,Admiral Vladivostok, 7597243   size:12.94,Price: ,2.42,HC Spartak Moscow, 10698101   size:13.24,Price: ,2.44,Tie, 60104   size:6.71,Price: ,3.95,x
