1.121364911, Sport: ,Soccer, Time: ,Tue Oct 27 20:00:00 CET 2015, Time: ,Tue Oct 27 20:00:00 CET 2015, Event: ,Berkum v HHC, Favorite: ,HHC, 2560598   size:16.0,Price: ,1.05,Berkum, 5819743   size:38.96,Price: ,12.0,The Draw, 58805   size:8.32,Price: ,3.45
1.121365059, Sport: ,Soccer, Time: ,Tue Oct 27 20:00:00 CET 2015, Time: ,Tue Oct 27 20:00:00 CET 2015, Event: ,Heracles v Koninklijke HFC, Favorite: ,Heracles, 419132   size:272.75,Price: ,1.15,Koninklijke HFC, 10277270   size:10.71,Price: ,42.0,The Draw, 58805   size:2.68,Price: ,7.4
1.121499971, Sport: ,Basketball, Time: ,Tue Oct 27 20:00:00 CET 2015, Time: ,Tue Oct 27 20:00:00 CET 2015, Event: ,Oldenburg v Bilbao, Favorite: ,Bilbao, 1321584   size:22.0,Price: ,1.07,Oldenburg, 1285952   size:4.53,Price: ,13.0
1.121364595, Sport: ,Soccer, Time: ,Tue Oct 27 20:00:00 CET 2015, Time: ,Tue Oct 27 20:00:00 CET 2015, Event: ,Tours v Angers, Favorite: ,The Draw, 58805   size:66.55,Price: ,2.2,Tours, 1543737   size:2.77,Price: ,3.25,Angers, 473963   size:134.08,Price: ,4.0
1.121365429, Sport: ,Soccer, Time: ,Tue Oct 27 20:00:00 CET 2015, Time: ,Tue Oct 27 20:00:00 CET 2015, Event: ,VVSB v Emmen, Favorite: ,VVSB, 2560599   size:103.86,Price: ,1.93,Emmen, 419126   size:50.05,Price: ,4.6,The Draw, 58805   size:64.85,Price: ,3.3
1.121364985, Sport: ,Soccer, Time: ,Tue Oct 27 20:00:00 CET 2015, Time: ,Tue Oct 27 20:00:00 CET 2015, Event: ,Almere City v Den Bosch, Favorite: ,Den Bosch, 48452   size:86.28,Price: ,1.62,Almere City, 4835124   size:30.78,Price: ,7.2,The Draw, 58805   size:2.77,Price: ,4.0
1.121364447, Sport: ,Soccer, Time: ,Tue Oct 27 20:00:00 CET 2015, Time: ,Tue Oct 27 20:00:00 CET 2015, Event: ,Evian TG v Laval, Favorite: ,Laval, 77585   size:218.25,Price: ,1.57,Evian TG, 4864973   size:58.45,Price: ,9.2,The Draw, 58805   size:12.9,Price: ,3.75
1.121365207, Sport: ,Soccer, Time: ,Tue Oct 27 20:00:00 CET 2015, Time: ,Tue Oct 27 20:00:00 CET 2015, Event: ,Dordrecht v Capelle, Favorite: ,Dordrecht, 507804   size:133.21,Price: ,1.34,Capelle, 3348590   size:4.72,Price: ,5.1,The Draw, 58805   size:15.87,Price: ,3.25
1.121471537, Sport: ,Tennis, Time: ,Tue Oct 27 20:06:00 CET 2015, Time: ,Tue Oct 27 20:06:00 CET 2015, Event: ,Gulbis v Isner, Favorite: ,John Isner, 2474763   size:15501.9,Price: ,1.13,Ernests Gulbis, 2257536   size:21.78,Price: ,7.8
1.121475653, Sport: ,Tennis, Time: ,Tue Oct 27 20:07:00 CET 2015, Time: ,Tue Oct 27 20:07:00 CET 2015, Event: ,Dzumhur v Podlipnik-Castillo, Favorite: ,Hans Podlipnik-Castillo, 8461633   size:102.0,Price: ,1.69,Damir Dzumhur, 7414058   size:59.42,Price: ,1.8
1.121485492, Sport: ,Tennis, Time: ,Tue Oct 27 20:14:00 CET 2015, Time: ,Tue Oct 27 20:14:00 CET 2015, Event: ,Bester v Morfin Friebel, Favorite: ,Philip Bester, 2504191   size:580.18,Price: ,1.08,Luis Eduardo Morfin Fri, 9630018   size:80.04,Price: ,11.0
