1.121740808, Sport: ,Tennis, Time: ,Wed Nov 11 09:30:00 CET 2015, Time: ,Wed Nov 11 09:30:00 CET 2015, Event: ,Cvackova v Lumsden, Favorite: ,Natalie Cvackova, 9635402   size:8.4,Price: ,1.04,Maia Lumsden, 9628654   size:8.4,Price: ,1.04,x
1.121729060, Sport: ,Darts, Time: ,Tue Nov 10 23:00:00 CET 2015, Time: ,Tue Nov 10 23:00:00 CET 2015, Event: ,Steve Beaton v Martin Adams, Favorite: ,Martin Adams, 2650132   size:7.19,Price: ,1.56,Steve Beaton, 2469729   size:2.55,Price: ,2.62,ok
1.121695992, Sport: ,Ice Hockey, Time: ,Wed Nov 11 01:30:00 CET 2015, Time: ,Wed Nov 11 01:30:00 CET 2015, Event: ,Calgary @ Florida, Favorite: ,Florida, 2112317   size:519.43,Price: ,2.28,Calgary, 975675   size:111.93,Price: ,2.94,Tie, 60104   size:92.62,Price: ,4.1,ok
1.121696014, Sport: ,Ice Hockey, Time: ,Wed Nov 11 04:30:00 CET 2015, Time: ,Wed Nov 11 04:30:00 CET 2015, Event: ,Arizona @ Los Angeles, Favorite: ,Los Angeles, 2112286   size:518.12,Price: ,1.71,Arizona, 8867880   size:100.45,Price: ,4.4,Tie, 60104   size:309.0,Price: ,4.4,x
1.121740811, Sport: ,Tennis, Time: ,Wed Nov 11 08:30:00 CET 2015, Time: ,Wed Nov 11 08:30:00 CET 2015, Event: ,Zagorac v Gadient, Favorite: ,Eva Zagorac, 9628709   size:8.4,Price: ,1.04,Nicole Gadient, 9952712   size:8.4,Price: ,1.04,ok
1.121755184, Sport: ,Tennis, Time: ,Wed Nov 11 08:00:00 CET 2015, Time: ,Wed Nov 11 08:00:00 CET 2015, Event: ,Mertens v Vankova, Favorite: ,Elise Mertens, 9002334   size:74.83,Price: ,1.28,Katerina Vankova, 7795596   size:2.55,Price: ,3.8,ok
1.121696019, Sport: ,Ice Hockey, Time: ,Wed Nov 11 04:30:00 CET 2015, Time: ,Wed Nov 11 04:30:00 CET 2015, Event: ,NY Islanders @ San Jose, Favorite: ,San Jose, 2110001   size:526.0,Price: ,2.26,NY Islanders, 60105   size:314.0,Price: ,2.86,Tie, 60104   size:289.7,Price: ,4.0,x
1.121755181, Sport: ,Tennis, Time: ,Wed Nov 11 08:00:00 CET 2015, Time: ,Wed Nov 11 08:00:00 CET 2015, Event: ,Kucova v Pous-Tio, Favorite: ,Kristina Kucova, 3990441   size:2.55,Price: ,1.44,Laura Pous-Tio, 8443238   size:2.55,Price: ,2.92,ok
1.121747528, Sport: ,Tennis, Time: ,Wed Nov 11 04:45:00 CET 2015, Time: ,Wed Nov 11 04:45:00 CET 2015, Event: ,Millman v Du Lee, Favorite: ,John Millman, 4415206   size:87.93,Price: ,1.12,Duckhee Lee, 8505197   size:2.85,Price: ,6.4,ok
1.121755182, Sport: ,Tennis, Time: ,Wed Nov 11 08:00:00 CET 2015, Time: ,Wed Nov 11 08:00:00 CET 2015, Event: ,Raina v Soylu, Favorite: ,Ipek Soylu, 8397938   size:467.03,Price: ,1.13,Ankita Raina, 7921012   size:15.87,Price: ,6.0,ok
