1.121887837, Sport: ,Soccer, Time: ,Sat Nov 28 16:00:00 CET 2015, Time: ,Sat Nov 28 16:00:00 CET 2015, Event: ,Chorley v Skelmersdale Utd, Favorite: ,Chorley, 4231709   size:2.82,Price: ,1.58,Skelmersdale Utd, 3491517   size:7.54,Price: ,5.2,The Draw, 58805   size:2.55,Price: ,4.4,x
1.121896011, Sport: ,Soccer, Time: ,Sat Nov 28 18:30:00 CET 2015, Time: ,Sat Nov 28 18:30:00 CET 2015, Event: ,Heerenveen v Roda JC, Favorite: ,Heerenveen, 3630179   size:74.56,Price: ,1.67,Roda JC, 50331   size:32.94,Price: ,5.8,The Draw, 58805   size:187.97,Price: ,4.3,ok
1.121887835, Sport: ,Soccer, Time: ,Sat Nov 28 16:00:00 CET 2015, Time: ,Sat Nov 28 16:00:00 CET 2015, Event: ,Brackley Town v Worcester, Favorite: ,Worcester, 1034121   size:28.43,Price: ,1.1,Brackley Town, 2145773   size:2.82,Price: ,2.46,The Draw, 58805   size:8.54,Price: ,3.7,ok
1.121970146, Sport: ,American Football, Time: ,Sat Nov 28 21:30:00 CET 2015, Time: ,Sat Nov 28 21:30:00 CET 2015, Event: ,Penn State @ Michigan State, Favorite: ,Michigan State, 662019   size:5.57,Price: ,1.34,Penn State, 1303222   size:5.0,Price: ,3.75,ok
1.122017348, Sport: ,Volleyball, Time: ,Sat Nov 28 18:00:00 CET 2015, Time: ,Sat Nov 28 18:00:00 CET 2015, Event: ,A.d. Caceres VB v CV Mediterraneo de Cast, Favorite: ,A.D. Caceres Vb, 10256874   size:655.5,Price: ,1.04,CV Mediterraneo de Cast, 10256895   size:655.5,Price: ,1.04,ok
1.121970143, Sport: ,American Football, Time: ,Sat Nov 28 21:30:00 CET 2015, Time: ,Sat Nov 28 21:30:00 CET 2015, Event: ,Alabama @ Auburn, Favorite: ,Alabama, 1010531   size:5.0,Price: ,1.16,Auburn, 484732   size:9.97,Price: ,6.0,ok
1.121888404, Sport: ,Soccer, Time: ,Sat Nov 28 17:00:00 CET 2015, Time: ,Sat Nov 28 17:00:00 CET 2015, Event: ,Hapoel Raanana v Hapoel Haifa, Favorite: ,Hapoel Raanana, 5281185   size:8.65,Price: ,2.08,Hapoel Haifa, 5266551   size:14.99,Price: ,3.85,The Draw, 58805   size:20.0,Price: ,3.1,x
1.121971982, Sport: ,Soccer, Time: ,Sat Nov 28 16:00:00 CET 2015, Time: ,Sat Nov 28 16:00:00 CET 2015, Event: ,Smouha v Al Masry, Favorite: ,Smouha, 5170871   size:20.71,Price: ,2.52,Al Masry, 5174044   size:13.19,Price: ,3.2,The Draw, 58805   size:21.04,Price: ,3.1,x
1.122025477, Sport: ,Basketball, Time: ,Sun Nov 29 08:00:00 CET 2015, Time: ,Sun Nov 29 08:00:00 CET 2015, Event: ,Ulsan Mobis Phoebus v Goyang Orions, Favorite: ,Ulsan Mobis Phoebus, 8998222   size:656.25,Price: ,1.04,Goyang Orions, 5889518   size:656.25,Price: ,1.04,ok
1.121888481, Sport: ,Soccer, Time: ,Sat Nov 28 17:00:00 CET 2015, Time: ,Sat Nov 28 17:00:00 CET 2015, Event: ,Hapoel Kiryat Shmona v Bnei Sakhnin, Favorite: ,Hapoel Kiryat Shmona, 5538497   size:9.09,Price: ,1.98,Bnei Sakhnin, 3157354   size:15.06,Price: ,4.5,The Draw, 58805   size:8.44,Price: ,3.5,x
