1.122195466, Sport: ,Soccer, Time: ,Wed Dec 09 18:30:00 CET 2015, Time: ,Wed Dec 09 18:30:00 CET 2015, Event: ,Flamengo U20 v Chapecoense AF U20, Favorite: ,Flamengo U20, 6006854   size:2.55,Price: ,1.7,Chapecoense AF U20, 8861168   size:5.96,Price: ,2.04,The Draw, 58805   size:414.61,Price: ,3.25,ok
1.122126667, Sport: ,Handball, Time: ,Wed Dec 09 20:30:00 CET 2015, Time: ,Wed Dec 09 20:30:00 CET 2015, Event: ,Teucro v Morrazo, Favorite: ,Teucro, 3220971   size:7.93,Price: ,1.11,Morrazo, 7602610   size:4.81,Price: ,1.66,Draw, 330157   size:19.71,Price: ,8.2,x
1.122167217, Sport: ,Ice Hockey, Time: ,Wed Dec 09 19:00:00 CET 2015, Time: ,Wed Dec 09 19:00:00 CET 2015, Event: ,Vasteras v AIK, Favorite: ,Vasteras, 316429   size:2.45,Price: ,2.04,AIK, 2075196   size:7.01,Price: ,3.0,Tie, 60104   size:7.21,Price: ,3.95,x
1.122135648, Sport: ,Soccer, Time: ,Wed Dec 09 21:30:00 CET 2015, Time: ,Wed Dec 09 21:30:00 CET 2015, Event: ,Real Garcilaso v Melgar, Favorite: ,Real Garcilaso, 6204632   size:55.01,Price: ,1.84,Melgar, 5839079   size:5.0,Price: ,4.9,The Draw, 58805   size:5.0,Price: ,3.85,x
1.122164616, Sport: ,Basketball, Time: ,Wed Dec 09 12:35:00 CET 2015, Time: ,Wed Dec 09 12:35:00 CET 2015, Event: ,Shenzhen New Century Le v Shanghai, Favorite: ,Dongguan, 10466369   size:2.75,Price: ,1.03,Shanghai, 8926900   size:5.96,Price: ,1.44,ok
1.122183489, Sport: ,Basketball, Time: ,Wed Dec 09 18:45:00 CET 2015, Time: ,Wed Dec 09 18:45:00 CET 2015, Event: ,Steaua Bucharest v Aris, Favorite: ,Aris, 281552   size:1178.08,Price: ,1.04,Steaua Bucharest, 10405445   size:378.45,Price: ,1.06,ok
1.122109419, Sport: ,Soccer, Time: ,Wed Dec 09 16:00:00 CET 2015, Time: ,Wed Dec 09 16:00:00 CET 2015, Event: ,Olhanense v Covilha, Favorite: ,Olhanense, 2524227   size:10.04,Price: ,2.8,Covilha, 336269   size:5.0,Price: ,3.0,The Draw, 58805   size:8.62,Price: ,3.15,ok
1.122112142, Sport: ,Ice Hockey, Time: ,Wed Dec 09 17:30:00 CET 2015, Time: ,Wed Dec 09 17:30:00 CET 2015, Event: ,Vityaz v Lada, Favorite: ,Vityaz, 2551763   size:56.99,Price: ,2.26,Lada, 2484346   size:56.99,Price: ,2.86,Tie, 60104   size:56.99,Price: ,4.0,x
1.122191077, Sport: ,Volleyball, Time: ,Wed Dec 09 15:30:00 CET 2015, Time: ,Wed Dec 09 15:30:00 CET 2015, Event: ,Aris Marmouris v Olympiakos, Favorite: ,Aris Marmouris, 2971576   size:2.75,Price: ,1.03,Olympiakos, 1107070   size:2.75,Price: ,1.03,x
1.122196404, Sport: ,Soccer, Time: ,Wed Dec 09 18:00:00 CET 2015, Time: ,Wed Dec 09 18:00:00 CET 2015, Event: ,Floriana v St. Lawrence Spurs FC, Favorite: ,Floriana, 5667822   size:3.66,Price: ,1.13,St. Lawrence Spurs FC, 10606215   size:3.66,Price: ,1.13,The Draw, 58805   size:15.13,Price: ,3.1,ok
