1.121996861, Sport: ,Basketball, Time: ,Fri Dec 04 03:00:00 CET 2015, Time: ,Fri Dec 04 03:00:00 CET 2015, Event: ,Kentucky @ UCLA, Favorite: ,Kentucky, 332189   size:3.0,Price: ,1.04,UCLA, 697690   size:6.14,Price: ,2.14,x
1.122102980, Sport: ,Volleyball, Time: ,Thu Dec 03 19:30:00 CET 2015, Time: ,Thu Dec 03 19:30:00 CET 2015, Event: ,Dragons Lugano v Tomis Constanta, Favorite: ,DRAGONS LUGANO, 10444789   size:1205.46,Price: ,1.06,Tomis Constanta, 2789373   size:8.51,Price: ,2.8,ok
1.122108697, Sport: ,Hockey, Time: ,Thu Dec 03 16:15:00 CET 2015, Time: ,Thu Dec 03 16:15:00 CET 2015, Event: ,Argentina v Belgium, Favorite: ,Argentina, 261989   size:6.14,Price: ,2.22,Belgium, 518305   size:6.14,Price: ,2.22,Draw, 318509   size:6.14,Price: ,3.55,x
1.122100165, Sport: ,Basketball, Time: ,Thu Dec 03 17:00:00 CET 2015, Time: ,Thu Dec 03 17:00:00 CET 2015, Event: ,Dynamo Moscow (W) v Udominate (W), Favorite: ,Dynamo Moscow (W), 10462208   size:2.82,Price: ,1.03,Udominate (W), 8978731   size:2.82,Price: ,1.03,ok
1.122079204, Sport: ,Basketball, Time: ,Thu Dec 03 12:00:00 CET 2015, Time: ,Thu Dec 03 12:00:00 CET 2015, Event: ,Meralco Bolts v Alaska Aces, Favorite: ,Alaska Aces, 3803222   size:4.24,Price: ,1.28,Meralco Bolts, 5023541   size:52.94,Price: ,4.1,ok
1.122096865, Sport: ,Basketball, Time: ,Fri Dec 04 03:30:00 CET 2015, Time: ,Fri Dec 04 03:30:00 CET 2015, Event: ,San Antonio @ Memphis, Favorite: ,San Antonio, 13121   size:2.17,Price: ,1.67,Memphis, 119812   size:2.7,Price: ,2.42,ok
1.122060733, Sport: ,Ice Hockey, Time: ,Fri Dec 04 01:35:00 CET 2015, Time: ,Fri Dec 04 01:35:00 CET 2015, Event: ,Washington @ Montreal, Favorite: ,Montreal, 2112345   size:2.78,Price: ,2.38,Washington, 2109756   size:2.61,Price: ,2.54,Tie, 60104   size:9.76,Price: ,3.8,x
1.122076174, Sport: ,Basketball, Time: ,Thu Dec 03 21:00:00 CET 2015, Time: ,Thu Dec 03 21:00:00 CET 2015, Event: ,Olympiacos v Armani Milano, Favorite: ,Olympiacos, 278582   size:1419.1,Price: ,1.17,Armani Milano, 952727   size:2.55,Price: ,5.6,ok
1.122115301, Sport: ,Soccer, Time: ,Fri Dec 04 10:00:00 CET 2015, Time: ,Fri Dec 04 10:00:00 CET 2015, Event: ,Lod Rakevet Tvaz O U19 v Hapoel Ashkelon U19, Favorite: ,Lod Rakevet Tvaz O U19, 10587679   size:3.78,Price: ,1.11,Hapoel Ashkelon U19, 10587681   size:3.78,Price: ,1.11,The Draw, 58805   size:14.11,Price: ,3.1,x
1.122092407, Sport: ,Tennis, Time: ,Thu Dec 03 14:30:00 CET 2015, Time: ,Thu Dec 03 14:30:00 CET 2015, Event: ,Sebastien Grosjean v Fernando Gonzalez, Favorite: ,Fernando Gonzalez, 2260618   size:8.08,Price: ,1.05,Sebastien Grosjean, 2256479   size:14.11,Price: ,1.8,ok
1.121989821, Sport: ,Ice Hockey, Time: ,Thu Dec 03 19:00:00 CET 2015, Time: ,Thu Dec 03 19:00:00 CET 2015, Event: ,Djurgardens v Brynas, Favorite: ,Djurgardens, 988206   size:52.0,Price: ,2.18,Brynas, 60812   size:101.0,Price: ,2.82,Tie, 60104   size:92.99,Price: ,4.3,ok
1.122092889, Sport: ,Basketball, Time: ,Fri Dec 04 01:00:00 CET 2015, Time: ,Fri Dec 04 01:00:00 CET 2015, Event: ,Sionista v La Union, Favorite: ,Sionista, 6719083   size:2.82,Price: ,1.03,La Union, 6343998   size:2.82,Price: ,1.03,x
1.122118240, Sport: ,Tennis, Time: ,Thu Dec 03 13:05:00 CET 2015, Time: ,Thu Dec 03 13:05:00 CET 2015, Event: ,Salaba, Libor v Nejedly, Pavel, Favorite: ,Libor Salaba, 8750028   size:11.12,Price: ,1.33,Pavel Nejedly, 8490609   size:2.03,Price: ,3.25,ok
1.122101668, Sport: ,Soccer, Time: ,Thu Dec 03 13:30:00 CET 2015, Time: ,Thu Dec 03 13:30:00 CET 2015, Event: ,Sahab SC v Al Arabi (Jor), Favorite: ,Sahab SC, 6772868   size:5.66,Price: ,1.5,Al Arabi (Jor), 5330583   size:4.1,Price: ,5.6,The Draw, 58805   size:45.03,Price: ,3.35,ok
1.121989826, Sport: ,Ice Hockey, Time: ,Thu Dec 03 19:00:00 CET 2015, Time: ,Thu Dec 03 19:00:00 CET 2015, Event: ,Rogle v HV71, Favorite: ,HV71, 1357305   size:70.0,Price: ,2.14,Rogle, 247122   size:60.69,Price: ,3.1,Tie, 60104   size:68.0,Price: ,4.2,x
1.122099718, Sport: ,Basketball, Time: ,Thu Dec 03 17:00:00 CET 2015, Time: ,Thu Dec 03 17:00:00 CET 2015, Event: ,Kayseri (W) v Ekaterinburg (W), Favorite: ,Ekaterinburg (W), 6068594   size:6.14,Price: ,1.14,Kayseri (W), 10411630   size:5.0,Price: ,6.4,x
1.122096845, Sport: ,Basketball, Time: ,Fri Dec 04 01:00:00 CET 2015, Time: ,Fri Dec 04 01:00:00 CET 2015, Event: ,Oklahoma City @ Miami, Favorite: ,Oklahoma City, 3363394   size:37.56,Price: ,1.77,Miami, 13109   size:31.26,Price: ,2.14,x
1.122102993, Sport: ,Volleyball, Time: ,Thu Dec 03 17:30:00 CET 2015, Time: ,Thu Dec 03 17:30:00 CET 2015, Event: ,Valepa v Foinikas Syroy, Favorite: ,VaLePa, 9113676   size:2.55,Price: ,1.37,Foinikas Syroy, 4353342   size:6.14,Price: ,3.45,ok
1.122102996, Sport: ,Volleyball, Time: ,Thu Dec 03 11:00:00 CET 2015, Time: ,Thu Dec 03 11:00:00 CET 2015, Event: ,Seoul Woori Card Hansae v Deajeon Bluefangs, Favorite: ,Seoul Woori Card Hansae, 10391680   size:2.82,Price: ,1.03,Deajeon Bluefangs, 10389009   size:2.82,Price: ,1.03,x
1.122102995, Sport: ,Volleyball, Time: ,Thu Dec 03 20:30:00 CET 2015, Time: ,Thu Dec 03 20:30:00 CET 2015, Event: ,Casalmaggiore v VB Sudtirol Bolzano, Favorite: ,Casalmaggiore, 7906928   size:2.82,Price: ,1.03,VB Sudtirol Bolzano, 10381560   size:6.14,Price: ,2.02,ok
1.121990532, Sport: ,Soccer, Time: ,Thu Dec 03 16:15:00 CET 2015, Time: ,Thu Dec 03 16:15:00 CET 2015, Event: ,Chania v PAOK, Favorite: ,PAOK, 232095   size:30.34,Price: ,1.39,Chania, 7687771   size:4.73,Price: ,9.8,The Draw, 58805   size:4.01,Price: ,5.3,ok
1.122100176, Sport: ,Basketball, Time: ,Thu Dec 03 13:00:00 CET 2015, Time: ,Thu Dec 03 13:00:00 CET 2015, Event: ,Enisey (W) v Edirnespor Women, Favorite: ,Enisey (W), 10466211   size:2.82,Price: ,1.03,Edirnespor Women, 9022117   size:2.82,Price: ,1.03,ok
1.121999615, Sport: ,Ice Hockey, Time: ,Thu Dec 03 18:30:00 CET 2015, Time: ,Thu Dec 03 18:30:00 CET 2015, Event: ,Kongsvinger v Manglerud, Favorite: ,Manglerud, 61084   size:3.23,Price: ,1.55,Kongsvinger, 3725729   size:17.35,Price: ,3.65,Tie, 60104   size:51.85,Price: ,5.9,x
1.122096855, Sport: ,Basketball, Time: ,Fri Dec 04 03:00:00 CET 2015, Time: ,Fri Dec 04 03:00:00 CET 2015, Event: ,Orlando @ Utah, Favorite: ,Utah, 13119   size:2.42,Price: ,1.62,Orlando, 13104   size:3.3,Price: ,2.52,x
1.122092891, Sport: ,Basketball, Time: ,Fri Dec 04 02:00:00 CET 2015, Time: ,Fri Dec 04 02:00:00 CET 2015, Event: ,Instituto Atletico Cent v Quilmes, Favorite: ,Quilmes, 7753472   size:2.82,Price: ,1.03,Instituto Atletico Cent, 10346458   size:970.47,Price: ,1.04,ok
1.122092890, Sport: ,Basketball, Time: ,Fri Dec 04 02:00:00 CET 2015, Time: ,Fri Dec 04 02:00:00 CET 2015, Event: ,Libertad v Lanus, Favorite: ,Libertad, 6719116   size:2.82,Price: ,1.03,Lanus, 6719117   size:2.82,Price: ,1.03,x
1.122076182, Sport: ,Basketball, Time: ,Thu Dec 03 20:45:00 CET 2015, Time: ,Thu Dec 03 20:45:00 CET 2015, Event: ,Real Madrid v Fenerbahce, Favorite: ,Real Madrid, 266274   size:9.37,Price: ,1.39,Fenerbahce, 631290   size:29.32,Price: ,2.58,ok
1.122123427, Sport: ,Tennis, Time: ,Thu Dec 03 12:20:00 CET 2015, Time: ,Thu Dec 03 12:20:00 CET 2015, Event: ,2. Sharapova v A Ivanovic, Favorite: ,Ana Ivanovic, 2249841   size:187.25,Price: ,1.07,Maria Sharapova, 2261745   size:2484.29,Price: ,1.2,ok
1.122056582, Sport: ,Cricket, Time: ,Thu Dec 03 13:30:00 CET 2015, Time: ,Thu Dec 03 13:30:00 CET 2015, Event: ,Comilla v Chittagong, Favorite: ,Chittagong, 6119242   size:5.0,Price: ,1.79,Comilla, 10485382   size:83.24,Price: ,2.2,x
1.121990429, Sport: ,Ice Hockey, Time: ,Thu Dec 03 14:00:00 CET 2015, Time: ,Thu Dec 03 14:00:00 CET 2015, Event: ,Avangard v Medvescak Zagreb, Favorite: ,Avangard, 2558172   size:210.0,Price: ,1.7,Medvescak Zagreb, 4182882   size:5.36,Price: ,4.8,Tie, 60104   size:58.0,Price: ,4.5,ok
1.121989836, Sport: ,Ice Hockey, Time: ,Thu Dec 03 19:00:00 CET 2015, Time: ,Thu Dec 03 19:00:00 CET 2015, Event: ,Frolunda v Skelleftea, Favorite: ,Frolunda, 60808   size:75.91,Price: ,2.14,Skelleftea, 247106   size:4.83,Price: ,3.0,Tie, 60104   size:105.0,Price: ,4.3,ok
1.122115083, Sport: ,Soccer, Time: ,Fri Dec 04 10:00:00 CET 2015, Time: ,Fri Dec 04 10:00:00 CET 2015, Event: ,Kecskemeti TE - KLA U19 v MTK Budapest U19, Favorite: ,MTK Budapest U19, 6302534   size:3.78,Price: ,1.11,Kecskemeti TE - KLA U19, 10228646   size:6.14,Price: ,1.37,The Draw, 58805   size:18.35,Price: ,3.15,x
1.122102604, Sport: ,Soccer, Time: ,Thu Dec 03 11:00:00 CET 2015, Time: ,Thu Dec 03 11:00:00 CET 2015, Event: ,CD Iruna v CD Cantolagua, Favorite: ,CD Cantolagua, 10356679   size:157.49,Price: ,2.06,CD Iruna, 7313484   size:181.78,Price: ,4.6,The Draw, 58805   size:251.9,Price: ,3.05,x
1.122101998, Sport: ,Soccer, Time: ,Fri Dec 04 10:00:00 CET 2015, Time: ,Fri Dec 04 10:00:00 CET 2015, Event: ,Rostov (Y) v Rubin Kazan (Y), Favorite: ,Rubin Kazan (Y), 5400702   size:3.76,Price: ,2.34,Rostov (Y), 9048042   size:3.64,Price: ,2.56,The Draw, 58805   size:3.4,Price: ,3.3,x
1.122123429, Sport: ,Tennis, Time: ,Thu Dec 03 12:55:00 CET 2015, Time: ,Thu Dec 03 12:55:00 CET 2015, Event: ,3. Safin v Ivanisevic, Favorite: ,Marat Safin, 2256510   size:14.11,Price: ,1.03,Goran Ivanisevic, 2222464   size:14.11,Price: ,1.03,x
