1.122349783, Sport: ,Cricket, Time: ,Mon Dec 21 05:30:00 CET 2015, Time: ,Mon Dec 21 05:30:00 CET 2015, Event: ,Sri Lanka U19 v India U19, Favorite: ,India U19, 737325   size:935.89,Price: ,1.44,Sri Lanka U19, 1210408   size:6.84,Price: ,3.05,ok
1.122352826, Sport: ,Basketball, Time: ,Tue Dec 22 01:35:00 CET 2015, Time: ,Tue Dec 22 01:35:00 CET 2015, Event: ,Minnesota @ Boston, Favorite: ,Minnesota, 13118   size:5.67,Price: ,1.04,Boston, 13108   size:3.24,Price: ,1.29,x
1.122254400, Sport: ,Soccer, Time: ,Mon Dec 21 18:00:00 CET 2015, Time: ,Mon Dec 21 18:00:00 CET 2015, Event: ,Podbeskidzie B-B v Slask Wroclaw, Favorite: ,Slask Wroclaw, 3143307   size:12.33,Price: ,2.68,Podbeskidzie B-B, 4135278   size:14.65,Price: ,3.0,The Draw, 58805   size:9.8,Price: ,3.35,ok
1.122351988, Sport: ,Soccer, Time: ,Mon Dec 21 14:00:00 CET 2015, Time: ,Mon Dec 21 14:00:00 CET 2015, Event: ,Kallithea v Olympiakos Volou, Favorite: ,Kallithea, 264411   size:2.55,Price: ,2.44,Olympiakos Volou, 2126375   size:9.06,Price: ,2.9,The Draw, 58805   size:4.86,Price: ,3.0,ok
1.122352435, Sport: ,Soccer, Time: ,Mon Dec 21 11:00:00 CET 2015, Time: ,Mon Dec 21 11:00:00 CET 2015, Event: ,Quang Nam v Song Lam Nghe An, Favorite: ,Quang Nam, 9107099   size:3.7,Price: ,1.2,Song Lam Nghe An, 5519049   size:3.7,Price: ,1.2,The Draw, 58805   size:5.0,Price: ,3.6,x
1.122352156, Sport: ,Soccer, Time: ,Mon Dec 21 19:30:00 CET 2015, Time: ,Mon Dec 21 19:30:00 CET 2015, Event: ,KV Mechelen (Y) v Gent (Y), Favorite: ,KV Mechelen (Y), 7167645   size:3.68,Price: ,1.17,Gent (Y), 7152306   size:3.68,Price: ,1.17,The Draw, 58805   size:4.52,Price: ,3.2,ok
1.122355144, Sport: ,Tennis, Time: ,Mon Dec 21 05:30:00 CET 2015, Time: ,Mon Dec 21 05:30:00 CET 2015, Event: ,Nudnida Luangnam v Katarina Zavatska, Favorite: ,Nudnida Luangnam, 2301147   size:5.29,Price: ,1.58,Katarina Zavatska, 9635149   size:14.44,Price: ,2.44,x
1.122355151, Sport: ,Tennis, Time: ,Mon Dec 21 04:00:00 CET 2015, Time: ,Mon Dec 21 04:00:00 CET 2015, Event: ,Hanyu Guo v Aiko Yoshitomi, Favorite: ,Hanyu Guo, 9657551   size:10.14,Price: ,1.05,Aiko Yoshitomi, 9626986   size:2.74,Price: ,1.62,x
1.122254177, Sport: ,Soccer, Time: ,Mon Dec 21 17:00:00 CET 2015, Time: ,Mon Dec 21 17:00:00 CET 2015, Event: ,FC Voluntari v Viitorul Constanta, Favorite: ,Viitorul Constanta, 5431165   size:113.35,Price: ,2.54,FC Voluntari, 8838645   size:10.07,Price: ,2.98,The Draw, 58805   size:85.29,Price: ,3.4,ok
1.122352839, Sport: ,Basketball, Time: ,Tue Dec 22 01:35:00 CET 2015, Time: ,Tue Dec 22 01:35:00 CET 2015, Event: ,Orlando @ New York, Favorite: ,New York, 13106   size:2.99,Price: ,1.04,Orlando, 13104   size:3.29,Price: ,1.96,x
1.122351876, Sport: ,Soccer, Time: ,Mon Dec 21 19:00:00 CET 2015, Time: ,Mon Dec 21 19:00:00 CET 2015, Event: ,Hamilton U20 v St Johnstone U20, Favorite: ,Hamilton U20, 6645665   size:4.31,Price: ,1.55,St Johnstone U20, 7032151   size:22.55,Price: ,4.3,The Draw, 58805   size:26.05,Price: ,3.85,ok
1.122303953, Sport: ,Ice Hockey, Time: ,Tue Dec 22 01:05:00 CET 2015, Time: ,Tue Dec 22 01:05:00 CET 2015, Event: ,Washington @ Carolina, Favorite: ,Washington, 2109756   size:13.8,Price: ,1.04,Carolina, 2108027   size:13.8,Price: ,1.04,Tie, 60104   size:13.8,Price: ,1.04,ok
1.122352324, Sport: ,Soccer, Time: ,Mon Dec 21 19:00:00 CET 2015, Time: ,Mon Dec 21 19:00:00 CET 2015, Event: ,Partick U20 v Celtic U20, Favorite: ,Celtic U20, 6651714   size:6.54,Price: ,1.23,Partick U20, 9001451   size:2.67,Price: ,8.2,The Draw, 58805   size:3.86,Price: ,5.4,ok
1.122352044, Sport: ,Soccer, Time: ,Mon Dec 21 19:00:00 CET 2015, Time: ,Mon Dec 21 19:00:00 CET 2015, Event: ,Kilmarnock U20 v Hearts U20, Favorite: ,Kilmarnock U20, 6581076   size:3.86,Price: ,2.08,Hearts U20, 8981683   size:3.34,Price: ,2.76,The Draw, 58805   size:2.7,Price: ,3.4,x
1.122303958, Sport: ,Ice Hockey, Time: ,Tue Dec 22 02:05:00 CET 2015, Time: ,Tue Dec 22 02:05:00 CET 2015, Event: ,Montreal @ Nashville, Favorite: ,Nashville, 2109832   size:2.43,Price: ,2.06,Montreal, 2112345   size:17.98,Price: ,2.86,Tie, 60104   size:4.04,Price: ,3.6,ok
1.122188470, Sport: ,Soccer, Time: ,Mon Dec 21 21:00:00 CET 2015, Time: ,Mon Dec 21 21:00:00 CET 2015, Event: ,Arsenal v Man City, Favorite: ,Arsenal, 1096   size:6265.5,Price: ,2.46,Man City, 47999   size:13201.97,Price: ,3.15,The Draw, 58805   size:54145.92,Price: ,3.55,ok
1.122092946, Sport: ,Darts, Time: ,Mon Dec 21 22:00:00 CET 2015, Time: ,Mon Dec 21 22:00:00 CET 2015, Event: ,Michael Smith v Jeffrey De Zwaan, Favorite: ,Michael Smith, 3066962   size:14.03,Price: ,1.24,Jeffrey de Zwaan, 9234776   size:43.71,Price: ,4.8,ok
1.122309425, Sport: ,Handball, Time: ,Mon Dec 21 19:00:00 CET 2015, Time: ,Mon Dec 21 19:00:00 CET 2015, Event: ,Team Tvis Holstebro v SonderjyskE, Favorite: ,Team Tvis Holstebro, 359681   size:444.0,Price: ,1.06,SonderjyskE, 4155763   size:2.99,Price: ,1.9,Draw, 330157   size:2.99,Price: ,1.68,ok
1.122309423, Sport: ,Handball, Time: ,Mon Dec 21 19:00:00 CET 2015, Time: ,Mon Dec 21 19:00:00 CET 2015, Event: ,Nordsjaelland v Arhus, Favorite: ,Draw, 330157   size:2.99,Price: ,1.04,Nordsjaelland, 4155752   size:148.0,Price: ,1.06,Arhus, 3919678   size:444.0,Price: ,1.06,x
1.122348754, Sport: ,Basketball, Time: ,Mon Dec 21 17:00:00 CET 2015, Time: ,Mon Dec 21 17:00:00 CET 2015, Event: ,AEN Kifisia v Olympiacos, Favorite: ,Olympiacos, 278582   size:208.0,Price: ,1.03,AEN Kifisia, 10389447   size:2.55,Price: ,2.12,ok
1.122352730, Sport: ,Basketball, Time: ,Mon Dec 21 20:35:00 CET 2015, Time: ,Mon Dec 21 20:35:00 CET 2015, Event: ,Slask Wroclaw v Asseco Gdynia, Favorite: ,Asseco Gdynia, 7817588   size:3.77,Price: ,1.17,Slask Wroclaw, 272970   size:6.45,Price: ,6.2,ok
1.122351765, Sport: ,Soccer, Time: ,Mon Dec 21 20:30:00 CET 2015, Time: ,Mon Dec 21 20:30:00 CET 2015, Event: ,Gibraltar United FC v Lincoln Red Imps, Favorite: ,Lincoln Red Imps, 8649329   size:11.04,Price: ,1.06,Gibraltar United FC, 10419065   size:9.0,Price: ,38.0,The Draw, 58805   size:4.11,Price: ,3.05,ok
1.122352212, Sport: ,Soccer, Time: ,Mon Dec 21 19:30:00 CET 2015, Time: ,Mon Dec 21 19:30:00 CET 2015, Event: ,KV Oostende (youth) v Standard Liege (Y), Favorite: ,KV Oostende (youth), 8220572   size:3.68,Price: ,1.17,Standard Liege (Y), 7159118   size:3.68,Price: ,1.17,The Draw, 58805   size:4.52,Price: ,3.2,x
1.122309427, Sport: ,Handball, Time: ,Mon Dec 21 19:30:00 CET 2015, Time: ,Mon Dec 21 19:30:00 CET 2015, Event: ,Ribe Esbjerg v Aalborg, Favorite: ,Aalborg, 1065783   size:444.0,Price: ,1.06,Ribe Esbjerg, 6602892   size:2.64,Price: ,1.74,Draw, 330157   size:8.68,Price: ,1.73,x
1.122316593, Sport: ,Handball, Time: ,Mon Dec 21 19:16:00 CET 2015, Time: ,Mon Dec 21 19:16:00 CET 2015, Event: ,Redbergslids v Drott, Favorite: ,Redbergslids, 3771721   size:2.99,Price: ,1.04,Drott, 330162   size:2.99,Price: ,1.68,Draw, 330157   size:2.99,Price: ,1.68,ok
1.122303969, Sport: ,Ice Hockey, Time: ,Tue Dec 22 03:05:00 CET 2015, Time: ,Tue Dec 22 03:05:00 CET 2015, Event: ,Winnipeg @ Edmonton, Favorite: ,Edmonton, 2109967   size:5.42,Price: ,2.36,Winnipeg, 5866888   size:5.39,Price: ,2.38,Tie, 60104   size:4.41,Price: ,3.75,ok
1.122255007, Sport: ,Soccer, Time: ,Mon Dec 21 22:00:00 CET 2015, Time: ,Mon Dec 21 22:00:00 CET 2015, Event: ,Braga v Pacos Ferreira, Favorite: ,Braga, 48799   size:1720.39,Price: ,1.65,Pacos Ferreira, 48787   size:99.68,Price: ,7.2,The Draw, 58805   size:152.07,Price: ,3.85,x
1.122297121, Sport: ,Basketball, Time: ,Tue Dec 22 01:00:00 CET 2015, Time: ,Tue Dec 22 01:00:00 CET 2015, Event: ,Eastern Kentucky @ West Virginia, Favorite: ,Eastern Kentucky, 716978   size:2.99,Price: ,1.04,West Virginia, 715470   size:2.99,Price: ,1.04,x
1.122254031, Sport: ,Soccer, Time: ,Mon Dec 21 20:45:00 CET 2015, Time: ,Mon Dec 21 20:45:00 CET 2015, Event: ,Redditch Utd v Kettering, Favorite: ,Redditch Utd, 1034115   size:11.14,Price: ,1.98,Kettering, 18556   size:7.55,Price: ,2.96,The Draw, 58805   size:2.55,Price: ,3.7,x
1.122297127, Sport: ,Basketball, Time: ,Tue Dec 22 01:00:00 CET 2015, Time: ,Tue Dec 22 01:00:00 CET 2015, Event: ,Appalachain State @ North Carolina, Favorite: ,North Carolina, 332652   size:7.6,Price: ,1.01,Appalachain State, 10633178   size:2.99,Price: ,1.04,ok
1.122249081, Sport: ,Soccer, Time: ,Mon Dec 21 16:00:00 CET 2015, Time: ,Mon Dec 21 16:00:00 CET 2015, Event: ,Smouha v Wadi Degla, Favorite: ,Smouha, 5170871   size:2.55,Price: ,1.99,Wadi degla, 5259318   size:3.17,Price: ,3.55,The Draw, 58805   size:3.49,Price: ,3.1,ok
1.122328274, Sport: ,Soccer, Time: ,Mon Dec 21 20:45:00 CET 2015, Time: ,Mon Dec 21 20:45:00 CET 2015, Event: ,Bradford PA v Lincoln, Favorite: ,Lincoln, 148737   size:29.6,Price: ,2.08,Bradford PA, 598919   size:11.11,Price: ,3.7,The Draw, 58805   size:12.07,Price: ,3.65,x
1.122351931, Sport: ,Soccer, Time: ,Mon Dec 21 20:30:00 CET 2015, Time: ,Mon Dec 21 20:30:00 CET 2015, Event: ,Hibernian U20 v Falkirk U20, Favorite: ,Hibernian U20, 6645664   size:3.92,Price: ,2.34,Falkirk U20, 9221282   size:3.92,Price: ,2.34,The Draw, 58805   size:2.62,Price: ,3.5,ok
1.122352100, Sport: ,Soccer, Time: ,Mon Dec 21 15:30:00 CET 2015, Time: ,Mon Dec 21 15:30:00 CET 2015, Event: ,Kuwait SC v Khaitan, Favorite: ,Kuwait SC, 3013377   size:2.63,Price: ,1.18,Khaitan, 9359990   size:7.06,Price: ,11.5,The Draw, 58805   size:3.74,Price: ,5.8,ok
1.122344689, Sport: ,Basketball, Time: ,Mon Dec 21 11:00:00 CET 2015, Time: ,Mon Dec 21 11:00:00 CET 2015, Event: ,Shinhan Bank S Birds v KEB Hanabank, Favorite: ,Shinhan Bank S Birds, 5154533   size:2.99,Price: ,1.07,KEB Hanabank, 8118828   size:2.99,Price: ,1.07,ok
1.122254325, Sport: ,Soccer, Time: ,Mon Dec 21 20:00:00 CET 2015, Time: ,Mon Dec 21 20:00:00 CET 2015, Event: ,Norwich U21 v Liverpool U21, Favorite: ,Norwich U21, 6667764   size:3.68,Price: ,1.17,Liverpool U21, 6614442   size:3.68,Price: ,1.17,The Draw, 58805   size:4.11,Price: ,3.0,x
1.122254688, Sport: ,Soccer, Time: ,Mon Dec 21 19:00:00 CET 2015, Time: ,Mon Dec 21 19:00:00 CET 2015, Event: ,Osmanlispor v Besiktas, Favorite: ,Besiktas, 232068   size:90.03,Price: ,2.08,Osmanlispor, 8854605   size:102.14,Price: ,3.85,The Draw, 58805   size:209.32,Price: ,3.7,ok
