1.119118819, Sport: ,Tennis, Time: ,Thu Jun 11 12:00:00 CEST 2015, Time: ,Thu Jun 11 12:00:00 CEST 2015, Event: ,M Zverev v Seppi, Favorite: ,Andreas Seppi, 2257535   size:2404.47,Price: ,1.56,Mischa Zverev, 2263625   size:88.61,Price: ,2.74,xx
1.119129224, Sport: ,Tennis, Time: ,Thu Jun 11 15:00:00 CEST 2015, Time: ,Thu Jun 11 15:00:00 CEST 2015, Event: ,Peya/Soares v Begemann/Knowle, Favorite: ,Peya/Soares, 6504095   size:5.75,Price: ,1.42,Begemann/Knowle, 8597196   size:5.75,Price: ,2.56,okok
1.119128532, Sport: ,Tennis, Time: ,Thu Jun 11 16:00:00 CEST 2015, Time: ,Thu Jun 11 16:00:00 CEST 2015, Event: ,Dart v S Hsieh, Favorite: ,Su-Wei Hsieh, 8244521   size:5.75,Price: ,1.13,Harriet Dart, 8595916   size:3.47,Price: ,6.0,okok
1.119129441, Sport: ,Tennis, Time: ,Fri Jun 12 12:00:00 CEST 2015, Time: ,Fri Jun 12 12:00:00 CEST 2015, Event: ,Troicki v Groth, Favorite: ,Viktor Troicki, 2263624   size:8.5,Price: ,1.94,Sam Groth, 8639819   size:94.0,Price: ,1.95,ok
1.119128769, Sport: ,Tennis, Time: ,Thu Jun 11 14:00:00 CEST 2015, Time: ,Thu Jun 11 14:00:00 CEST 2015, Event: ,Rojer/Tecau v Muller/Qureshi, Favorite: ,Rojer/Tecau, 8176467   size:5.6,Price: ,1.58,Muller/Qureshi, 9327884   size:3.84,Price: ,2.3,ok
1.118847447, Sport: ,Basketball, Time: ,Thu Jun 11 19:00:00 CEST 2015, Time: ,Thu Jun 11 19:00:00 CEST 2015, Event: ,Lithuania (W) v Spain (W), Favorite: ,Spain (W), 6427242   size:3511.99,Price: ,1.01,Lithuania (W), 6427230   size:2.05,Price: ,3.9,ok
1.119091114, Sport: ,Cricket, Time: ,Thu Jun 11 19:30:00 CEST 2015, Time: ,Thu Jun 11 19:30:00 CEST 2015, Event: ,Northamptonshire v Derbyshire, Favorite: ,Northamptonshire, 475559   size:730.66,Price: ,1.79,Derbyshire, 31375   size:96.04,Price: ,2.26,ok
1.119128505, Sport: ,Tennis, Time: ,Thu Jun 11 15:45:00 CEST 2015, Time: ,Thu Jun 11 15:45:00 CEST 2015, Event: ,Falconi/Sanchez v Rodionova/Rodionova, Favorite: ,Rodionova/Rodionova, 2031353   size:5.37,Price: ,1.49,Falconi/Sanchez, 6630120   size:3.25,Price: ,2.46,ok
1.119107442, Sport: ,Tennis, Time: ,Thu Jun 11 14:30:00 CEST 2015, Time: ,Thu Jun 11 14:30:00 CEST 2015, Event: ,Niculescu/Parra Santonj v Chan/Kudryavtseva, Favorite: ,Chan/Kudryavtseva, 9568458   size:2.55,Price: ,1.62,Niculescu/Parra Santonj, 9568457   size:247.77,Price: ,2.28,x
1.118847443, Sport: ,Basketball, Time: ,Thu Jun 11 19:00:00 CEST 2015, Time: ,Thu Jun 11 19:00:00 CEST 2015, Event: ,Russia (W) v Croatia (W), Favorite: ,Russia (W), 7306785   size:633.03,Price: ,1.22,Croatia (W), 6469564   size:2.55,Price: ,4.7,ok
1.118847451, Sport: ,Basketball, Time: ,Thu Jun 11 19:30:00 CEST 2015, Time: ,Thu Jun 11 19:30:00 CEST 2015, Event: ,Ukraine (W) v France (W), Favorite: ,France (W), 6469563   size:3811.99,Price: ,1.01,Ukraine (W), 6427226   size:5.0,Price: ,1.03,ok
1.119128422, Sport: ,Tennis, Time: ,Thu Jun 11 13:30:00 CEST 2015, Time: ,Thu Jun 11 13:30:00 CEST 2015, Event: ,Carreras v Foretz, Favorite: ,Stephanie Foretz, 9152710   size:2.55,Price: ,1.35,Amanda Carreras, 7364002   size:3.0,Price: ,2.94,x
1.119120578, Sport: ,Tennis, Time: ,Thu Jun 11 16:30:00 CEST 2015, Time: ,Thu Jun 11 16:30:00 CEST 2015, Event: ,R Olivo v Rublev, Favorite: ,Andrey Rublev, 7797771   size:5.75,Price: ,1.36,Renzo Olivo, 4822931   size:2.0,Price: ,3.3,ok
1.119121611, Sport: ,Tennis, Time: ,Thu Jun 11 17:00:00 CEST 2015, Time: ,Thu Jun 11 17:00:00 CEST 2015, Event: ,Kops-Jones/Spears v Aoyama/Voracova, Favorite: ,Kops-Jones/Spears, 3636565   size:2.55,Price: ,1.52,Aoyama/Voracova, 8445661   size:5.75,Price: ,2.48,ok
1.119128472, Sport: ,Tennis, Time: ,Thu Jun 11 12:00:00 CEST 2015, Time: ,Thu Jun 11 12:00:00 CEST 2015, Event: ,Sirotkina v Paszek, Favorite: ,Tamira Paszek, 2263715   size:5.82,Price: ,1.52,Marta Sirotkina, 5813162   size:3.43,Price: ,2.58,ok
1.119121616, Sport: ,Tennis, Time: ,Thu Jun 11 16:00:00 CEST 2015, Time: ,Thu Jun 11 16:00:00 CEST 2015, Event: ,A Radwanska v Mchale, Favorite: ,Agnieszka Radwanska, 2263577   size:27.64,Price: ,1.25,Christina McHale, 8859302   size:61.0,Price: ,4.6,ok
1.119053581, Sport: ,Baseball, Time: ,Thu Jun 11 18:05:00 CEST 2015, Time: ,Thu Jun 11 18:05:00 CEST 2015, Event: ,SEA @ CLE, Favorite: ,Cleveland (S Marcum), 9502352   size:5.0,Price: ,1.93,Seattle (J A Happ), 9391060   size:480.0,Price: ,1.99,ok
1.118750207, Sport: ,Cricket, Time: ,Thu Jun 11 17:00:00 CEST 2015, Time: ,Thu Jun 11 17:00:00 CEST 2015, Event: ,West Indies v Australia (2nd Test), Favorite: ,Australia, 16606   size:223.98,Price: ,1.29,The Draw, 60443   size:44.17,Price: ,6.8,West Indies, 235   size:679.02,Price: ,11.5,ok
1.119073781, Sport: ,Handball, Time: ,Thu Jun 11 18:00:00 CEST 2015, Time: ,Thu Jun 11 18:00:00 CEST 2015, Event: ,Ukraine v Russia, Favorite: ,Russia, 602689   size:5.0,Price: ,1.02,Draw, 330157   size:10.0,Price: ,1.69,ok
1.119066850, Sport: ,Basketball, Time: ,Thu Jun 11 14:00:00 CEST 2015, Time: ,Thu Jun 11 14:00:00 CEST 2015, Event: ,Singapore v Cambodia, Favorite: ,Singapore, 5767311   size:2.55,Price: ,1.14,Cambodia, 9555584   size:5.75,Price: ,1.64,ok
1.119121937, Sport: ,Tennis, Time: ,Thu Jun 11 14:00:00 CEST 2015, Time: ,Thu Jun 11 14:00:00 CEST 2015, Event: ,Ramos-Vinolas v Carballes Baena, Favorite: ,Albert Ramos-Vinolas, 8621877   size:87.6,Price: ,1.49,Roberto Carballes Baena, 7185192   size:2.9,Price: ,2.76,ok
1.119118461, Sport: ,Tennis, Time: ,Thu Jun 11 12:00:00 CEST 2015, Time: ,Thu Jun 11 12:00:00 CEST 2015, Event: ,Mertl v Gombos, Favorite: ,Norbert Gombos, 8173023   size:370.37,Price: ,1.51,Jan Mertl, 3034493   size:8.3,Price: ,2.86,ok
1.119118981, Sport: ,Tennis, Time: ,Thu Jun 11 17:30:00 CEST 2015, Time: ,Thu Jun 11 17:30:00 CEST 2015, Event: ,Dellacqua v Ana Konjuh, Favorite: ,Ana Konjuh, 8173632   size:96.0,Price: ,1.86,Casey Dellacqua, 2256494   size:24.92,Price: ,2.1,ok
