1.120238075, Sport: ,Soccer, Time: ,Sat Aug 29 18:00:00 CEST 2015, Time: ,Sat Aug 29 18:00:00 CEST 2015, Event: ,Zawisza Bydgoszcz v Sandecja Nowy Sacz, Favorite: ,Zawisza Bydgoszcz, 4936018   size:20.92,Price: ,1.64,The Draw, 58805   size:27.17,Price: ,3.85,Sandecja Nowy Sacz, 4553548   size:47.69,Price: ,6.0,x
1.120145589, Sport: ,Soccer, Time: ,Sat Aug 29 17:45:00 CEST 2015, Time: ,Sat Aug 29 17:45:00 CEST 2015, Event: ,Lausanne v Wohlen, Favorite: ,Lausanne, 2093796   size:2.62,Price: ,2.38,Wohlen, 457844   size:34.7,Price: ,2.96,The Draw, 58805   size:13.39,Price: ,3.7,ok
1.120143289, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Skelleftea v Ange IF, Favorite: ,Skelleftea, 504719   size:9.85,Price: ,1.66,Ange IF, 8242770   size:6.99,Price: ,1.93,The Draw, 58805   size:2.23,Price: ,3.65,ok
1.120142631, Sport: ,Soccer, Time: ,Sat Aug 29 20:00:00 CEST 2015, Time: ,Sat Aug 29 20:00:00 CEST 2015, Event: ,Lommel Utd v White Star Bruxelles, Favorite: ,Lommel Utd, 5741869   size:15.3,Price: ,1.65,The Draw, 58805   size:85.09,Price: ,4.1,White Star Bruxelles, 7408886   size:10.06,Price: ,5.8,x
1.120285974, Sport: ,Soccer, Time: ,Sat Aug 29 20:30:00 CEST 2015, Time: ,Sat Aug 29 20:30:00 CEST 2015, Event: ,Comunicaciones B Aires v Deportivo Riestra, Favorite: ,Comunicaciones B Aires, 7852197   size:2.71,Price: ,2.3,The Draw, 58805   size:2.12,Price: ,2.94,Deportivo Riestra, 5994579   size:36.67,Price: ,2.98,x
1.120142281, Sport: ,Soccer, Time: ,Sat Aug 29 18:30:00 CEST 2015, Time: ,Sat Aug 29 18:30:00 CEST 2015, Event: ,Rapid Vienna v Mattersburg, Favorite: ,Rapid Vienna, 46932   size:658.56,Price: ,1.23,The Draw, 58805   size:150.3,Price: ,7.2,Mattersburg, 345649   size:2.51,Price: ,16.0,x
1.120151439, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Shrewsbury v Burton, Favorite: ,Shrewsbury, 148735   size:109.39,Price: ,2.48,Burton, 205084   size:496.28,Price: ,3.2,The Draw, 58805   size:354.65,Price: ,3.35,x
1.120301742, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Dinamo Tbilisi v FC Saburtalo Tbilisi, Favorite: ,The Draw, 58805   size:19.25,Price: ,1.07,Dinamo Tbilisi, 866235   size:89.42,Price: ,1.15,x
1.120139428, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Bromley v Dover, Favorite: ,Dover, 2119313   size:23.24,Price: ,2.48,Bromley, 1282856   size:296.12,Price: ,3.0,The Draw, 58805   size:82.6,Price: ,3.4,x
1.120295662, Sport: ,Soccer, Time: ,Sat Aug 29 18:00:00 CEST 2015, Time: ,Sat Aug 29 18:00:00 CEST 2015, Event: ,UCD Burlades v CD Huarte, Favorite: ,The Draw, 58805   size:136.27,Price: ,1.06,ok
1.120141994, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Vindbjart v Ullensaker Kisa, Favorite: ,Ullensaker Kisa, 6267893   size:49.49,Price: ,2.32,Vindbjart, 3073716   size:3.49,Price: ,2.34,The Draw, 58805   size:36.1,Price: ,3.55,ok
1.120141997, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Forde v Floro, Favorite: ,Floro, 6331882   size:3.49,Price: ,2.34,Forde, 3038745   size:2.73,Price: ,2.38,The Draw, 58805   size:2.73,Price: ,3.95,ok
