1.121038905, Sport: ,Soccer, Time: ,Sun Oct 11 15:00:00 CEST 2015, Time: ,Sun Oct 11 15:00:00 CEST 2015, Event: ,Levanger v Bryne, Favorite: ,Bryne, 7033   size:5.0,Price: ,2.62,Levanger, 398353   size:49.47,Price: ,2.68,The Draw, 58805   size:94.29,Price: ,3.85
1.121038953, Sport: ,Soccer, Time: ,Sun Oct 11 15:00:00 CEST 2015, Time: ,Sun Oct 11 15:00:00 CEST 2015, Event: ,Follo v Asane, Favorite: ,Follo, 398301   size:29.41,Price: ,1.93,Asane, 152573   size:4.96,Price: ,4.1,The Draw, 58805   size:73.4,Price: ,3.95
1.121113188, Sport: ,Ice Hockey, Time: ,Sun Oct 11 15:00:00 CEST 2015, Time: ,Sun Oct 11 15:00:00 CEST 2015, Event: ,dukla Trencin v Poprad, Favorite: ,Dukla Trencin, 1041073   size:2.63,Price: ,1.9,Poprad, 2078587   size:14.64,Price: ,3.3,Tie, 60104   size:113.41,Price: ,4.0
1.121038857, Sport: ,Soccer, Time: ,Sun Oct 11 15:00:00 CEST 2015, Time: ,Sun Oct 11 15:00:00 CEST 2015, Event: ,Nest-Sotra v Strommen, Favorite: ,Nest-Sotra, 398198   size:7.57,Price: ,2.4,Strommen, 1146634   size:57.65,Price: ,2.98,The Draw, 58805   size:98.3,Price: ,3.7
1.121085672, Sport: ,Soccer, Time: ,Sun Oct 11 16:00:00 CEST 2015, Time: ,Sun Oct 11 16:00:00 CEST 2015, Event: ,Mafra v Covilha, Favorite: ,Mafra, 2268747   size:73.43,Price: ,2.6,Covilha, 336269   size:2.68,Price: ,3.2,The Draw, 58805   size:239.74,Price: ,3.15
1.121114961, Sport: ,Ice Hockey, Time: ,Sun Oct 11 16:00:00 CEST 2015, Time: ,Sun Oct 11 16:00:00 CEST 2015, Event: ,Red Bull Salzburg v HC Bolzano, Favorite: ,Red Bull Salzburg, 2584427   size:4.19,Price: ,1.47,HC Bolzano, 7557536   size:94.89,Price: ,4.6,Tie, 60104   size:89.91,Price: ,4.8
1.121084855, Sport: ,Soccer, Time: ,Sun Oct 11 16:00:00 CEST 2015, Time: ,Sun Oct 11 16:00:00 CEST 2015, Event: ,Oliveirense v Freamunde, Favorite: ,Freamunde, 616891   size:113.37,Price: ,2.7,Oliveirense, 616886   size:8.08,Price: ,3.0,The Draw, 58805   size:354.12,Price: ,3.15
1.121113260, Sport: ,Ice Hockey, Time: ,Sun Oct 11 16:30:00 CEST 2015, Time: ,Sun Oct 11 16:30:00 CEST 2015, Event: ,Banska Bystrica v Kosice, Favorite: ,Banska Bystrica, 3315731   size:2.7,Price: ,2.28,Kosice, 2078586   size:24.05,Price: ,2.72,Tie, 60104   size:116.17,Price: ,3.9
1.121075120, Sport: ,Volleyball, Time: ,Sun Oct 11 16:45:00 CEST 2015, Time: ,Sun Oct 11 16:45:00 CEST 2015, Event: ,Germany v Czech Republic, Favorite: ,Germany, 678719   size:1000.0,Price: ,1.02,Czech Republic, 1191331   size:18.53,Price: ,1.69
1.121113561, Sport: ,Ice Hockey, Time: ,Sun Oct 11 17:00:00 CEST 2015, Time: ,Sun Oct 11 17:00:00 CEST 2015, Event: ,Nitra v Zvolen, Favorite: ,Nitra, 2078603   size:27.64,Price: ,1.78,Zvolen, 2078582   size:15.83,Price: ,3.4,Tie, 60104   size:9.65,Price: ,5.0
