1.122439918, Sport: ,Tennis, Time: ,Sat Jan 02 07:30:00 CET 2016, Time: ,Sat Jan 02 07:30:00 CET 2016, Event: ,Mektic v Kaewsuto, Favorite: ,Nikola Mektic, 3658467   size:9.19,Price: ,1.06,Chayanon Kaewsuto, 7689549   size:9.19,Price: ,1.06,ok
1.122429381, Sport: ,Soccer, Time: ,Sat Jan 02 16:30:00 CET 2016, Time: ,Sat Jan 02 16:30:00 CET 2016, Event: ,CD Roces v Club Siero, Favorite: ,CD Roces, 8808432   size:9.99,Price: ,1.15,Club Siero, 10298281   size:9.99,Price: ,1.15,The Draw, 58805   size:2.71,Price: ,1.25,x
1.122381031, Sport: ,Soccer, Time: ,Sat Jan 02 18:30:00 CET 2016, Time: ,Sat Jan 02 18:30:00 CET 2016, Event: ,Beitar Jerusalem v Bnei Yehuda, Favorite: ,Beitar Jerusalem, 1169738   size:9.99,Price: ,1.85,Bnei Yehuda, 1561969   size:27.94,Price: ,4.4,The Draw, 58805   size:19.99,Price: ,3.45,ok
1.122382482, Sport: ,Soccer, Time: ,Sat Jan 02 16:00:00 CET 2016, Time: ,Sat Jan 02 16:00:00 CET 2016, Event: ,Cardiff v Blackburn, Favorite: ,Cardiff, 79343   size:50.0,Price: ,2.66,Blackburn, 48350   size:335.91,Price: ,3.0,The Draw, 58805   size:726.46,Price: ,3.3,ok
1.122439862, Sport: ,Tennis, Time: ,Sat Jan 02 05:45:00 CET 2016, Time: ,Sat Jan 02 05:45:00 CET 2016, Event: ,Zhyrmont v Trongcharoenchaikul, Favorite: ,Dzmitry Zhyrmont, 7366760   size:9.19,Price: ,1.06,Wishaya Trongcharoencha, 9376582   size:9.19,Price: ,1.06,ok
1.122381039, Sport: ,Soccer, Time: ,Sat Jan 02 16:00:00 CET 2016, Time: ,Sat Jan 02 16:00:00 CET 2016, Event: ,Needham Market v Canvey Island, Favorite: ,Canvey Island, 18558   size:3.71,Price: ,2.34,Needham Market, 2870975   size:2.55,Price: ,2.6,The Draw, 58805   size:2.55,Price: ,3.55,ok
1.122426447, Sport: ,Soccer, Time: ,Sat Jan 02 17:00:00 CET 2016, Time: ,Sat Jan 02 17:00:00 CET 2016, Event: ,CA Lemense U20 v Rio Claro FC U20, Favorite: ,Rio Claro FC U20, 7360202   size:67.8,Price: ,1.41,CA Lemense U20, 10677175   size:18.31,Price: ,4.7,The Draw, 58805   size:22.97,Price: ,3.95,ok
1.122381159, Sport: ,Soccer, Time: ,Sat Jan 02 16:00:00 CET 2016, Time: ,Sat Jan 02 16:00:00 CET 2016, Event: ,Stourbridge v Ramsbottom Utd, Favorite: ,Stourbridge, 3491515   size:2.08,Price: ,1.32,Ramsbottom Utd, 7885854   size:5.03,Price: ,8.0,The Draw, 58805   size:5.24,Price: ,5.3,x
1.122381037, Sport: ,Soccer, Time: ,Sat Jan 02 17:30:00 CET 2016, Time: ,Sat Jan 02 17:30:00 CET 2016, Event: ,Maccabi Petach Tikva v Hapoel Kfar Saba, Favorite: ,Maccabi Petach Tikva, 939576   size:12.06,Price: ,1.87,Hapoel Kfar Saba, 5239235   size:7.69,Price: ,4.7,The Draw, 58805   size:29.47,Price: ,3.3,ok
1.122381157, Sport: ,Soccer, Time: ,Sat Jan 02 16:00:00 CET 2016, Time: ,Sat Jan 02 16:00:00 CET 2016, Event: ,Salford City v Barwell, Favorite: ,Salford City, 4236580   size:3.27,Price: ,1.64,Barwell, 4597907   size:3.36,Price: ,4.1,The Draw, 58805   size:5.37,Price: ,3.9,ok
