1.121722303, Sport: ,Soccer, Time: ,Mon Nov 09 20:30:00 CET 2015, Time: ,Mon Nov 09 20:30:00 CET 2015, Event: ,Alloa U20 v E Stirling U20, Favorite: ,Alloa U20, 9243282   size:631.75,Price: ,1.47,E Stirling U20, 9180811   size:51.7,Price: ,6.4,The Draw, 58805   size:16.83,Price: ,5.3,ok
1.121724729, Sport: ,Tennis, Time: ,Tue Nov 10 07:00:00 CET 2015, Time: ,Tue Nov 10 07:00:00 CET 2015, Event: ,Kapas/Sharan v Kibi/Niki, Favorite: ,Kapas/Sharan, 10506897   size:8.35,Price: ,1.04,Kibi/Niki, 9263917   size:8.35,Price: ,1.04,x
1.121734329, Sport: ,Soccer, Time: ,Mon Nov 09 20:30:00 CET 2015, Time: ,Mon Nov 09 20:30:00 CET 2015, Event: ,Angels FC v Europa FC, Favorite: ,Europa FC, 10466230   size:82.39,Price: ,1.15,Angels FC, 10363051   size:4.02,Price: ,17.5,The Draw, 58805   size:26.94,Price: ,10.0,ok
1.121716426, Sport: ,Tennis, Time: ,Tue Nov 10 06:30:00 CET 2015, Time: ,Tue Nov 10 06:30:00 CET 2015, Event: ,Vorster v Onishi, Favorite: ,Tucker Vorster, 8842203   size:7.64,Price: ,1.14,Ken Onishi, 9630442   size:2.0,Price: ,6.6,ok
1.121733238, Sport: ,Tennis, Time: ,Tue Nov 10 09:30:00 CET 2015, Time: ,Tue Nov 10 09:30:00 CET 2015, Event: ,Decker v Ekshibarova, Favorite: ,Margot Decker, 9345627   size:8.35,Price: ,1.04,Vlada Ekshibarova, 2567024   size:8.35,Price: ,1.04,x
1.121733314, Sport: ,Tennis, Time: ,Tue Nov 10 04:45:00 CET 2015, Time: ,Tue Nov 10 04:45:00 CET 2015, Event: ,Makoto Ochi v Yui Ito, Favorite: ,Makoto Ochi, 8978439   size:7.0,Price: ,1.49,Yuichi Ito, 3375669   size:20.44,Price: ,2.84,x
1.121587565, Sport: ,Soccer, Time: ,Mon Nov 09 20:30:00 CET 2015, Time: ,Mon Nov 09 20:30:00 CET 2015, Event: ,Crotone v Avellino, Favorite: ,Crotone, 60300   size:1108.22,Price: ,2.4,Avellino, 501202   size:736.82,Price: ,3.85,The Draw, 58805   size:71.35,Price: ,3.05,ok
1.121716586, Sport: ,Tennis, Time: ,Tue Nov 10 09:30:00 CET 2015, Time: ,Tue Nov 10 09:30:00 CET 2015, Event: ,Q Wang v Zh Yang, Favorite: ,Qiang Wang, 6145777   size:153.56,Price: ,1.39,Zhaoxuan Yang, 8172570   size:27.2,Price: ,3.2,ok
1.121589543, Sport: ,Soccer, Time: ,Mon Nov 09 20:00:00 CET 2015, Time: ,Mon Nov 09 20:00:00 CET 2015, Event: ,Colchester U21 v Bolton U21, Favorite: ,Colchester U21, 6820442   size:139.05,Price: ,1.06,Bolton U21, 6594013   size:139.05,Price: ,1.06,The Draw, 58805   size:2.8,Price: ,1.25,ok
1.121733235, Sport: ,Tennis, Time: ,Tue Nov 10 09:30:00 CET 2015, Time: ,Tue Nov 10 09:30:00 CET 2015, Event: ,Christofi v Novcic, Favorite: ,Eleni Christofi, 10483860   size:8.35,Price: ,1.04,Andjela Novcic, 10191982   size:21.45,Price: ,1.86,ok
1.121695351, Sport: ,Basketball, Time: ,Tue Nov 10 04:05:00 CET 2015, Time: ,Tue Nov 10 04:05:00 CET 2015, Event: ,San Antonio @ Sacramento, Favorite: ,San Antonio, 13121   size:290.2,Price: ,1.32,Sacramento, 13127   size:6.69,Price: ,3.7,ok
1.121587680, Sport: ,Soccer, Time: ,Mon Nov 09 20:30:00 CET 2015, Time: ,Mon Nov 09 20:30:00 CET 2015, Event: ,Ath Bilbao B v Llagostera, Favorite: ,Ath Bilbao B, 4943238   size:36.75,Price: ,1.94,Llagostera, 5759756   size:47.89,Price: ,5.3,The Draw, 58805   size:278.19,Price: ,3.35,ok
1.121733234, Sport: ,Tennis, Time: ,Tue Nov 10 08:30:00 CET 2015, Time: ,Tue Nov 10 08:30:00 CET 2015, Event: ,Ghitescu v Nikitovic, Favorite: ,Andreea Ghitescu, 9286492   size:4318.53,Price: ,1.01,Nina Nikitovic, 10347353   size:23.14,Price: ,2.82,ok
1.121589541, Sport: ,Soccer, Time: ,Mon Nov 09 20:00:00 CET 2015, Time: ,Mon Nov 09 20:00:00 CET 2015, Event: ,Reggiana v Cuneo, Favorite: ,Cuneo, 2012829   size:137.92,Price: ,2.4,Reggiana, 522049   size:22.19,Price: ,3.55,The Draw, 58805   size:31.18,Price: ,3.1,ok
1.121733232, Sport: ,Tennis, Time: ,Tue Nov 10 08:30:00 CET 2015, Time: ,Tue Nov 10 08:30:00 CET 2015, Event: ,Romeo v Marinkovic, Favorite: ,Caroline Romeo, 9544574   size:8.35,Price: ,1.04,Bojana Marinkovic, 9342244   size:8.35,Price: ,1.04,ok
1.121746516, Sport: ,Tennis, Time: ,Mon Nov 09 21:15:00 CET 2015, Time: ,Mon Nov 09 21:15:00 CET 2015, Event: ,Smethurst/Walsh v Schipanski/Valero, Favorite: ,Smethurst/Walsh, 10484185   size:2.55,Price: ,1.22,Schipanski/Valero, 10510923   size:2.55,Price: ,1.22,ok
1.121664424, Sport: ,Basketball, Time: ,Tue Nov 10 01:00:00 CET 2015, Time: ,Tue Nov 10 01:00:00 CET 2015, Event: ,Lanus v Gecr Indalo, Favorite: ,Gecr Indalo, 6719074   size:2.55,Price: ,1.55,Lanus, 6719117   size:2.89,Price: ,2.24,ok
1.121716592, Sport: ,Tennis, Time: ,Tue Nov 10 09:30:00 CET 2015, Time: ,Tue Nov 10 09:30:00 CET 2015, Event: ,Hibino v Glatch, Favorite: ,Nao Hibino, 7683152   size:381.79,Price: ,1.44,Alexa Glatch, 2481491   size:2.64,Price: ,2.94,ok
1.121641962, Sport: ,Ice Hockey, Time: ,Mon Nov 09 20:30:00 CET 2015, Time: ,Mon Nov 09 20:30:00 CET 2015, Event: ,Frederikshavn v Herning, Favorite: ,Frederikshavn, 70626   size:8.42,Price: ,1.01,Herning, 70631   size:8.42,Price: ,1.01,Tie, 60104   size:8.42,Price: ,1.01,ok
1.121719663, Sport: ,Basketball, Time: ,Mon Nov 09 20:00:00 CET 2015, Time: ,Mon Nov 09 20:00:00 CET 2015, Event: ,Brno v Svitavy, Favorite: ,Brno, 6736685   size:71.04,Price: ,1.05,Svitavy, 7758631   size:70.23,Price: ,1.05,ok
