1.121362337, Sport: ,Basketball, Time: ,Sun Oct 25 08:00:00 CET 2015, Time: ,Sun Oct 25 08:00:00 CET 2015, Event: ,Mahindra Enforcers v Rain or Shine, Favorite: ,Mahindra Enforcers, 10425277   size:3.62,Price: ,1.07,Rain Or Shine, 3880438   size:3.62,Price: ,1.07
1.121306916, Sport: ,Soccer, Time: ,Sun Oct 25 08:30:00 CET 2015, Time: ,Sun Oct 25 08:30:00 CET 2015, Event: ,Metro Gallery v Citizen AA, Favorite: ,Citizen AA, 5284358   size:138.26,Price: ,1.06,Metro Gallery, 8287220   size:3.62,Price: ,1.07,The Draw, 58805   size:2.77,Price: ,1.25
1.121306857, Sport: ,Soccer, Time: ,Sun Oct 25 08:30:00 CET 2015, Time: ,Sun Oct 25 08:30:00 CET 2015, Event: ,Wofoo Tai Po v Wing Yee, Favorite: ,Wofoo Tai Po, 5204518   size:3.62,Price: ,1.07,Wing Yee, 10244634   size:3.62,Price: ,1.07,The Draw, 58805   size:2.77,Price: ,1.25
1.121306709, Sport: ,Soccer, Time: ,Sun Oct 25 08:30:00 CET 2015, Time: ,Sun Oct 25 08:30:00 CET 2015, Event: ,Tai Chung v Sunray Cave JC Sun Hei, Favorite: ,Tai Chung, 5236529   size:3.62,Price: ,1.07,Sunray Cave JC Sun Hei, 7088136   size:3.62,Price: ,1.07,The Draw, 58805   size:2.77,Price: ,1.25
1.121439610, Sport: ,Basketball, Time: ,Sun Oct 25 12:00:00 CET 2015, Time: ,Sun Oct 25 12:00:00 CET 2015, Event: ,Galatasaray v Gaziantep, Favorite: ,Galatasaray, 631281   size:8.46,Price: ,1.03,Gaziantep, 6721681   size:38.1,Price: ,1.21
1.121329540, Sport: ,Cricket, Time: ,Sat Oct 24 10:00:00 CEST 2015, Time: ,Sat Oct 24 10:00:00 CEST 2015, Event: ,Namibia v Ireland, Favorite: ,Namibia, 144199   size:2160.82,Price: ,1.04,Ireland, 152530   size:2160.82,Price: ,1.04,The Draw, 60443   size:2160.82,Price: ,1.04
1.121433542, Sport: ,Soccer, Time: ,Sat Oct 24 10:00:00 CEST 2015, Time: ,Sat Oct 24 10:00:00 CEST 2015, Event: ,CS Balotesti v Berceni, Favorite: ,CS Balotesti, 7161082   size:2.55,Price: ,2.34,Berceni, 6681486   size:7.66,Price: ,2.6,The Draw, 58805   size:3.93,Price: ,3.05
1.121433321, Sport: ,Soccer, Time: ,Sat Oct 24 10:00:00 CEST 2015, Time: ,Sat Oct 24 10:00:00 CEST 2015, Event: ,Academica Clinceni v Dacia Unirea Braila, Favorite: ,Academica Clinceni, 10292565   size:2.55,Price: ,1.88,Dacia Unirea Braila, 10292949   size:9.03,Price: ,2.86,The Draw, 58805   size:2.55,Price: ,2.94
1.121433760, Sport: ,Soccer, Time: ,Sat Oct 24 10:00:00 CEST 2015, Time: ,Sat Oct 24 10:00:00 CEST 2015, Event: ,FC Brasov v CS Mioveni, Favorite: ,FC Brasov, 3204853   size:2.55,Price: ,1.76,CS Mioveni, 5525359   size:3.89,Price: ,4.7,The Draw, 58805   size:13.84,Price: ,3.2
1.121433650, Sport: ,Soccer, Time: ,Sat Oct 24 10:00:00 CEST 2015, Time: ,Sat Oct 24 10:00:00 CEST 2015, Event: ,CS FC Caransebes v Gaz Metan Medias, Favorite: ,Gaz Metan Medias, 3204854   size:4.52,Price: ,2.18,CS FC Caransebes, 8808428   size:4.01,Price: ,2.86,The Draw, 58805   size:3.89,Price: ,3.15
1.121433433, Sport: ,Soccer, Time: ,Sat Oct 24 10:00:00 CEST 2015, Time: ,Sat Oct 24 10:00:00 CEST 2015, Event: ,Ceahlaul v SC Bacau, Favorite: ,SC Bacau, 7653652   size:2.93,Price: ,1.9,Ceahlaul, 1557295   size:4.44,Price: ,3.8,The Draw, 58805   size:4.26,Price: ,3.25
1.121433541, Sport: ,Soccer, Time: ,Sat Oct 24 11:00:00 CEST 2015, Time: ,Sat Oct 24 11:00:00 CEST 2015, Event: ,FK Bayterek Astana v FK Kyzylzhar, Favorite: ,FK Kyzylzhar, 7397668   size:2.55,Price: ,1.17,FK Bayterek Astana, 7375956   size:2.55,Price: ,3.3,The Draw, 58805   size:5.0,Price: ,3.05
