1.122004158, Sport: ,Soccer, Time: ,Fri Nov 27 10:00:00 CET 2015, Time: ,Fri Nov 27 10:00:00 CET 2015, Event: ,Nam Dinh FC II v Cong Anh Nhan Dan II, Favorite: ,Cong Anh Nhan Dan II, 8967073   size:2.55,Price: ,1.52,Nam Dinh FC II, 10550482   size:3.68,Price: ,4.3,The Draw, 58805   size:6.96,Price: ,3.9,ok
1.121988697, Sport: ,Hockey, Time: ,Fri Nov 27 16:00:00 CET 2015, Time: ,Fri Nov 27 16:00:00 CET 2015, Event: ,Germany v Netherlands, Favorite: ,Germany, 206943   size:0.0,Price: ,0.0,Netherlands, 261994   size:0.0,Price: ,0.0,Draw, 318509   size:0.0,Price: ,0.0,x
1.121885629, Sport: ,Soccer, Time: ,Fri Nov 27 18:30:00 CET 2015, Time: ,Fri Nov 27 18:30:00 CET 2015, Event: ,FC Heidenheim v Freiburg, Favorite: ,Freiburg, 44520   size:151.0,Price: ,2.32,FC Heidenheim, 3237590   size:118.24,Price: ,3.4,The Draw, 58805   size:275.01,Price: ,3.45,ok
1.121962632, Sport: ,Rugby Union, Time: ,Fri Nov 27 20:35:00 CET 2015, Time: ,Fri Nov 27 20:35:00 CET 2015, Event: ,Edinburgh v Dragons, Favorite: ,Edinburgh, 8873   size:2.94,Price: ,1.3,Dragons, 789918   size:2.8,Price: ,4.1,Draw, 246289   size:3.55,Price: ,29.0,ok
1.121886837, Sport: ,Soccer, Time: ,Fri Nov 27 18:00:00 CET 2015, Time: ,Fri Nov 27 18:00:00 CET 2015, Event: ,Dukla Prague v Teplice, Favorite: ,Dukla Prague, 4142634   size:14.22,Price: ,2.0,Teplice, 174264   size:91.54,Price: ,4.1,The Draw, 58805   size:290.39,Price: ,3.6,ok
1.121962635, Sport: ,Rugby Union, Time: ,Fri Nov 27 20:35:00 CET 2015, Time: ,Fri Nov 27 20:35:00 CET 2015, Event: ,Glasgow v Treviso, Favorite: ,Glasgow, 50108   size:2089.05,Price: ,1.08,Treviso, 52263   size:2.84,Price: ,10.0,Draw, 246289   size:2.76,Price: ,80.0,ok
1.121988629, Sport: ,Darts, Time: ,Fri Nov 27 15:30:00 CET 2015, Time: ,Fri Nov 27 15:30:00 CET 2015, Event: ,Benito van de Pas v Stephen Bunting, Favorite: ,Stephen Bunting, 3538481   size:117.92,Price: ,1.63,Benito van de Pas, 6062761   size:3.98,Price: ,2.34,x
1.121985912, Sport: ,Basketball, Time: ,Fri Nov 27 18:45:00 CET 2015, Time: ,Fri Nov 27 18:45:00 CET 2015, Event: ,Pinar Karsiyaka v Panathinaikos, Favorite: ,Pinar Karsiyaka, 631283   size:3.42,Price: ,1.2,Panathinaikos, 266270   size:6.12,Price: ,1.87,x
1.121989958, Sport: ,Basketball, Time: ,Fri Nov 27 21:00:00 CET 2015, Time: ,Fri Nov 27 21:00:00 CET 2015, Event: ,Palencia v Caceres, Favorite: ,Palencia, 4661101   size:2.84,Price: ,1.03,Caceres, 4661098   size:2.84,Price: ,1.03,ok
1.121886956, Sport: ,Soccer, Time: ,Fri Nov 27 15:00:00 CET 2015, Time: ,Fri Nov 27 15:00:00 CET 2015, Event: ,Ural v Mordovia Saransk, Favorite: ,Ural, 2460920   size:9.46,Price: ,2.12,Mordovia Saransk, 4045119   size:311.99,Price: ,4.2,The Draw, 58805   size:248.98,Price: ,3.35,ok
1.122025287, Sport: ,Tennis, Time: ,Fri Nov 27 18:00:00 CET 2015, Time: ,Fri Nov 27 18:00:00 CET 2015, Event: ,R Marcora v Dodig, Favorite: ,Ivan Dodig, 2835266   size:58.54,Price: ,1.16,Roberto Marcora, 7412952   size:29.22,Price: ,5.5,ok
1.122005796, Sport: ,Soccer, Time: ,Fri Nov 27 09:00:00 CET 2015, Time: ,Fri Nov 27 09:00:00 CET 2015, Event: ,Surabaya United v Persela Lamongan, Favorite: ,Surabaya United, 10525847   size:4.2,Price: ,1.16,Persela Lamongan, 5227372   size:10.57,Price: ,8.6,The Draw, 58805   size:6.5,Price: ,6.0,ok
1.121989951, Sport: ,Basketball, Time: ,Fri Nov 27 20:30:00 CET 2015, Time: ,Fri Nov 27 20:30:00 CET 2015, Event: ,Navarra v Ourense, Favorite: ,Navarra, 5021017   size:2.84,Price: ,1.03,Ourense, 4661102   size:2.84,Price: ,1.03,ok
1.121984395, Sport: ,Soccer, Time: ,Fri Nov 27 17:00:00 CET 2015, Time: ,Fri Nov 27 17:00:00 CET 2015, Event: ,Panserraikos v Zakinthos, Favorite: ,Panserraikos, 1210411   size:2.55,Price: ,1.86,Zakinthos, 3435381   size:10.09,Price: ,4.3,The Draw, 58805   size:5.22,Price: ,3.4,ok
1.121984274, Sport: ,Ice Hockey, Time: ,Fri Nov 27 19:30:00 CET 2015, Time: ,Fri Nov 27 19:30:00 CET 2015, Event: ,Adler Mannheim v Krefeld Pinguine, Favorite: ,Adler Mannheim, 233924   size:30.03,Price: ,1.45,Krefeld Pinguine, 233926   size:33.22,Price: ,6.0,Tie, 60104   size:12.7,Price: ,6.6,ok
1.121886726, Sport: ,Soccer, Time: ,Fri Nov 27 18:30:00 CET 2015, Time: ,Fri Nov 27 18:30:00 CET 2015, Event: ,Austria Lustenau v FC Wiener Neustadt, Favorite: ,Austria Lustenau, 453564   size:327.57,Price: ,1.79,FC Wiener Neustadt, 3164919   size:65.08,Price: ,4.8,The Draw, 58805   size:5.0,Price: ,3.95,x
1.121989965, Sport: ,Basketball, Time: ,Fri Nov 27 21:00:00 CET 2015, Time: ,Fri Nov 27 21:00:00 CET 2015, Event: ,San Pablo Inmobiliaria v Castello, Favorite: ,San Pablo Inmobiliaria, 10396896   size:2.84,Price: ,1.03,Castello, 10370944   size:2.84,Price: ,1.03,x
1.121985920, Sport: ,Ice Hockey, Time: ,Fri Nov 27 17:30:00 CET 2015, Time: ,Fri Nov 27 17:30:00 CET 2015, Event: ,Chomutov v Kometa Brno, Favorite: ,Chomutov, 4645019   size:57.36,Price: ,2.24,Kometa Brno, 3304802   size:8.48,Price: ,2.76,Tie, 60104   size:15.0,Price: ,4.6,ok
1.121992338, Sport: ,Ice Hockey, Time: ,Fri Nov 27 19:00:00 CET 2015, Time: ,Fri Nov 27 19:00:00 CET 2015, Event: ,Leksand v Bjorkloven, Favorite: ,Leksand, 2358271   size:2.29,Price: ,2.18,Bjorkloven, 247108   size:150.32,Price: ,2.58,Tie, 60104   size:54.21,Price: ,4.0,ok
1.121970007, Sport: ,American Football, Time: ,Fri Nov 27 22:00:00 CET 2015, Time: ,Fri Nov 27 22:00:00 CET 2015, Event: ,Oregon State @ Oregon, Favorite: ,Oregon, 547399   size:20.22,Price: ,1.01,Oregon State, 661960   size:2.74,Price: ,16.5,ok
