1.121746586, Sport: ,Basketball, Time: ,Tue Nov 17 01:00:00 CET 2015, Time: ,Tue Nov 17 01:00:00 CET 2015, Event: ,Elon @ Michigan, Favorite: ,Michigan, 697627   size:236.97,Price: ,1.06,Elon, 671872   size:3.2,Price: ,7.6,ok
1.121834303, Sport: ,Tennis, Time: ,Tue Nov 17 03:45:00 CET 2015, Time: ,Tue Nov 17 03:45:00 CET 2015, Event: ,Ti Chen v B Klein, Favorite: ,Brydan Klein, 2759763   size:6.51,Price: ,1.42,Ti Chen, 2559490   size:43.14,Price: ,2.92,ok
1.121849182, Sport: ,Tennis, Time: ,Tue Nov 17 04:30:00 CET 2015, Time: ,Tue Nov 17 04:30:00 CET 2015, Event: ,T Ito v Takeuchi, Favorite: ,Tatsuma Ito, 3374118   size:44.11,Price: ,1.05,Kento Takeuchi, 8230215   size:16.16,Price: ,14.5,ok
1.121796641, Sport: ,Basketball, Time: ,Tue Nov 17 00:00:00 CET 2015, Time: ,Tue Nov 17 00:00:00 CET 2015, Event: ,Obras v San Lorenzo de Almagro, Favorite: ,San Lorenzo de Almagro, 10309838   size:7.35,Price: ,1.48,Obras, 6269780   size:13.0,Price: ,2.98,x
1.121849184, Sport: ,Tennis, Time: ,Tue Nov 17 03:45:00 CET 2015, Time: ,Tue Nov 17 03:45:00 CET 2015, Event: ,Yo Nishioka v P Kobelt, Favorite: ,Yoshihito Nishioka, 7137497   size:2.55,Price: ,1.15,Peter Kobelt, 8798913   size:6.98,Price: ,6.0,ok
1.121843161, Sport: ,Tennis, Time: ,Mon Nov 16 23:15:00 CET 2015, Time: ,Mon Nov 16 23:15:00 CET 2015, Event: ,Martin/Podlipnik-Castil v Arguello/Lipovsek Puche, Favorite: ,Martin/Podlipnik-Castil, 9436921   size:2.55,Price: ,1.29,Arguello/Lipovsek Puche, 9002396   size:2.55,Price: ,3.15,ok
1.121754604, Sport: ,Soccer, Time: ,Tue Nov 17 08:00:00 CET 2015, Time: ,Tue Nov 17 08:00:00 CET 2015, Event: ,Timor Leste v Saudi Arabia, Favorite: ,Saudi Arabia, 51092   size:8.88,Price: ,1.06,Timor Leste, 5063533   size:187.52,Price: ,75.0,The Draw, 58805   size:2.84,Price: ,11.0,ok
1.121849423, Sport: ,Tennis, Time: ,Tue Nov 17 05:30:00 CET 2015, Time: ,Tue Nov 17 05:30:00 CET 2015, Event: ,Takahata v Yaf Wang, Favorite: ,Yafan Wang, 7695509   size:3059.64,Price: ,1.02,Kotomi Takahata, 8887182   size:3.84,Price: ,19.5,ok
1.121841420, Sport: ,Tennis, Time: ,Tue Nov 17 04:00:00 CET 2015, Time: ,Tue Nov 17 04:00:00 CET 2015, Event: ,Rodina v Lu, Favorite: ,Evgeniya Rodina, 2415530   size:300.09,Price: ,1.27,Jia-Jing Lu, 9002321   size:26.05,Price: ,4.3,ok
1.121850733, Sport: ,Tennis, Time: ,Tue Nov 17 02:00:00 CET 2015, Time: ,Tue Nov 17 02:00:00 CET 2015, Event: ,Lykina v Akita, Favorite: ,Ksenia Lykina, 4198444   size:2.55,Price: ,1.47,Shiho Akita, 9165932   size:2.55,Price: ,1.62,x
1.121849190, Sport: ,Tennis, Time: ,Tue Nov 17 03:45:00 CET 2015, Time: ,Tue Nov 17 03:45:00 CET 2015, Event: ,Yu Watanuki v Ebden, Favorite: ,Matthew Ebden, 4423910   size:46.91,Price: ,1.06,Yusuke Watanuki, 8349393   size:12.93,Price: ,12.0,ok
1.121836485, Sport: ,Basketball, Time: ,Tue Nov 17 01:05:00 CET 2015, Time: ,Tue Nov 17 01:05:00 CET 2015, Event: ,Dallas @ Philadelphia, Favorite: ,Dallas, 13122   size:2548.98,Price: ,1.25,Philadelphia, 13103   size:35.0,Price: ,4.7,ok
1.121840619, Sport: ,Tennis, Time: ,Tue Nov 17 06:30:00 CET 2015, Time: ,Tue Nov 17 06:30:00 CET 2015, Event: ,Matsui/Rungkat v Fruttero/Uesugi, Favorite: ,Matsui/Rungkat, 10458488   size:2.64,Price: ,1.19,Fruttero/Uesugi, 10530290   size:7.85,Price: ,3.85,x
1.121632413, Sport: ,American Football, Time: ,Tue Nov 17 02:30:00 CET 2015, Time: ,Tue Nov 17 02:30:00 CET 2015, Event: ,Houston @ Cincinnati, Favorite: ,Cincinnati Bengals, 50210   size:6155.42,Price: ,1.2,Houston Texans, 179823   size:156.27,Price: ,5.9,x
1.121746589, Sport: ,Basketball, Time: ,Tue Nov 17 01:00:00 CET 2015, Time: ,Tue Nov 17 01:00:00 CET 2015, Event: ,Austin Peay @ Indiana, Favorite: ,Indiana, 13116   size:39.15,Price: ,1.01,Austin Peay, 673359   size:2.13,Price: ,9.6,ok
1.121838465, Sport: ,Soccer, Time: ,Tue Nov 17 00:30:00 CET 2015, Time: ,Tue Nov 17 00:30:00 CET 2015, Event: ,Coquimbo Unido v Magallanes, Favorite: ,Magallanes, 5678438   size:17.87,Price: ,2.22,Coquimbo Unido, 5800422   size:27.83,Price: ,3.25,The Draw, 58805   size:11.17,Price: ,3.55,x
1.121834307, Sport: ,Tennis, Time: ,Tue Nov 17 04:30:00 CET 2015, Time: ,Tue Nov 17 04:30:00 CET 2015, Event: ,Moriya v Kravchuk, Favorite: ,Konstantin Kravchuk, 5011822   size:2.64,Price: ,1.38,Hiroki Moriya, 5858055   size:10.01,Price: ,3.15,ok
1.121850734, Sport: ,Tennis, Time: ,Tue Nov 17 02:00:00 CET 2015, Time: ,Tue Nov 17 02:00:00 CET 2015, Event: ,Inoue v Higuchi, Favorite: ,Akari Inoue, 7683755   size:4.31,Price: ,1.52,Yuka Higuchi, 7657221   size:4.31,Price: ,1.52,ok
1.121840607, Sport: ,Tennis, Time: ,Tue Nov 17 06:45:00 CET 2015, Time: ,Tue Nov 17 06:45:00 CET 2015, Event: ,Chen/Skugor v Jung/Vorster, Favorite: ,Chen/Skugor, 10082607   size:4.0,Price: ,1.28,Jung/Vorster, 10530289   size:7.73,Price: ,3.15,ok
1.121828807, Sport: ,Ice Hockey, Time: ,Tue Nov 17 01:35:00 CET 2015, Time: ,Tue Nov 17 01:35:00 CET 2015, Event: ,Detroit @ Ottawa, Favorite: ,Ottawa, 2108072   size:325.0,Price: ,2.5,Detroit, 975676   size:98.0,Price: ,2.74,Tie, 60104   size:102.63,Price: ,3.95,x
1.121836531, Sport: ,Basketball, Time: ,Tue Nov 17 02:35:00 CET 2015, Time: ,Tue Nov 17 02:35:00 CET 2015, Event: ,Portland @ San Antonio, Favorite: ,San Antonio, 13121   size:226.11,Price: ,1.12,Portland, 13129   size:27.14,Price: ,8.8,ok
