1.121284973, Sport: ,Soccer, Time: ,Sat Oct 17 11:00:00 CEST 2015, Time: ,Sat Oct 17 11:00:00 CEST 2015, Event: ,KS Gornik Zabrze U19 v MKS Pogon Szczecin U19, Favorite: ,MKS Pogon Szczecin U19, 6486132   size:4.99,Price: ,1.28,KS Gornik Zabrze U19, 9366783   size:4.99,Price: ,1.77,The Draw, 58805   size:4.99,Price: ,3.1,x
1.121328878, Sport: ,Darts, Time: ,Sat Oct 17 14:30:00 CEST 2015, Time: ,Sat Oct 17 14:30:00 CEST 2015, Event: ,Justin Pipe v Steve Beaton, Favorite: ,Justin Pipe, 3066954   size:272.08,Price: ,1.01,Steve Beaton, 2469729   size:272.08,Price: ,1.01,x
1.121140635, Sport: ,Soccer, Time: ,Sat Oct 17 16:00:00 CEST 2015, Time: ,Sat Oct 17 16:00:00 CEST 2015, Event: ,Annan Ath v Queens Park, Favorite: ,Annan Ath, 2214928   size:4.99,Price: ,2.4,Queens Park, 729809   size:41.8,Price: ,3.05,The Draw, 58805   size:4.89,Price: ,3.75,ok
1.121131240, Sport: ,Soccer, Time: ,Sat Oct 17 18:45:00 CEST 2015, Time: ,Sat Oct 17 18:45:00 CEST 2015, Event: ,Bray v Shamrock Rovers, Favorite: ,Shamrock Rovers, 184325   size:3.72,Price: ,1.74,Bray, 184327   size:2.7,Price: ,5.7,The Draw, 58805   size:12.6,Price: ,3.85,x
1.121142138, Sport: ,Soccer, Time: ,Sat Oct 17 20:00:00 CEST 2015, Time: ,Sat Oct 17 20:00:00 CEST 2015, Event: ,Domzale v Krka, Favorite: ,Domzale, 503208   size:2.84,Price: ,1.54,Krka, 3346298   size:12.86,Price: ,5.7,The Draw, 58805   size:24.5,Price: ,3.55,ok
1.121166464, Sport: ,Soccer, Time: ,Sun Oct 18 04:00:00 CEST 2015, Time: ,Sun Oct 18 04:00:00 CEST 2015, Event: ,Jaguares v Monterrey, Favorite: ,Monterrey, 328949   size:125.16,Price: ,2.58,Jaguares, 328953   size:122.95,Price: ,2.86,The Draw, 58805   size:4.32,Price: ,3.5,x
1.121280008, Sport: ,Soccer, Time: ,Sat Oct 17 13:00:00 CEST 2015, Time: ,Sat Oct 17 13:00:00 CEST 2015, Event: ,Silkeborg IF U19 v AGF Fodbold U19, Favorite: ,Silkeborg IF U19, 8994239   size:3.52,Price: ,1.07,AGF Fodbold U19, 8734019   size:3.52,Price: ,1.07,The Draw, 58805   size:2.72,Price: ,1.25,ok
1.121139409, Sport: ,Soccer, Time: ,Sat Oct 17 18:00:00 CEST 2015, Time: ,Sat Oct 17 18:00:00 CEST 2015, Event: ,Torku Konyaspor v Gaziantepspor, Favorite: ,Torku Konyaspor, 6553233   size:3.15,Price: ,1.83,Gaziantepspor, 46988   size:66.08,Price: ,5.1,The Draw, 58805   size:10.23,Price: ,3.6,ok
1.121313254, Sport: ,Tennis, Time: ,Sat Oct 17 17:00:00 CEST 2015, Time: ,Sat Oct 17 17:00:00 CEST 2015, Event: ,Kops-Jones/Spears v Irigoyen/Kania, Favorite: ,Kops-Jones/Spears, 3636565   size:4.09,Price: ,1.27,Irigoyen/Kania, 10080585   size:7.15,Price: ,3.6,ok
1.121284863, Sport: ,Soccer, Time: ,Sat Oct 17 11:00:00 CEST 2015, Time: ,Sat Oct 17 11:00:00 CEST 2015, Event: ,Hutnik Nowa Huta U19 v AP-TOP 54 BP U19, Favorite: ,Hutnik Nowa Huta U19, 10133766   size:9.99,Price: ,1.52,AP-TOP 54 BP U19, 10133774   size:9.99,Price: ,2.24,The Draw, 58805   size:9.99,Price: ,2.74,x
1.121329464, Sport: ,Tennis, Time: ,Sat Oct 17 21:00:00 CEST 2015, Time: ,Sat Oct 17 21:00:00 CEST 2015, Event: ,Du Brown v Tiafoe, Favorite: ,Dustin Brown, 4486603   size:39.81,Price: ,1.08,Frances Tiafoe, 9399490   size:32.64,Price: ,1.21,ok
1.121142008, Sport: ,Soccer, Time: ,Sat Oct 17 17:45:00 CEST 2015, Time: ,Sat Oct 17 17:45:00 CEST 2015, Event: ,NK Celje v NK Maribor, Favorite: ,NK Maribor, 44625   size:14.69,Price: ,1.49,NK Celje, 3188553   size:11.49,Price: ,4.6,The Draw, 58805   size:22.15,Price: ,3.25,ok
1.121141158, Sport: ,Soccer, Time: ,Sat Oct 17 14:00:00 CEST 2015, Time: ,Sat Oct 17 14:00:00 CEST 2015, Event: ,Kickers Offenbach v Neckarelz, Favorite: ,Kickers Offenbach, 247869   size:18.46,Price: ,1.35,Neckarelz, 4069186   size:2.72,Price: ,9.6,The Draw, 58805   size:51.29,Price: ,5.4,x
1.121237232, Sport: ,Ice Hockey, Time: ,Sat Oct 17 17:00:00 CEST 2015, Time: ,Sat Oct 17 17:00:00 CEST 2015, Event: ,Slovan Bratislava v Yugra, Favorite: ,Slovan Bratislava, 1357713   size:51.0,Price: ,1.98,Yugra, 4913649   size:50.49,Price: ,3.45,Tie, 60104   size:58.0,Price: ,4.2,ok
1.121138545, Sport: ,Soccer, Time: ,Sat Oct 17 15:00:00 CEST 2015, Time: ,Sat Oct 17 15:00:00 CEST 2015, Event: ,Crotone v Livorno, Favorite: ,Crotone, 60300   size:18.88,Price: ,2.42,Livorno, 201326   size:3.39,Price: ,3.5,The Draw, 58805   size:130.03,Price: ,3.2,ok
1.121141151, Sport: ,Soccer, Time: ,Sat Oct 17 16:00:00 CEST 2015, Time: ,Sat Oct 17 16:00:00 CEST 2015, Event: ,E Stirling v Elgin, Favorite: ,Elgin, 615041   size:13.3,Price: ,1.89,E Stirling, 729808   size:6.96,Price: ,4.2,The Draw, 58805   size:80.27,Price: ,4.1,x
1.121075960, Sport: ,Soccer, Time: ,Sat Oct 17 16:00:00 CEST 2015, Time: ,Sat Oct 17 16:00:00 CEST 2015, Event: ,Man City v Bournemouth, Favorite: ,Man City, 47999   size:1254.66,Price: ,1.34,Bournemouth, 1141   size:1239.24,Price: ,11.0,The Draw, 58805   size:1451.66,Price: ,5.9,ok
