1.122186076, Sport: ,Soccer, Time: ,Tue Dec 08 20:45:00 CET 2015, Time: ,Tue Dec 08 20:45:00 CET 2015, Event: ,North Greenford United v Leighton Town, Favorite: ,North Greenford United, 7883952   size:78.37,Price: ,2.12,Leighton Town, 1338700   size:70.99,Price: ,2.34,The Draw, 58805   size:47.94,Price: ,3.45,x
1.122186352, Sport: ,Soccer, Time: ,Tue Dec 08 14:00:00 CET 2015, Time: ,Tue Dec 08 14:00:00 CET 2015, Event: ,Ross Co U20 v Hearts U20, Favorite: ,Ross Co U20, 9002628   size:2.55,Price: ,2.32,Hearts U20, 8981683   size:2.55,Price: ,2.32,The Draw, 58805   size:5.0,Price: ,3.35,ok
1.122095998, Sport: ,Soccer, Time: ,Tue Dec 08 17:00:00 CET 2015, Time: ,Tue Dec 08 17:00:00 CET 2015, Event: ,Lokomotiva v Rijeka, Favorite: ,Rijeka, 166890   size:34.26,Price: ,1.96,Lokomotiva, 4057235   size:13.33,Price: ,4.1,The Draw, 58805   size:53.17,Price: ,3.65,ok
1.122184846, Sport: ,Soccer, Time: ,Tue Dec 08 17:00:00 CET 2015, Time: ,Tue Dec 08 17:00:00 CET 2015, Event: ,CD Choco v Ribadumia, Favorite: ,CD Choco, 8041120   size:2.55,Price: ,1.54,Ribadumia, 10601352   size:2.55,Price: ,5.1,The Draw, 58805   size:2.55,Price: ,3.25,ok
1.122162720, Sport: ,Basketball, Time: ,Wed Dec 09 02:00:00 CET 2015, Time: ,Wed Dec 09 02:00:00 CET 2015, Event: ,Olimpico v Instituto Atletico Cent, Favorite: ,Olimpico, 6719115   size:2.77,Price: ,1.03,Instituto Atletico Cent, 10346458   size:2.77,Price: ,1.03,ok
1.122162721, Sport: ,Basketball, Time: ,Wed Dec 09 01:30:00 CET 2015, Time: ,Wed Dec 09 01:30:00 CET 2015, Event: ,Quilmes v Weber Bahia Estudiantes, Favorite: ,Quilmes, 7753472   size:2.77,Price: ,1.03,Weber Bahia Estudiantes, 6719105   size:2.77,Price: ,1.03,ok
1.122180645, Sport: ,Handball, Time: ,Tue Dec 08 20:45:00 CET 2015, Time: ,Tue Dec 08 20:45:00 CET 2015, Event: ,Sweden v Netherlands, Favorite: ,Draw, 330157   size:18.0,Price: ,1.04,Sweden, 624135   size:13.0,Price: ,1.53,Netherlands, 626085   size:5.99,Price: ,2.68,ok
1.122184459, Sport: ,Soccer, Time: ,Tue Dec 08 12:00:00 CET 2015, Time: ,Tue Dec 08 12:00:00 CET 2015, Event: ,Atletico Sanluqueno CF v Lebrijana, Favorite: ,Atletico Sanluqueno CF, 6399727   size:139.42,Price: ,1.38,Lebrijana, 9315717   size:39.2,Price: ,8.4,The Draw, 58805   size:62.62,Price: ,4.4,ok
1.122098511, Sport: ,Soccer, Time: ,Tue Dec 08 12:00:00 CET 2015, Time: ,Tue Dec 08 12:00:00 CET 2015, Event: ,CD Cebrerena v Zamora, Favorite: ,Zamora, 565025   size:188.54,Price: ,1.5,CD Cebrerena, 8479497   size:62.72,Price: ,5.4,The Draw, 58805   size:93.8,Price: ,3.95,ok
1.122094276, Sport: ,Soccer, Time: ,Tue Dec 08 15:00:00 CET 2015, Time: ,Tue Dec 08 15:00:00 CET 2015, Event: ,Avellino v Pro Vercelli, Favorite: ,Avellino, 501202   size:4.02,Price: ,1.9,Pro Vercelli, 5369664   size:2.76,Price: ,5.4,The Draw, 58805   size:179.24,Price: ,3.35,ok
1.122186629, Sport: ,Soccer, Time: ,Tue Dec 08 17:00:00 CET 2015, Time: ,Tue Dec 08 17:00:00 CET 2015, Event: ,SD Almazan v SD Atletico Tordesillas, Favorite: ,SD Atletico Tordesillas, 7794974   size:2.55,Price: ,2.3,SD Almazan, 7636401   size:2.55,Price: ,2.38,The Draw, 58805   size:65.21,Price: ,3.15,x
1.122095005, Sport: ,Soccer, Time: ,Tue Dec 08 20:45:00 CET 2015, Time: ,Tue Dec 08 20:45:00 CET 2015, Event: ,Fleetwood Town v Morecambe, Favorite: ,Fleetwood Town, 3396710   size:43.29,Price: ,1.93,Morecambe, 51311   size:10.94,Price: ,4.3,The Draw, 58805   size:110.64,Price: ,3.8,ok
1.121988051, Sport: ,Ice Hockey, Time: ,Tue Dec 08 16:30:00 CET 2015, Time: ,Tue Dec 08 16:30:00 CET 2015, Event: ,Lukko v TPS, Favorite: ,Lukko, 66603   size:16.64,Price: ,2.12,TPS, 66803   size:67.66,Price: ,3.05,Tie, 60104   size:12.64,Price: ,4.1,x
1.122098750, Sport: ,Soccer, Time: ,Tue Dec 08 16:00:00 CET 2015, Time: ,Tue Dec 08 16:00:00 CET 2015, Event: ,GCE Villaralbo CF v UD Santa Marta, Favorite: ,GCE Villaralbo CF, 9301064   size:2.55,Price: ,1.34,UD Santa Marta, 6796961   size:2.55,Price: ,5.6,The Draw, 58805   size:2.55,Price: ,4.5,ok
1.122180619, Sport: ,Handball, Time: ,Tue Dec 08 20:45:00 CET 2015, Time: ,Tue Dec 08 20:45:00 CET 2015, Event: ,Denmark v Serbia, Favorite: ,Denmark, 602688   size:8.66,Price: ,1.11,Serbia, 2138737   size:18.0,Price: ,2.8,Draw, 330157   size:18.0,Price: ,2.1,ok
