1.122284831, Sport: ,Volleyball, Time: ,Sun Dec 20 18:00:00 CET 2015, Time: ,Sun Dec 20 18:00:00 CET 2015, Event: ,Itely Milano v Copra Ardelia Piacenza, Favorite: ,Itely Milano, 10410540   size:3.67,Price: ,1.62,Copra Ardelia Piacenza, 9134340   size:2.55,Price: ,2.32,x
1.122284832, Sport: ,Volleyball, Time: ,Sun Dec 20 18:00:00 CET 2015, Time: ,Sun Dec 20 18:00:00 CET 2015, Event: ,Trentino Volley v Vero Volley, Favorite: ,Trentino Volley, 3416132   size:2.55,Price: ,1.08,Vero Volley, 10410541   size:2.95,Price: ,6.2,ok
1.122328619, Sport: ,Soccer, Time: ,Sun Dec 20 16:30:00 CET 2015, Time: ,Sun Dec 20 16:30:00 CET 2015, Event: ,SD Rayo Cantabria v CD Siete Villas, Favorite: ,SD Rayo Cantabria, 9339277   size:9.2,Price: ,1.06,CD Siete Villas, 9320409   size:9.2,Price: ,1.06,The Draw, 58805   size:4.11,Price: ,3.05,x
1.122284830, Sport: ,Volleyball, Time: ,Sun Dec 20 17:30:00 CET 2015, Time: ,Sun Dec 20 17:30:00 CET 2015, Event: ,Exprivia Molfetta v Modena Volley, Favorite: ,Modena Volley, 8152103   size:7.5,Price: ,1.2,Exprivia Molfetta, 7928206   size:29.57,Price: ,4.6,ok
1.122307483, Sport: ,Basketball, Time: ,Sun Dec 20 12:35:00 CET 2015, Time: ,Sun Dec 20 12:35:00 CET 2015, Event: ,Jiangsu Dragons v Qingdao, Favorite: ,Jiangsu Dragons, 8926904   size:137.01,Price: ,1.3,Qingdao, 8926915   size:8.65,Price: ,3.85,ok
1.122254105, Sport: ,Soccer, Time: ,Sun Dec 20 12:30:00 CET 2015, Time: ,Sun Dec 20 12:30:00 CET 2015, Event: ,Denizlispor v 1461 Trabzon, Favorite: ,Denizlispor, 113123   size:3.68,Price: ,2.5,1461 Trabzon, 5289229   size:5.0,Price: ,3.15,The Draw, 58805   size:63.95,Price: ,3.25,ok
1.122254107, Sport: ,Soccer, Time: ,Sun Dec 20 15:00:00 CET 2015, Time: ,Sun Dec 20 15:00:00 CET 2015, Event: ,Yeni Malatyaspor v Samsunspor, Favorite: ,Samsunspor, 113124   size:3.96,Price: ,2.64,Yeni Malatyaspor, 5306085   size:162.46,Price: ,3.0,The Draw, 58805   size:14.93,Price: ,3.3,x
1.122253017, Sport: ,Soccer, Time: ,Sun Dec 20 14:00:00 CET 2015, Time: ,Sun Dec 20 14:00:00 CET 2015, Event: ,FC Koln (W) v Werder Bremen (W), Favorite: ,FC Koln (W), 9077540   size:9.45,Price: ,2.44,Werder Bremen (W), 10215613   size:92.58,Price: ,2.58,The Draw, 58805   size:84.77,Price: ,3.85,x
1.122316358, Sport: ,Basketball, Time: ,Sun Dec 20 12:15:00 CET 2015, Time: ,Sun Dec 20 12:15:00 CET 2015, Event: ,Breogan v Barcelona B, Favorite: ,Breogan, 5030324   size:498.54,Price: ,1.3,Barcelona B, 6719087   size:2.55,Price: ,3.8,x
1.122328565, Sport: ,Soccer, Time: ,Sun Dec 20 13:00:00 CET 2015, Time: ,Sun Dec 20 13:00:00 CET 2015, Event: ,UD Lanzarote v UD Las Zocas, Favorite: ,UD Lanzarote, 10336248   size:3.74,Price: ,1.13,UD Las Zocas, 7279451   size:2.69,Price: ,3.15,The Draw, 58805   size:4.11,Price: ,3.1,x
1.122328563, Sport: ,Soccer, Time: ,Sun Dec 20 13:00:00 CET 2015, Time: ,Sun Dec 20 13:00:00 CET 2015, Event: ,Real Sporting San Jose v UD Cruz Santa, Favorite: ,Real Sporting San Jose, 6117117   size:3.67,Price: ,1.72,UD Cruz Santa, 10185304   size:4.16,Price: ,4.1,The Draw, 58805   size:3.57,Price: ,3.6,ok
