1.121637834, Sport: ,Ice Hockey, Time: ,Wed Nov 11 17:30:00 CET 2015, Time: ,Wed Nov 11 17:30:00 CET 2015, Event: ,Tappara v KalPa, Favorite: ,Tappara, 66427   size:98.0,Price: ,1.89,KalPa, 275250   size:4.7,Price: ,3.8,Tie, 60104   size:58.0,Price: ,4.2,x
1.121637421, Sport: ,Ice Hockey, Time: ,Wed Nov 11 17:30:00 CET 2015, Time: ,Wed Nov 11 17:30:00 CET 2015, Event: ,Sapko v Tuto, Favorite: ,TuTo, 4196542   size:2.98,Price: ,2.18,Sapko, 4196539   size:20.31,Price: ,2.64,Tie, 60104   size:18.07,Price: ,4.9,x
1.121637422, Sport: ,Ice Hockey, Time: ,Wed Nov 11 17:30:00 CET 2015, Time: ,Wed Nov 11 17:30:00 CET 2015, Event: ,Jukurit v K Vantaa, Favorite: ,Jukurit, 272756   size:6.04,Price: ,1.52,K Vantaa, 2597484   size:103.63,Price: ,4.4,Tie, 60104   size:81.94,Price: ,5.3,ok
1.121637423, Sport: ,Ice Hockey, Time: ,Wed Nov 11 17:30:00 CET 2015, Time: ,Wed Nov 11 17:30:00 CET 2015, Event: ,Hokki v Hermes, Favorite: ,Hokki, 275251   size:4.45,Price: ,1.46,Hermes, 272755   size:14.37,Price: ,4.5,Tie, 60104   size:14.09,Price: ,6.0,ok
1.121745376, Sport: ,Soccer, Time: ,Wed Nov 11 13:30:00 CET 2015, Time: ,Wed Nov 11 13:30:00 CET 2015, Event: ,Cyprus U19 v Luxembourg U19, Favorite: ,Cyprus U19, 1482551   size:51.03,Price: ,1.54,Luxembourg U19, 2147614   size:40.14,Price: ,6.8,The Draw, 58805   size:32.92,Price: ,4.6,x
1.121726636, Sport: ,Tennis, Time: ,Wed Nov 11 14:15:00 CET 2015, Time: ,Wed Nov 11 14:15:00 CET 2015, Event: ,Lescure/Tabatruong v Cerretani/Moser, Favorite: ,Cerretani/Moser, 8621764   size:6.04,Price: ,1.14,Lescure/Tabatruong, 10507602   size:12.08,Price: ,3.3,ok
1.121716996, Sport: ,Tennis, Time: ,Wed Nov 11 14:15:00 CET 2015, Time: ,Wed Nov 11 14:15:00 CET 2015, Event: ,Gojowczyk v Celikbilek, Favorite: ,Peter Gojowczyk, 4691416   size:6.69,Price: ,1.05,Altug Celikbilek, 8842202   size:6.5,Price: ,13.0,ok
1.121652480, Sport: ,Soccer, Time: ,Wed Nov 11 15:00:00 CET 2015, Time: ,Wed Nov 11 15:00:00 CET 2015, Event: ,Savona v Arezzo, Favorite: ,Savona, 5924211   size:2.48,Price: ,2.62,Arezzo, 522048   size:4.93,Price: ,2.94,The Draw, 58805   size:2.55,Price: ,3.05,x
1.121651031, Sport: ,Soccer, Time: ,Wed Nov 11 14:30:00 CET 2015, Time: ,Wed Nov 11 14:30:00 CET 2015, Event: ,Chennaiyin v NorthEast Utd FC, Favorite: ,Chennaiyin, 8900344   size:3.71,Price: ,2.46,NorthEast Utd FC, 10360661   size:19.51,Price: ,3.15,The Draw, 58805   size:13.63,Price: ,3.35,x
1.121733801, Sport: ,Basketball, Time: ,Wed Nov 11 17:30:00 CET 2015, Time: ,Wed Nov 11 17:30:00 CET 2015, Event: ,Lukoil Academic v Maccabi R Lez, Favorite: ,Lukoil Academic, 677801   size:2.55,Price: ,1.91,Maccabi R Lez, 7758969   size:2.55,Price: ,1.93,x
