1.121724536, Sport: ,Darts, Time: ,Sun Nov 08 21:00:00 CET 2015, Time: ,Sun Nov 08 21:00:00 CET 2015, Event: ,Ian White v Steve Beaton, Favorite: ,Ian White, 4396149   size:654.0,Price: ,1.56,Steve Beaton, 2469729   size:11.21,Price: ,2.24,x
1.121600937, Sport: ,Ice Hockey, Time: ,Sun Nov 08 23:05:00 CET 2015, Time: ,Sun Nov 08 23:05:00 CET 2015, Event: ,Vancouver @ New Jersey, Favorite: ,Vancouver, 2109691   size:12.23,Price: ,2.52,New Jersey, 2112200   size:17.6,Price: ,2.6,Tie, 60104   size:3.98,Price: ,3.75,x
1.121664464, Sport: ,Basketball, Time: ,Sun Nov 08 20:45:00 CET 2015, Time: ,Sun Nov 08 20:45:00 CET 2015, Event: ,Armani Milano v Bologna, Favorite: ,Armani Milano, 952727   size:1102.1,Price: ,1.03,Bologna, 978665   size:9.3,Price: ,1.1,ok
1.121586429, Sport: ,Soccer, Time: ,Sun Nov 08 21:00:00 CET 2015, Time: ,Sun Nov 08 21:00:00 CET 2015, Event: ,Deportivo Lara v Carabobo FC, Favorite: ,Carabobo FC, 893607   size:181.03,Price: ,1.03,Deportivo Lara, 4908157   size:189.27,Price: ,2.48,The Draw, 58805   size:7.96,Price: ,3.2,x
1.121723925, Sport: ,Tennis, Time: ,Sun Nov 08 21:18:00 CET 2015, Time: ,Sun Nov 08 21:18:00 CET 2015, Event: ,T Paul v N Rubin, Favorite: ,Tommy Paul, 8859306   size:50.86,Price: ,1.71,Noah Rubin, 7593248   size:12.42,Price: ,2.36,x
1.121582388, Sport: ,Soccer, Time: ,Sun Nov 08 21:00:00 CET 2015, Time: ,Sun Nov 08 21:00:00 CET 2015, Event: ,CD Dragon v CD UES, Favorite: ,CD Dragon, 8467366   size:24.47,Price: ,1.03,CD UES, 8464811   size:24.47,Price: ,1.03,The Draw, 58805   size:24.47,Price: ,1.03,x
1.121600930, Sport: ,Ice Hockey, Time: ,Sun Nov 08 21:05:00 CET 2015, Time: ,Sun Nov 08 21:05:00 CET 2015, Event: ,Dallas @ Detroit, Favorite: ,Detroit, 975676   size:621.99,Price: ,1.5,Dallas, 2108116   size:8.21,Price: ,2.3,Tie, 60104   size:71.66,Price: ,3.15,x
1.121716398, Sport: ,Tennis, Time: ,Mon Nov 09 05:30:00 CET 2015, Time: ,Mon Nov 09 05:30:00 CET 2015, Event: ,Du Lee v Katayama, Favorite: ,Duckhee Lee, 8505197   size:2.55,Price: ,1.27,Sho Katayama, 8351069   size:2.55,Price: ,4.1,ok
1.121600971, Sport: ,Ice Hockey, Time: ,Sun Nov 08 23:05:00 CET 2015, Time: ,Sun Nov 08 23:05:00 CET 2015, Event: ,Boston @ NY Islanders, Favorite: ,NY Islanders, 60105   size:103.5,Price: ,2.24,Boston, 2112316   size:304.46,Price: ,3.05,Tie, 60104   size:108.01,Price: ,4.1,x
1.121652324, Sport: ,Soccer, Time: ,Sun Nov 08 22:00:00 CET 2015, Time: ,Sun Nov 08 22:00:00 CET 2015, Event: ,Rubio Nu v Olimpia, Favorite: ,Olimpia, 328699   size:63.3,Price: ,1.64,Rubio Nu, 5363620   size:22.46,Price: ,6.0,The Draw, 58805   size:58.4,Price: ,4.2,ok
1.121714416, Sport: ,Soccer, Time: ,Sun Nov 08 20:30:00 CET 2015, Time: ,Sun Nov 08 20:30:00 CET 2015, Event: ,LALA FC v Petroleros FC, Favorite: ,Petroleros FC, 10104477   size:100.0,Price: ,1.2,LALA FC, 10429536   size:12.61,Price: ,4.1,The Draw, 58805   size:58.87,Price: ,2.74,x
1.121703372, Sport: ,Soccer, Time: ,Mon Nov 09 00:00:00 CET 2015, Time: ,Mon Nov 09 00:00:00 CET 2015, Event: ,Greenbay Hoppers FC v Parham FC, Favorite: ,Greenbay Hoppers FC, 8018657   size:138.78,Price: ,1.06,Parham FC, 8031571   size:138.78,Price: ,1.06,The Draw, 58805   size:5.0,Price: ,2.9,ok
1.121582060, Sport: ,Soccer, Time: ,Sun Nov 08 21:30:00 CET 2015, Time: ,Sun Nov 08 21:30:00 CET 2015, Event: ,Arouca v Sporting Lisbon, Favorite: ,Sporting Lisbon, 2506293   size:52.43,Price: ,1.41,Arouca, 3413603   size:22.11,Price: ,10.5,The Draw, 58805   size:187.72,Price: ,5.0,ok
1.121703930, Sport: ,Soccer, Time: ,Sun Nov 08 22:00:00 CET 2015, Time: ,Sun Nov 08 22:00:00 CET 2015, Event: ,Londrina v Vila Nova, Favorite: ,Londrina, 4525642   size:5.24,Price: ,2.04,Vila Nova, 376829   size:2.55,Price: ,3.55,The Draw, 58805   size:2.55,Price: ,3.2,ok
1.121724654, Sport: ,Tennis, Time: ,Sun Nov 08 21:00:00 CET 2015, Time: ,Sun Nov 08 21:00:00 CET 2015, Event: ,P Touliatos v C Thompson, Favorite: ,Clay Thompson, 8260758   size:282.6,Price: ,1.01,Preston Touliatos, 10506877   size:40.75,Price: ,2.78,ok
1.121725028, Sport: ,Tennis, Time: ,Mon Nov 09 04:00:00 CET 2015, Time: ,Mon Nov 09 04:00:00 CET 2015, Event: ,Rungkat v Fukuda, Favorite: ,Christopher Rungkat, 7688190   size:2.86,Price: ,1.38,Sora Fukuda, 9628520   size:3.91,Price: ,2.88,ok
1.121575593, Sport: ,Soccer, Time: ,Sun Nov 08 21:00:00 CET 2015, Time: ,Sun Nov 08 21:00:00 CET 2015, Event: ,Bordeaux v Monaco, Favorite: ,Bordeaux, 10501   size:25.06,Price: ,2.7,Monaco, 361706   size:901.25,Price: ,3.25,The Draw, 58805   size:54.3,Price: ,3.0,ok
1.121642454, Sport: ,Soccer, Time: ,Sun Nov 08 21:00:00 CET 2015, Time: ,Sun Nov 08 21:00:00 CET 2015, Event: ,Instituto v Sportivo Belgrano, Favorite: ,Instituto, 897267   size:2.8,Price: ,1.57,Sportivo Belgrano, 5971675   size:4.81,Price: ,7.4,The Draw, 58805   size:50.57,Price: ,3.85,x
1.121724591, Sport: ,Darts, Time: ,Sun Nov 08 23:30:00 CET 2015, Time: ,Sun Nov 08 23:30:00 CET 2015, Event: ,Jelle Klaasen v Martin Adams, Favorite: ,Jelle Klaasen, 2414411   size:5.0,Price: ,1.91,Martin Adams, 2650132   size:3.05,Price: ,2.02,x
1.121710293, Sport: ,Soccer, Time: ,Sun Nov 08 21:30:00 CET 2015, Time: ,Sun Nov 08 21:30:00 CET 2015, Event: ,Monagas v Atletico Socopo, Favorite: ,Monagas, 224547   size:2.55,Price: ,1.59,Atletico Socopo, 10096564   size:3.11,Price: ,2.7,The Draw, 58805   size:3.48,Price: ,3.0,ok
1.121568153, Sport: ,Basketball, Time: ,Mon Nov 09 03:00:00 CET 2015, Time: ,Mon Nov 09 03:00:00 CET 2015, Event: ,Detroit @ Portland, Favorite: ,Portland, 13129   size:100.33,Price: ,1.83,Detroit, 13111   size:5.0,Price: ,2.14,x
1.121577454, Sport: ,Soccer, Time: ,Sun Nov 08 22:30:00 CET 2015, Time: ,Sun Nov 08 22:30:00 CET 2015, Event: ,Sport Recife v Gremio, Favorite: ,Sport Recife, 2405306   size:474.68,Price: ,2.42,Gremio, 198134   size:28.51,Price: ,3.4,The Draw, 58805   size:53.4,Price: ,3.35,ok
