1.121376284, Sport: ,Tennis, Time: ,Wed Oct 21 16:00:00 CEST 2015, Time: ,Wed Oct 21 16:00:00 CEST 2015, Event: ,Kovalets v Frenkel, Favorite: ,Nicole Frenkel, 9442839   size:2.55,Price: ,1.45,Sofiya Kovalets, 8535293   size:2.55,Price: ,2.22,x
1.121233549, Sport: ,Soccer, Time: ,Wed Oct 21 20:00:00 CEST 2015, Time: ,Wed Oct 21 20:00:00 CEST 2015, Event: ,Stjarnan U19 v Elfsborg U19, Favorite: ,Elfsborg U19, 7236973   size:2.55,Price: ,1.28,Stjarnan U19, 10317701   size:4.93,Price: ,6.0,The Draw, 58805   size:14.79,Price: ,4.8,x
1.121120229, Sport: ,Volleyball, Time: ,Wed Oct 21 12:00:00 CEST 2015, Time: ,Wed Oct 21 12:00:00 CEST 2015, Event: ,Incheon Korean Air Jumb v Seoul Woori Card Hansae, Favorite: ,Incheon Korean Air Jumb, 10389010   size:2774.04,Price: ,1.01,Seoul Woori Card Hansae, 10391680   size:5.72,Price: ,1.42,x
1.121351022, Sport: ,Basketball, Time: ,Wed Oct 21 17:30:00 CEST 2015, Time: ,Wed Oct 21 17:30:00 CEST 2015, Event: ,Siauliai v Juventus, Favorite: ,Siauliai, 647319   size:8.21,Price: ,1.03,Juventus, 5244996   size:8.21,Price: ,1.03,x
1.121376286, Sport: ,Tennis, Time: ,Wed Oct 21 17:30:00 CEST 2015, Time: ,Wed Oct 21 17:30:00 CEST 2015, Event: ,Gabueva v Stojanovic, Favorite: ,Nina Stojanovic, 9028632   size:3.47,Price: ,1.44,Angelina Gabueva, 7533708   size:2.29,Price: ,2.18,x
1.121371037, Sport: ,Basketball, Time: ,Wed Oct 21 14:30:00 CEST 2015, Time: ,Wed Oct 21 14:30:00 CEST 2015, Event: ,Galatasaray (W) v Dynamo Kursk (W), Favorite: ,Dynamo Kursk (W), 10411144   size:3.97,Price: ,1.26,Galatasaray (W), 5290909   size:4.52,Price: ,2.52,x
1.121374946, Sport: ,Tennis, Time: ,Wed Oct 21 17:30:00 CEST 2015, Time: ,Wed Oct 21 17:30:00 CEST 2015, Event: ,Koukalova v S Kuznetsova, Favorite: ,Svetlana Kuznetsova, 2256501   size:282.92,Price: ,1.2,Klara Koukalova, 8445700   size:5.0,Price: ,5.5,ok
1.121351547, Sport: ,Basketball, Time: ,Wed Oct 21 22:00:00 CEST 2015, Time: ,Wed Oct 21 22:00:00 CEST 2015, Event: ,Gran Canaria v Ludwigsburg, Favorite: ,Gran Canaria, 945506   size:2.55,Price: ,1.13,Ludwigsburg, 689542   size:2.55,Price: ,1.96,ok
1.121351544, Sport: ,Basketball, Time: ,Wed Oct 21 21:45:00 CEST 2015, Time: ,Wed Oct 21 21:45:00 CEST 2015, Event: ,Brindisi v Le Mans, Favorite: ,Le Mans, 678096   size:2.55,Price: ,1.3,Brindisi, 6697864   size:2.55,Price: ,1.36,ok
1.121362781, Sport: ,Tennis, Time: ,Wed Oct 21 12:30:00 CEST 2015, Time: ,Wed Oct 21 12:30:00 CEST 2015, Event: ,Guez v Jacq, Favorite: ,David Guez, 2263683   size:2.55,Price: ,1.19,Gregoire Jacq, 8427051   size:2.77,Price: ,4.7,ok
1.121359252, Sport: ,Soccer, Time: ,Wed Oct 21 17:00:00 CEST 2015, Time: ,Wed Oct 21 17:00:00 CEST 2015, Event: ,Ismaily v El Entag El Harby, Favorite: ,Ismaily, 5170870   size:3.55,Price: ,1.73,El Entag El Harby, 5170840   size:2.55,Price: ,5.0,The Draw, 58805   size:4.38,Price: ,3.3,ok
1.121362387, Sport: ,Tennis, Time: ,Wed Oct 21 15:00:00 CEST 2015, Time: ,Wed Oct 21 15:00:00 CEST 2015, Event: ,Bednarek/Martin v Junaid/Zelenay, Favorite: ,Junaid/Zelenay, 8943975   size:2.92,Price: ,1.71,Bednarek/Martin, 10250813   size:2.38,Price: ,2.1,ok
1.121355174, Sport: ,Soccer, Time: ,Wed Oct 21 14:30:00 CEST 2015, Time: ,Wed Oct 21 14:30:00 CEST 2015, Event: ,Ittihad Al Ramtha v Al Sarhan, Favorite: ,Ittihad Al Ramtha, 8149517   size:2.55,Price: ,1.12,Al Sarhan, 7663429   size:2.55,Price: ,2.94,The Draw, 58805   size:2.55,Price: ,2.94,x
1.121362789, Sport: ,Tennis, Time: ,Wed Oct 21 11:30:00 CEST 2015, Time: ,Wed Oct 21 11:30:00 CEST 2015, Event: ,Chen/Propoggia v Nagal/Vardhan, Favorite: ,Chen/Propoggia, 10433987   size:4.36,Price: ,1.41,Nagal/Vardhan, 10433982   size:7.03,Price: ,2.68,ok
1.121156003, Sport: ,Handball, Time: ,Wed Oct 21 19:00:00 CEST 2015, Time: ,Wed Oct 21 19:00:00 CEST 2015, Event: ,Alingsas v Karlskrona, Favorite: ,Alingsas, 2929600   size:67.97,Price: ,1.08,Karlskrona, 10260449   size:45.42,Price: ,8.6,Draw, 330157   size:31.38,Price: ,12.0,ok
1.121233439, Sport: ,Soccer, Time: ,Wed Oct 21 16:00:00 CEST 2015, Time: ,Wed Oct 21 16:00:00 CEST 2015, Event: ,Ravan Baku U19 v Spartak Moscow U19, Favorite: ,Spartak Moscow U19, 10317869   size:2.73,Price: ,1.09,Ravan Baku U19, 8110456   size:3.94,Price: ,6.0,The Draw, 58805   size:18.0,Price: ,2.9,x
1.121156000, Sport: ,Handball, Time: ,Wed Oct 21 19:00:00 CEST 2015, Time: ,Wed Oct 21 19:00:00 CEST 2015, Event: ,Guif v Savehof, Favorite: ,Guif, 370062   size:3.71,Price: ,1.66,Savehof, 374429   size:2.36,Price: ,2.6,Draw, 330157   size:49.29,Price: ,8.0,x
1.121235218, Sport: ,Soccer, Time: ,Wed Oct 21 12:00:00 CEST 2015, Time: ,Wed Oct 21 12:00:00 CEST 2015, Event: ,G-Osaka v Guangzhou FC, Favorite: ,Guangzhou FC, 5723376   size:339.32,Price: ,2.32,G-Osaka, 441083   size:23.38,Price: ,3.1,The Draw, 58805   size:3.26,Price: ,3.7,x
1.121364601, Sport: ,Tennis, Time: ,Wed Oct 21 17:00:00 CEST 2015, Time: ,Wed Oct 21 17:00:00 CEST 2015, Event: ,Allertova v Doi, Favorite: ,Denisa Allertova, 8679183   size:9.3,Price: ,1.49,Misaki Doi, 4729711   size:58.36,Price: ,2.94,x
1.121351491, Sport: ,Basketball, Time: ,Wed Oct 21 19:00:00 CEST 2015, Time: ,Wed Oct 21 19:00:00 CEST 2015, Event: ,Vrsac v Konstantin, Favorite: ,Vrsac, 7735778   size:8.21,Price: ,1.03,Konstantin, 7735980   size:8.21,Price: ,1.03,x
1.121351538, Sport: ,Basketball, Time: ,Wed Oct 21 20:00:00 CEST 2015, Time: ,Wed Oct 21 20:00:00 CEST 2015, Event: ,Besiktas v Avtodor, Favorite: ,Besiktas, 631288   size:3.62,Price: ,1.38,Avtodor, 8801689   size:4.09,Price: ,3.2,x
1.121350964, Sport: ,Basketball, Time: ,Wed Oct 21 18:00:00 CEST 2015, Time: ,Wed Oct 21 18:00:00 CEST 2015, Event: ,Usti Nad Labem v Pardubice, Favorite: ,Usti Nad Labem, 7758609   size:4.11,Price: ,1.06,Pardubice, 5942835   size:2.55,Price: ,1.29,x
1.121350962, Sport: ,Basketball, Time: ,Wed Oct 21 19:00:00 CEST 2015, Time: ,Wed Oct 21 19:00:00 CEST 2015, Event: ,Opava v Brno, Favorite: ,Opava, 7758596   size:8.21,Price: ,1.03,Brno, 6736685   size:5.72,Price: ,1.17,ok
1.121350963, Sport: ,Basketball, Time: ,Wed Oct 21 18:00:00 CEST 2015, Time: ,Wed Oct 21 18:00:00 CEST 2015, Event: ,USK Praha v Kolin, Favorite: ,Usk Praha, 6851155   size:8.21,Price: ,1.03,Kolin, 7758592   size:5.72,Price: ,1.17,ok
1.121351535, Sport: ,Basketball, Time: ,Wed Oct 21 19:00:00 CEST 2015, Time: ,Wed Oct 21 19:00:00 CEST 2015, Event: ,Banvit v Unics Kazan, Favorite: ,Unics Kazan, 5134712   size:8.21,Price: ,1.03,Banvit, 2125588   size:2.8,Price: ,1.78,ok
1.121350960, Sport: ,Basketball, Time: ,Wed Oct 21 18:00:00 CEST 2015, Time: ,Wed Oct 21 18:00:00 CEST 2015, Event: ,Hradec v Nymburk, Favorite: ,Nymburk, 2586030   size:4.11,Price: ,1.06,Hradec, 7758594   size:2.55,Price: ,1.28,ok
