1.119856906, Sport: ,Basketball, Time: ,Sat Aug 08 14:00:00 CEST 2015, Time: ,Sat Aug 08 14:00:00 CEST 2015, Event: ,Germany v Czech Republic, Favorite: ,Germany, 208009   size:2.49,Price: ,1.33,Czech Republic, 1228989   size:6.72,Price: ,3.5,ok
1.119764685, Sport: ,Soccer, Time: ,Sat Aug 08 16:00:00 CEST 2015, Time: ,Sat Aug 08 16:00:00 CEST 2015, Event: ,Lincoln v Cheltenham, Favorite: ,Cheltenham, 18559   size:6.5,Price: ,2.74,Lincoln, 148737   size:2.92,Price: ,2.88,The Draw, 58805   size:148.61,Price: ,3.4,x
1.119764683, Sport: ,Soccer, Time: ,Sat Aug 08 16:00:00 CEST 2015, Time: ,Sat Aug 08 16:00:00 CEST 2015, Event: ,Kidderminster v Grimsby, Favorite: ,Grimsby, 48001   size:35.39,Price: ,1.86,The Draw, 58805   size:9.0,Price: ,3.65,Kidderminster, 18560   size:96.81,Price: ,4.7,x
1.119763358, Sport: ,Soccer, Time: ,Sat Aug 08 16:00:00 CEST 2015, Time: ,Sat Aug 08 16:00:00 CEST 2015, Event: ,Berwick v Montrose, Favorite: ,Berwick, 69812   size:5.0,Price: ,1.76,The Draw, 58805   size:8.75,Price: ,4.2,Montrose, 674746   size:22.42,Price: ,4.6,ok
1.119764689, Sport: ,Soccer, Time: ,Sat Aug 08 16:00:00 CEST 2015, Time: ,Sat Aug 08 16:00:00 CEST 2015, Event: ,Torquay v Macclesfield, Favorite: ,Torquay, 50808   size:2.82,Price: ,2.2,The Draw, 58805   size:13.41,Price: ,3.4,Macclesfield, 69817   size:7.2,Price: ,3.8,ok
1.119764687, Sport: ,Soccer, Time: ,Sat Aug 08 16:00:00 CEST 2015, Time: ,Sat Aug 08 16:00:00 CEST 2015, Event: ,Southport v Eastleigh, Favorite: ,Eastleigh, 1222691   size:17.96,Price: ,2.0,The Draw, 58805   size:8.61,Price: ,3.7,Southport, 18568   size:10.31,Price: ,4.0,ok
1.119764681, Sport: ,Soccer, Time: ,Sat Aug 08 16:00:00 CEST 2015, Time: ,Sat Aug 08 16:00:00 CEST 2015, Event: ,Chester v Braintree, Favorite: ,Chester, 18572   size:6.37,Price: ,2.12,The Draw, 58805   size:2.26,Price: ,3.6,Braintree, 1282860   size:204.53,Price: ,3.9,ok
1.119754889, Sport: ,Soccer, Time: ,Sat Aug 08 12:00:00 CEST 2015, Time: ,Sat Aug 08 12:00:00 CEST 2015, Event: ,PK35 Vantaa (W) v Merilappi Utd (W), Favorite: ,Merilappi Utd (W), 8470562   size:141.14,Price: ,1.06,PK35 Vantaa (W), 6419277   size:4511.0,Price: ,1.09,The Draw, 58805   size:2.0,Price: ,1.27,x
1.119901662, Sport: ,Soccer, Time: ,Sat Aug 08 16:00:00 CEST 2015, Time: ,Sat Aug 08 16:00:00 CEST 2015, Event: ,FK Dinamo-GTS Stavropol v Spartak Nalchik, Favorite: ,FK Dinamo-GTS Stavropol, 9383797   size:141.14,Price: ,1.06,Spartak Nalchik, 1419102   size:5.0,Price: ,1.83,The Draw, 58805   size:12.5,Price: ,2.1,x
1.119309020, Sport: ,Soccer, Time: ,Sat Aug 08 16:00:00 CEST 2015, Time: ,Sat Aug 08 16:00:00 CEST 2015, Event: ,Exeter v Yeovil, Favorite: ,Exeter, 66243   size:79.9,Price: ,2.56,Yeovil, 132555   size:29.23,Price: ,3.0,The Draw, 58805   size:2.4,Price: ,3.4,ok
1.119770791, Sport: ,Soccer, Time: ,Sat Aug 08 16:30:00 CEST 2015, Time: ,Sat Aug 08 16:30:00 CEST 2015, Event: ,Cherno More v Levski Sofia, Favorite: ,Cherno More, 427650   size:65.7,Price: ,1.99,The Draw, 58805   size:2.61,Price: ,3.4,Levski Sofia, 44823   size:27.17,Price: ,4.4,x
1.119764014, Sport: ,Soccer, Time: ,Sat Aug 08 16:00:00 CEST 2015, Time: ,Sat Aug 08 16:00:00 CEST 2015, Event: ,Dundee v Hearts, Favorite: ,Hearts, 47993   size:200.09,Price: ,2.74,Dundee, 13133   size:12.5,Price: ,2.82,The Draw, 58805   size:156.39,Price: ,3.5,ok
1.119763288, Sport: ,Soccer, Time: ,Sat Aug 08 16:00:00 CEST 2015, Time: ,Sat Aug 08 16:00:00 CEST 2015, Event: ,Arbroath v Elgin, Favorite: ,Arbroath, 306045   size:4.59,Price: ,1.79,The Draw, 58805   size:5.0,Price: ,4.1,Elgin, 615041   size:2.55,Price: ,4.6,x
1.119823158, Sport: ,Rugby League, Time: ,Sat Aug 08 16:00:00 CEST 2015, Time: ,Sat Aug 08 16:00:00 CEST 2015, Event: ,London Broncos v Doncaster, Favorite: ,Doncaster, 25403   size:353.12,Price: ,1.01,Draw, 11126   size:57.99,Price: ,70.0,x
1.119905851, Sport: ,Soccer, Time: ,Sat Aug 08 13:00:00 CEST 2015, Time: ,Sat Aug 08 13:00:00 CEST 2015, Event: ,FC Zlin U19 v FC Slovan Liberec U19, Favorite: ,FC Slovan Liberec U19, 6584732   size:141.14,Price: ,1.06,The Draw, 58805   size:2.0,Price: ,1.27,x
1.119933129, Sport: ,Snooker, Time: ,Sat Aug 08 15:30:00 CEST 2015, Time: ,Sat Aug 08 15:30:00 CEST 2015, Event: ,Ning v McLeod, Favorite: ,Rory McLeod, 2328286   size:2.92,Price: ,1.55,Lu Ning, 6185897   size:4.4,Price: ,2.42,ok
1.119936878, Sport: ,Tennis, Time: ,Sat Aug 08 13:35:00 CEST 2015, Time: ,Sat Aug 08 13:35:00 CEST 2015, Event: ,Chiudinelli v Co Smith, Favorite: ,Marco Chiudinelli, 2263632   size:4.67,Price: ,1.56,Connor Smith, 8732289   size:2.55,Price: ,2.5,ok
1.119938499, Sport: ,Tennis, Time: ,Sat Aug 08 10:00:00 CEST 2015, Time: ,Sat Aug 08 10:00:00 CEST 2015, Event: ,Becuzzi v Mastnak, Favorite: , Anze Mastnak , 10135716   size:54.0,Price: ,1.04,x
1.119932396, Sport: ,Tennis, Time: ,Sat Aug 08 11:00:00 CEST 2015, Time: ,Sat Aug 08 11:00:00 CEST 2015, Event: ,Almagro/Berlocq v Haase/Kontinen, Favorite: ,Haase/Kontinen, 10105796   size:2.11,Price: ,1.57,Almagro/Berlocq, 10105799   size:33.07,Price: ,2.5,x
1.119308524, Sport: ,Soccer, Time: ,Sat Aug 08 16:00:00 CEST 2015, Time: ,Sat Aug 08 16:00:00 CEST 2015, Event: ,Fleetwood Town v Southend, Favorite: ,Fleetwood Town, 3396710   size:129.57,Price: ,2.4,Southend, 69719   size:28.6,Price: ,3.3,The Draw, 58805   size:142.35,Price: ,3.35,x
1.119309616, Sport: ,Soccer, Time: ,Sat Aug 08 16:00:00 CEST 2015, Time: ,Sat Aug 08 16:00:00 CEST 2015, Event: ,Mansfield v Carlisle, Favorite: ,Mansfield, 69716   size:175.44,Price: ,2.5,Carlisle, 18561   size:46.71,Price: ,3.1,The Draw, 58805   size:26.27,Price: ,3.35,x
1.119938491, Sport: ,Tennis, Time: ,Sat Aug 08 10:00:00 CEST 2015, Time: ,Sat Aug 08 10:00:00 CEST 2015, Event: ,Dischinger v Kirche, Favorite: ,Leonardo Kirche, 6603940   size:2.55,Price: ,1.1,Eduardo Dischinger, 8326660   size:2.55,Price: ,1.23,ok
1.119759900, Sport: ,Soccer, Time: ,Sat Aug 08 16:00:00 CEST 2015, Time: ,Sat Aug 08 16:00:00 CEST 2015, Event: ,Hacken v Gefle, Favorite: ,Hacken, 30681   size:22.0,Price: ,1.62,The Draw, 58805   size:12.45,Price: ,4.2,Gefle, 151470   size:97.64,Price: ,6.6,x
1.119938495, Sport: ,Tennis, Time: ,Sat Aug 08 15:00:00 CEST 2015, Time: ,Sat Aug 08 15:00:00 CEST 2015, Event: ,M Berrettini v Neis, Favorite: ,Matteo Berrettini, 8962036   size:2.55,Price: ,1.1,Fabricio Neis, 8326758   size:2.55,Price: ,1.18,ok
1.119904527, Sport: ,Soccer, Time: ,Sat Aug 08 15:30:00 CEST 2015, Time: ,Sat Aug 08 15:30:00 CEST 2015, Event: ,Alashkert v Gandzasar Kapan, Favorite: ,Alashkert, 9686394   size:2.16,Price: ,1.53,The Draw, 58805   size:3.36,Price: ,4.0,Gandzasar Kapan, 4043809   size:2.6,Price: ,5.4,x
1.119926837, Sport: ,Tennis, Time: ,Sat Aug 08 11:50:00 CEST 2015, Time: ,Sat Aug 08 11:50:00 CEST 2015, Event: ,M Granollers v Donskoy, Favorite: ,Marcel Granollers, 3035263   size:2.82,Price: ,1.47,Evgeny Donskoy, 3391304   size:3.76,Price: ,2.72,x
1.119905290, Sport: ,Soccer, Time: ,Sat Aug 08 11:00:00 CEST 2015, Time: ,Sat Aug 08 11:00:00 CEST 2015, Event: ,KS Ruch Chorzow U19 v KKPN Baltyk Kosz U19, Favorite: ,KKPN Baltyk Kosz U19, 7619087   size:141.14,Price: ,1.06,The Draw, 58805   size:2.0,Price: ,1.27,x
