1.122576924, Sport: ,Soccer, Time: ,Thu Jan 21 20:45:00 CET 2016, Time: ,Thu Jan 21 20:45:00 CET 2016, Event: ,Gent v Club Brugge, Favorite: ,Gent, 350594   size:104.08,Price: ,2.22,Club Brugge, 10762   size:1309.48,Price: ,3.55,The Draw, 58805   size:620.12,Price: ,3.65,ok
1.122668227, Sport: ,Ice Hockey, Time: ,Fri Jan 22 17:30:00 CET 2016, Time: ,Fri Jan 22 17:30:00 CET 2016, Event: ,Jukurit Mikkeli v Roki, Favorite: ,Jukurit Mikkeli, 10669697   size:55.38,Price: ,1.01,Roki, 10672367   size:55.38,Price: ,1.01,Tie, 60104   size:858.0,Price: ,1.01,ok
1.122667017, Sport: ,Soccer, Time: ,Thu Jan 21 21:30:00 CET 2016, Time: ,Thu Jan 21 21:30:00 CET 2016, Event: ,Trujillanos v Llaneros, Favorite: ,Trujillanos, 1224046   size:3.85,Price: ,2.1,Llaneros, 7658017   size:2.55,Price: ,3.35,The Draw, 58805   size:2.0,Price: ,3.55,x
1.122668864, Sport: ,Ice Hockey, Time: ,Fri Jan 22 01:35:00 CET 2016, Time: ,Fri Jan 22 01:35:00 CET 2016, Event: ,Carolina @ Toronto, Favorite: ,Toronto, 2108073   size:232.93,Price: ,2.44,Carolina, 2108027   size:321.67,Price: ,2.72,Tie, 60104   size:334.0,Price: ,3.95,x
1.122590710, Sport: ,Soccer, Time: ,Fri Jan 22 14:10:00 CET 2016, Time: ,Fri Jan 22 14:10:00 CET 2016, Event: ,Ajman Club v Ras Al Khaimah, Favorite: ,Ras Al Khaimah, 6329686   size:2.72,Price: ,1.06,Ajman Club, 6057904   size:7.91,Price: ,1.07,The Draw, 58805   size:15.72,Price: ,2.88,x
1.122590435, Sport: ,Soccer, Time: ,Fri Jan 22 16:00:00 CET 2016, Time: ,Fri Jan 22 16:00:00 CET 2016, Event: ,MC Oran v CS Constantine, Favorite: ,MC Oran, 8306133   size:2.55,Price: ,1.55,CS Constantine, 7598561   size:2.55,Price: ,5.8,The Draw, 58805   size:2.55,Price: ,3.55,x
1.122675889, Sport: ,Soccer, Time: ,Fri Jan 22 17:00:00 CET 2016, Time: ,Fri Jan 22 17:00:00 CET 2016, Event: ,Al Shaab v Al Fujairah (UAE), Favorite: ,Al Fujairah (UAE), 8855413   size:7.54,Price: ,1.51,Al Shaab, 3618588   size:7.54,Price: ,2.24,The Draw, 58805   size:2.55,Price: ,2.92,ok
1.122590832, Sport: ,Soccer, Time: ,Fri Jan 22 13:00:00 CET 2016, Time: ,Fri Jan 22 13:00:00 CET 2016, Event: ,FC Inter v PK-35 Vantaa, Favorite: ,FC Inter, 139505   size:5.0,Price: ,2.04,PK-35 Vantaa, 6324459   size:21.36,Price: ,3.65,The Draw, 58805   size:26.74,Price: ,4.0,x
1.122666681, Sport: ,Soccer, Time: ,Fri Jan 22 00:30:00 CET 2016, Time: ,Fri Jan 22 00:30:00 CET 2016, Event: ,Belo Jardim FC v CA do Porto, Favorite: ,CA do Porto, 9143644   size:2.55,Price: ,2.02,Belo Jardim FC, 6185732   size:3.9,Price: ,3.6,The Draw, 58805   size:2.55,Price: ,3.6,ok
1.122668344, Sport: ,Basketball, Time: ,Fri Jan 22 02:05:00 CET 2016, Time: ,Fri Jan 22 02:05:00 CET 2016, Event: ,Los Angeles Clippers @ Cleveland Cavaliers, Favorite: ,Cleveland, 13112   size:101.48,Price: ,1.41,LA Clippers, 237489   size:139.5,Price: ,3.35,ok
1.122653538, Sport: ,Soccer, Time: ,Fri Jan 22 14:00:00 CET 2016, Time: ,Fri Jan 22 14:00:00 CET 2016, Event: ,Beitar Tel Aviv Ramla v Hapoel Jerusalem, Favorite: ,Beitar Tel Aviv Ramla, 6021023   size:2.55,Price: ,1.9,Hapoel Jerusalem, 5810348   size:3.59,Price: ,3.85,The Draw, 58805   size:2.55,Price: ,3.5,x
1.122659519, Sport: ,Ice Hockey, Time: ,Thu Jan 21 19:00:00 CET 2016, Time: ,Thu Jan 21 19:00:00 CET 2016, Event: ,Skelleftea AIK v Linkopings HC, Favorite: ,Linkopings HC, 61443   size:3.0,Price: ,1.5,Skelleftea AIK, 8842646   size:5.0,Price: ,1.6,Tie, 60104   size:6.0,Price: ,3.0,ok
1.122678994, Sport: ,Tennis, Time: ,Thu Jan 21 19:00:00 CET 2016, Time: ,Thu Jan 21 19:00:00 CET 2016, Event: ,Dutra Silva v Clezar, Favorite: ,Rogerio Dutra Silva, 2301068   size:121.84,Price: ,1.67,Guilherme Clezar, 5304142   size:12.1,Price: ,2.36,x
1.122679323, Sport: ,Tennis, Time: ,Thu Jan 21 19:00:00 CET 2016, Time: ,Thu Jan 21 19:00:00 CET 2016, Event: ,Andreozzi v And Martin, Favorite: ,Guido Andreozzi, 6603914   size:5.46,Price: ,1.47,Andrej Martin, 5071877   size:20.18,Price: ,2.86,x
1.122659513, Sport: ,Ice Hockey, Time: ,Thu Jan 21 19:00:00 CET 2016, Time: ,Thu Jan 21 19:00:00 CET 2016, Event: ,Lulea Hockey v Karlskrona HK, Favorite: ,Lulea Hockey, 10653588   size:20.0,Price: ,1.05,Karlskrona HK, 7670167   size:14.36,Price: ,4.0,Tie, 60104   size:14.36,Price: ,4.0,ok
1.122694569, Sport: ,Basketball, Time: ,Thu Jan 21 19:00:00 CET 2016, Time: ,Thu Jan 21 19:00:00 CET 2016, Event: ,Monaco v Chalon Saone, Favorite: ,Monaco, 8074967   size:5.75,Price: ,1.33,Chalon Saone, 1471819   size:2.0,Price: ,3.85,ok
1.122659465, Sport: ,Volleyball, Time: ,Thu Jan 21 20:30:00 CET 2016, Time: ,Thu Jan 21 20:30:00 CET 2016, Event: ,Euphony Asse-Lennik v Dragons Lugano, Favorite: ,DRAGONS LUGANO, 10444789   size:2.62,Price: ,1.03,Euphony Asse-Lennik, 6068588   size:22.38,Price: ,1.31,x
1.122667409, Sport: ,Soccer, Time: ,Thu Jan 21 21:30:00 CET 2016, Time: ,Thu Jan 21 21:30:00 CET 2016, Event: ,V de Santa Brigida v CD Mostoles, Favorite: ,V de Santa Brigida, 2522836   size:8.91,Price: ,2.06,CD Mostoles, 9453568   size:3.94,Price: ,3.5,The Draw, 58805   size:2.0,Price: ,3.75,x
1.122677032, Sport: ,Soccer, Time: ,Fri Jan 22 11:00:00 CET 2016, Time: ,Fri Jan 22 11:00:00 CET 2016, Event: ,Maccabi Shaarayim v Bnei Eilat, Favorite: ,Maccabi Shaarayim, 9122530   size:11.95,Price: ,1.06,Bnei Eilat, 10564270   size:11.95,Price: ,1.06,The Draw, 58805   size:15.72,Price: ,2.88,ok
1.122668852, Sport: ,Ice Hockey, Time: ,Fri Jan 22 01:05:00 CET 2016, Time: ,Fri Jan 22 01:05:00 CET 2016, Event: ,Philadelphia @ Pittsburgh, Favorite: ,Pittsburgh, 2115995   size:545.89,Price: ,1.95,Philadelphia, 2109791   size:5.54,Price: ,3.55,Tie, 60104   size:254.0,Price: ,4.2,ok
1.122668334, Sport: ,Basketball, Time: ,Fri Jan 22 02:05:00 CET 2016, Time: ,Fri Jan 22 02:05:00 CET 2016, Event: ,Detroit Pistons @ New Orleans Pelicans, Favorite: ,New Orleans, 6860646   size:71.69,Price: ,1.84,Detroit, 13111   size:2.21,Price: ,2.08,ok
1.122669786, Sport: ,Tennis, Time: ,Fri Jan 22 06:45:00 CET 2016, Time: ,Fri Jan 22 06:45:00 CET 2016, Event: ,Chiudinelli v Zhe Li, Favorite: ,Marco Chiudinelli, 2263632   size:35.92,Price: ,1.29,Zhe Li, 5038271   size:3.85,Price: ,3.8,ok
1.122590545, Sport: ,Soccer, Time: ,Fri Jan 22 11:00:00 CET 2016, Time: ,Fri Jan 22 11:00:00 CET 2016, Event: ,MC Oran U21 v CS Constantine U21, Favorite: ,MC Oran U21, 8316599   size:2.55,Price: ,1.41,CS Constantine U21, 7708856   size:12.59,Price: ,6.2,The Draw, 58805   size:22.19,Price: ,3.95,x
1.122668177, Sport: ,Ice Hockey, Time: ,Fri Jan 22 17:30:00 CET 2016, Time: ,Fri Jan 22 17:30:00 CET 2016, Event: ,Kookoo Kouvola v Pelicans Lahti, Favorite: ,Pelicans Lahti, 9122536   size:5.62,Price: ,2.36,KooKoo Kouvola, 10653585   size:5.12,Price: ,2.68,Tie, 60104   size:99.0,Price: ,4.1,ok
1.122646043, Sport: ,Basketball, Time: ,Thu Jan 21 20:45:00 CET 2016, Time: ,Thu Jan 21 20:45:00 CET 2016, Event: ,Real Madrid v Barcelona, Favorite: ,Real Madrid, 266274   size:6.63,Price: ,1.63,Barcelona, 266269   size:222.91,Price: ,2.52,x
1.122675815, Sport: ,Soccer, Time: ,Fri Jan 22 17:00:00 CET 2016, Time: ,Fri Jan 22 17:00:00 CET 2016, Event: ,Al Jazira (UAE) v Al Sharjah, Favorite: ,Al Jazira (UAE), 9300989   size:4.02,Price: ,1.88,Al Sharjah, 3607226   size:3.45,Price: ,3.05,The Draw, 58805   size:12.5,Price: ,3.35,x
1.122668053, Sport: ,Ice Hockey, Time: ,Fri Jan 22 18:30:00 CET 2016, Time: ,Fri Jan 22 18:30:00 CET 2016, Event: ,Sparta Prague v HC Chomutov, Favorite: ,Sparta Prague, 284689   size:12.1,Price: ,1.44,HC Chomutov, 9020002   size:96.34,Price: ,4.4,Tie, 60104   size:93.58,Price: ,4.5,ok
1.122659508, Sport: ,Ice Hockey, Time: ,Thu Jan 21 19:00:00 CET 2016, Time: ,Thu Jan 21 19:00:00 CET 2016, Event: ,Frolunda HC v Brynas IF, Favorite: ,Frolunda HC, 927578   size:6.0,Price: ,1.1,Brynas IF, 61438   size:3.0,Price: ,2.0,Tie, 60104   size:6.0,Price: ,3.0,ok
