1.122625477, Sport: ,Soccer, Time: ,Sun Jan 17 12:00:00 CET 2016, Time: ,Sun Jan 17 12:00:00 CET 2016, Event: ,CF Montanesa v CD Masnou, Favorite: ,CF Montanesa, 9339211   size:3.25,Price: ,1.58,CD Masnou, 7977281   size:52.98,Price: ,4.4,The Draw, 58805   size:58.34,Price: ,3.55,ok
1.122624540, Sport: ,Soccer, Time: ,Sun Jan 17 12:00:00 CET 2016, Time: ,Sun Jan 17 12:00:00 CET 2016, Event: ,Albacete Balompie II v CP Villarrobledo, Favorite: ,Albacete Balompie II, 8041135   size:3.41,Price: ,2.42,CP Villarrobledo, 9414421   size:4.24,Price: ,2.68,The Draw, 58805   size:3.96,Price: ,3.2,x
1.122554645, Sport: ,Rugby Union, Time: ,Sun Jan 17 16:15:00 CET 2016, Time: ,Sun Jan 17 16:15:00 CET 2016, Event: ,Harlequins v Cardiff, Favorite: ,Harlequins, 37893   size:5.0,Price: ,1.13,Cardiff, 8880   size:114.42,Price: ,6.6,Draw, 246289   size:8.68,Price: ,34.0,ok
1.122583691, Sport: ,Ice Hockey, Time: ,Sun Jan 17 17:00:00 CET 2016, Time: ,Sun Jan 17 17:00:00 CET 2016, Event: ,Frolunda Hc v Rogle Bk, Favorite: ,Rogle BK, 4138401   size:13.74,Price: ,1.04,Frolunda HC, 927578   size:7.85,Price: ,1.07,Tie, 60104   size:53.0,Price: ,5.2,x
1.122583570, Sport: ,Ice Hockey, Time: ,Sun Jan 17 14:00:00 CET 2016, Time: ,Sun Jan 17 14:00:00 CET 2016, Event: ,Kalpa Hockey v Vaasan Sport, Favorite: ,Kalpa Hockey, 10653341   size:10.59,Price: ,1.97,Vaasan Sport, 3328655   size:91.0,Price: ,3.5,Tie, 60104   size:91.0,Price: ,4.1,x
1.122626965, Sport: ,Soccer, Time: ,Sun Jan 17 12:00:00 CET 2016, Time: ,Sun Jan 17 12:00:00 CET 2016, Event: ,UE Sant Andreu v Palamos CF, Favorite: ,UE Sant Andreu, 10381924   size:2.21,Price: ,2.26,Palamos CF, 6796940   size:4.36,Price: ,2.88,The Draw, 58805   size:2.55,Price: ,3.25,x
1.122625753, Sport: ,Soccer, Time: ,Sun Jan 17 12:00:00 CET 2016, Time: ,Sun Jan 17 12:00:00 CET 2016, Event: ,Club Santa Catalina v CF San Rafae, Favorite: ,CF San Rafae, 9359759   size:2.16,Price: ,1.88,Club Santa Catalina, 10267628   size:2.56,Price: ,3.7,The Draw, 58805   size:3.8,Price: ,3.15,x
1.122583575, Sport: ,Ice Hockey, Time: ,Sun Jan 17 14:00:00 CET 2016, Time: ,Sun Jan 17 14:00:00 CET 2016, Event: ,Tappara Tampere v HPK Hameenlinna, Favorite: ,Tappara Tampere, 4214404   size:5.18,Price: ,1.52,HPK Hameenlinna, 2266329   size:54.0,Price: ,5.6,Tie, 60104   size:54.0,Price: ,5.2,x
1.122523527, Sport: ,Soccer, Time: ,Sun Jan 17 15:00:00 CET 2016, Time: ,Sun Jan 17 15:00:00 CET 2016, Event: ,Chievo v Empoli, Favorite: ,Chievo, 44506   size:101.73,Price: ,2.58,Empoli, 60294   size:6.79,Price: ,3.25,The Draw, 58805   size:1248.21,Price: ,3.2,x
1.122614190, Sport: ,Ice Hockey, Time: ,Sun Jan 17 21:05:00 CET 2016, Time: ,Sun Jan 17 21:05:00 CET 2016, Event: ,Carolina @ Pittsburgh, Favorite: ,Pittsburgh, 2115995   size:2.34,Price: ,1.95,Carolina, 2108027   size:14.64,Price: ,2.98,Tie, 60104   size:6.36,Price: ,3.7,ok
